,ticker,date_,category,value,instrument_id,data_vendor_id
0,USTREASURY/HQMYC,2018-02-28,0.5,2.13,23,1
1,USTREASURY/HQMYC,2018-02-28,1.0,2.31,23,1
2,USTREASURY/HQMYC,2018-02-28,1.5,2.47,23,1
3,USTREASURY/HQMYC,2018-02-28,2.0,2.62,23,1
4,USTREASURY/HQMYC,2018-02-28,2.5,2.73,23,1
5,USTREASURY/HQMYC,2018-02-28,3.0,2.83,23,1
6,USTREASURY/HQMYC,2018-02-28,3.5,2.91,23,1
7,USTREASURY/HQMYC,2018-02-28,4.0,2.99,23,1
8,USTREASURY/HQMYC,2018-02-28,4.5,3.07,23,1
9,USTREASURY/HQMYC,2018-02-28,5.0,3.15,23,1
10,USTREASURY/HQMYC,2018-02-28,5.5,3.23,23,1
11,USTREASURY/HQMYC,2018-02-28,6.0,3.31,23,1
12,USTREASURY/HQMYC,2018-02-28,6.5,3.39,23,1
13,USTREASURY/HQMYC,2018-02-28,7.0,3.46,23,1
14,USTREASURY/HQMYC,2018-02-28,7.5,3.54,23,1
15,USTREASURY/HQMYC,2018-02-28,8.0,3.61,23,1
16,USTREASURY/HQMYC,2018-02-28,8.5,3.67,23,1
17,USTREASURY/HQMYC,2018-02-28,9.0,3.74,23,1
18,USTREASURY/HQMYC,2018-02-28,9.5,3.8,23,1
19,USTREASURY/HQMYC,2018-02-28,10.0,3.85,23,1
20,USTREASURY/HQMYC,2018-02-28,10.5,3.9,23,1
21,USTREASURY/HQMYC,2018-02-28,11.0,3.94,23,1
22,USTREASURY/HQMYC,2018-02-28,11.5,3.98,23,1
23,USTREASURY/HQMYC,2018-02-28,12.0,4.02,23,1
24,USTREASURY/HQMYC,2018-02-28,12.5,4.05,23,1
25,USTREASURY/HQMYC,2018-02-28,13.0,4.08,23,1
26,USTREASURY/HQMYC,2018-02-28,13.5,4.1,23,1
27,USTREASURY/HQMYC,2018-02-28,14.0,4.13,23,1
28,USTREASURY/HQMYC,2018-02-28,14.5,4.15,23,1
29,USTREASURY/HQMYC,2018-02-28,15.0,4.16,23,1
30,USTREASURY/HQMYC,2018-02-28,15.5,4.18,23,1
31,USTREASURY/HQMYC,2018-02-28,16.0,4.19,23,1
32,USTREASURY/HQMYC,2018-02-28,16.5,4.2,23,1
33,USTREASURY/HQMYC,2018-02-28,17.0,4.21,23,1
34,USTREASURY/HQMYC,2018-02-28,17.5,4.22,23,1
35,USTREASURY/HQMYC,2018-02-28,18.0,4.23,23,1
36,USTREASURY/HQMYC,2018-02-28,18.5,4.23,23,1
37,USTREASURY/HQMYC,2018-02-28,19.0,4.24,23,1
38,USTREASURY/HQMYC,2018-02-28,19.5,4.24,23,1
39,USTREASURY/HQMYC,2018-02-28,20.0,4.25,23,1
40,USTREASURY/HQMYC,2018-02-28,20.5,4.25,23,1
41,USTREASURY/HQMYC,2018-02-28,21.0,4.26,23,1
42,USTREASURY/HQMYC,2018-02-28,21.5,4.26,23,1
43,USTREASURY/HQMYC,2018-02-28,22.0,4.26,23,1
44,USTREASURY/HQMYC,2018-02-28,22.5,4.27,23,1
45,USTREASURY/HQMYC,2018-02-28,23.0,4.27,23,1
46,USTREASURY/HQMYC,2018-02-28,23.5,4.27,23,1
47,USTREASURY/HQMYC,2018-02-28,24.0,4.27,23,1
48,USTREASURY/HQMYC,2018-02-28,24.5,4.28,23,1
49,USTREASURY/HQMYC,2018-02-28,25.0,4.28,23,1
50,USTREASURY/HQMYC,2018-02-28,25.5,4.28,23,1
51,USTREASURY/HQMYC,2018-02-28,26.0,4.29,23,1
52,USTREASURY/HQMYC,2018-02-28,26.5,4.29,23,1
53,USTREASURY/HQMYC,2018-02-28,27.0,4.29,23,1
54,USTREASURY/HQMYC,2018-02-28,27.5,4.29,23,1
55,USTREASURY/HQMYC,2018-02-28,28.0,4.3,23,1
56,USTREASURY/HQMYC,2018-02-28,28.5,4.3,23,1
57,USTREASURY/HQMYC,2018-02-28,29.0,4.3,23,1
58,USTREASURY/HQMYC,2018-02-28,29.5,4.3,23,1
59,USTREASURY/HQMYC,2018-02-28,30.0,4.31,23,1
60,USTREASURY/HQMYC,2018-02-28,30.5,4.31,23,1
61,USTREASURY/HQMYC,2018-02-28,31.0,4.31,23,1
62,USTREASURY/HQMYC,2018-02-28,31.5,4.31,23,1
63,USTREASURY/HQMYC,2018-02-28,32.0,4.32,23,1
64,USTREASURY/HQMYC,2018-02-28,32.5,4.32,23,1
65,USTREASURY/HQMYC,2018-02-28,33.0,4.32,23,1
66,USTREASURY/HQMYC,2018-02-28,33.5,4.32,23,1
67,USTREASURY/HQMYC,2018-02-28,34.0,4.32,23,1
68,USTREASURY/HQMYC,2018-02-28,34.5,4.33,23,1
69,USTREASURY/HQMYC,2018-02-28,35.0,4.33,23,1
70,USTREASURY/HQMYC,2018-02-28,35.5,4.33,23,1
71,USTREASURY/HQMYC,2018-02-28,36.0,4.33,23,1
72,USTREASURY/HQMYC,2018-02-28,36.5,4.33,23,1
73,USTREASURY/HQMYC,2018-02-28,37.0,4.33,23,1
74,USTREASURY/HQMYC,2018-02-28,37.5,4.34,23,1
75,USTREASURY/HQMYC,2018-02-28,38.0,4.34,23,1
76,USTREASURY/HQMYC,2018-02-28,38.5,4.34,23,1
77,USTREASURY/HQMYC,2018-02-28,39.0,4.34,23,1
78,USTREASURY/HQMYC,2018-02-28,39.5,4.34,23,1
