,instrument_name,industry_name,sector_name,name,type,description,data_vendor,website_vendor
0,Macro-economic Indicator,industry,sector,FRED/GDPPOT,datasets,Real Potential Gross Domestic Product,Quandl,https://www.quandl.com/
1,Fixed Income Index,industry,sector,ML/EMCBI,datasets,Emerging Markets Corporate Bond Index OAS,Quandl,https://www.quandl.com/
2,Fixed Income Index,industry,sector,ML/EMCTRI,datasets,Emerging Markets Corporate Bond Total Return Index,Quandl,https://www.quandl.com/
3,Fixed Income Index,industry,sector,ML/EMHGY,datasets,Emerging Markets High Grade Corporate Bond Index Yield,Quandl,https://www.quandl.com/
4,Fixed Income Index,industry,sector,ML/EMHYY,datasets,Emerging Markets High Yield Corporate Bond Index Yield,Quandl,https://www.quandl.com/
5,Fixed Income Index,industry,sector,ML/EEMCBI,datasets,Euro Emerging Markets Corporate Bond Index (Yield),Quandl,https://www.quandl.com/
6,Fixed Income Index,industry,sector,ML/EMHG,datasets,Europe/Middle East/Africa (EMEA) Corporate Bond Total Return Index,Quandl,https://www.quandl.com/
7,Fixed Income Index,industry,sector,ML/IGEM,datasets,IG Emerging Markets Corporate Bond Total Return Index,Quandl,https://www.quandl.com/
8,Fixed Income Index,industry,sector,ML/USEY,datasets,US Corporate Bond Index Yield,Quandl,https://www.quandl.com/
9,Fixed Income Index,industry,sector,ML/TRI,datasets,US Corporate Bonds Total Return Index,Quandl,https://www.quandl.com/
10,Fixed Income Index,industry,sector,ML/USTRI,datasets,US High Yield Corporate Bond Index (Yield),Quandl,https://www.quandl.com/
11,Fixed Income Index,industry,sector,ML/HYOAS,datasets,US High Yield Corporate Bond Index OAS,Quandl,https://www.quandl.com/
12,Interest Rates,industry,sector,USTREASURY/YIELD,datasets,Treasury Yield Curve Rates,Quandl,https://www.quandl.com/
13,Interest Rates,industry,sector,USTREASURY/BILLRATES,datasets,Treasury Bill Rates,Quandl,https://www.quandl.com/
14,Interest Rates,industry,sector,USTREASURY/REALYIELD,datasets,Treasury Real Yield Curve Rates,Quandl,https://www.quandl.com/
15,Interest Rates,industry,sector,USTREASURY/REALLONGTERM,datasets,Treasury Real Long-Term Rates,Quandl,https://www.quandl.com/
16,Interest Rates,industry,sector,USTREASURY/MKTDM,datasets,Marketable Debt Maturing in Next 12 to 36 Months,Quandl,https://www.quandl.com/
17,Interest Rates,industry,sector,USTREASURY/TMBOR,datasets,Treasury Net Marketable Borrowing,Quandl,https://www.quandl.com/
18,Interest Rates,industry,sector,USTREASURY/BRDNM,datasets,Breakdown of Marketable Issuance,Quandl,https://www.quandl.com/
19,Interest Rates,industry,sector,USTREASURY/BRDNM,datasets,Treasury Net Nonmarketable Borrowing,Quandl,https://www.quandl.com/
20,Interest Rates,industry,sector,USTREASURY/AVMAT,datasets,Average Maturity of Total Outstanding Treasury Marketable Securities,Quandl,https://www.quandl.com/
