date_,HOUST
1988-01-01,1271.0
1988-02-01,1473.0
1988-03-01,1532.0
1988-04-01,1573.0
1988-05-01,1421.0
1988-06-01,1478.0
1988-07-01,1467.0
1988-08-01,1493.0
1988-09-01,1492.0
1988-10-01,1522.0
1988-11-01,1569.0
1988-12-01,1563.0
1989-01-01,1621.0
1989-02-01,1425.0
1989-03-01,1422.0
1989-04-01,1339.0
1989-05-01,1331.0
1989-06-01,1397.0
1989-07-01,1427.0
1989-08-01,1332.0
1989-09-01,1279.0
1989-10-01,1410.0
1989-11-01,1351.0
1989-12-01,1251.0
1990-01-01,1551.0
1990-02-01,1437.0
1990-03-01,1289.0
1990-04-01,1248.0
1990-05-01,1212.0
1990-06-01,1177.0
1990-07-01,1171.0
1990-08-01,1115.0
1990-09-01,1110.0
1990-10-01,1014.0
1990-11-01,1145.0
1990-12-01,969.0
1991-01-01,798.0
1991-02-01,965.0
1991-03-01,921.0
1991-04-01,1001.0
1991-05-01,996.0
1991-06-01,1036.0
1991-07-01,1063.0
1991-08-01,1049.0
1991-09-01,1015.0
1991-10-01,1079.0
1991-11-01,1103.0
1991-12-01,1079.0
1992-01-01,1176.0
1992-02-01,1250.0
1992-03-01,1297.0
1992-04-01,1099.0
1992-05-01,1214.0
1992-06-01,1145.0
1992-07-01,1139.0
1992-08-01,1226.0
1992-09-01,1186.0
1992-10-01,1244.0
1992-11-01,1214.0
1992-12-01,1227.0
1993-01-01,1210.0
1993-02-01,1210.0
1993-03-01,1083.0
1993-04-01,1258.0
1993-05-01,1260.0
1993-06-01,1280.0
1993-07-01,1254.0
1993-08-01,1300.0
1993-09-01,1343.0
1993-10-01,1392.0
1993-11-01,1376.0
1993-12-01,1533.0
1994-01-01,1272.0
1994-02-01,1337.0
1994-03-01,1564.0
1994-04-01,1465.0
1994-05-01,1526.0
1994-06-01,1409.0
1994-07-01,1439.0
1994-08-01,1450.0
1994-09-01,1474.0
1994-10-01,1450.0
1994-11-01,1511.0
1994-12-01,1455.0
1995-01-01,1407.0
1995-02-01,1316.0
1995-03-01,1249.0
1995-04-01,1267.0
1995-05-01,1314.0
1995-06-01,1281.0
1995-07-01,1461.0
1995-08-01,1416.0
1995-09-01,1369.0
1995-10-01,1369.0
1995-11-01,1452.0
1995-12-01,1431.0
1996-01-01,1467.0
1996-02-01,1491.0
1996-03-01,1424.0
1996-04-01,1516.0
1996-05-01,1504.0
1996-06-01,1467.0
1996-07-01,1472.0
1996-08-01,1557.0
1996-09-01,1475.0
1996-10-01,1392.0
1996-11-01,1489.0
1996-12-01,1370.0
1997-01-01,1355.0
1997-02-01,1486.0
1997-03-01,1457.0
1997-04-01,1492.0
1997-05-01,1442.0
1997-06-01,1494.0
1997-07-01,1437.0
1997-08-01,1390.0
1997-09-01,1546.0
1997-10-01,1520.0
1997-11-01,1510.0
1997-12-01,1566.0
1998-01-01,1525.0
1998-02-01,1584.0
1998-03-01,1567.0
1998-04-01,1540.0
1998-05-01,1536.0
1998-06-01,1641.0
1998-07-01,1698.0
1998-08-01,1614.0
1998-09-01,1582.0
1998-10-01,1715.0
1998-11-01,1660.0
1998-12-01,1792.0
1999-01-01,1748.0
1999-02-01,1670.0
1999-03-01,1710.0
1999-04-01,1553.0
1999-05-01,1611.0
1999-06-01,1559.0
1999-07-01,1669.0
1999-08-01,1648.0
1999-09-01,1635.0
1999-10-01,1608.0
1999-11-01,1648.0
1999-12-01,1708.0
2000-01-01,1636.0
2000-02-01,1737.0
2000-03-01,1604.0
2000-04-01,1626.0
2000-05-01,1575.0
2000-06-01,1559.0
2000-07-01,1463.0
2000-08-01,1541.0
2000-09-01,1507.0
2000-10-01,1549.0
2000-11-01,1551.0
2000-12-01,1532.0
2001-01-01,1600.0
2001-02-01,1625.0
2001-03-01,1590.0
2001-04-01,1649.0
2001-05-01,1605.0
2001-06-01,1636.0
2001-07-01,1670.0
2001-08-01,1567.0
2001-09-01,1562.0
2001-10-01,1540.0
2001-11-01,1602.0
2001-12-01,1568.0
2002-01-01,1698.0
2002-02-01,1829.0
2002-03-01,1642.0
2002-04-01,1592.0
2002-05-01,1764.0
2002-06-01,1717.0
2002-07-01,1655.0
2002-08-01,1633.0
2002-09-01,1804.0
2002-10-01,1648.0
2002-11-01,1753.0
2002-12-01,1788.0
2003-01-01,1853.0
2003-02-01,1629.0
2003-03-01,1726.0
2003-04-01,1643.0
2003-05-01,1751.0
2003-06-01,1867.0
2003-07-01,1897.0
2003-08-01,1833.0
2003-09-01,1939.0
2003-10-01,1967.0
2003-11-01,2083.0
2003-12-01,2057.0
2004-01-01,1911.0
