date_,PCEPILFE
1988-01-01,62.014
1988-02-01,62.139
1988-03-01,62.404
1988-04-01,62.709
1988-05-01,62.923
1988-06-01,63.187
1988-07-01,63.446
1988-08-01,63.603
1988-09-01,63.945
1988-10-01,64.184
1988-11-01,64.358
1988-12-01,64.563
1989-01-01,64.881
1989-02-01,65.037
1989-03-01,65.227
1989-04-01,65.442
1989-05-01,65.637
1989-06-01,65.806
1989-07-01,65.967
1989-08-01,66.055
1989-09-01,66.28
1989-10-01,66.521
1989-11-01,66.696
1989-12-01,66.884
1990-01-01,67.132
1990-02-01,67.453
1990-03-01,67.769
1990-04-01,67.976
1990-05-01,68.176
1990-06-01,68.439
1990-07-01,68.602
1990-08-01,68.889
1990-09-01,69.133
1990-10-01,69.364
1990-11-01,69.443
1990-12-01,69.53
1991-01-01,69.869
1991-02-01,70.049
1991-03-01,70.19
1991-04-01,70.326
1991-05-01,70.607
1991-06-01,70.758
1991-07-01,70.973
1991-08-01,71.166
1991-09-01,71.449
1991-10-01,71.605
1991-11-01,71.736
1991-12-01,71.907
1992-01-01,72.099
1992-02-01,72.292
1992-03-01,72.473
1992-04-01,72.71
1992-05-01,72.813
1992-06-01,72.869
1992-07-01,73.144
1992-08-01,73.21
1992-09-01,73.331
1992-10-01,73.615
1992-11-01,73.779
1992-12-01,73.917
1993-01-01,74.129
1993-02-01,74.271
1993-03-01,74.431
1993-04-01,74.651
1993-05-01,74.904
1993-06-01,74.976
1993-07-01,75.13
1993-08-01,75.272
1993-09-01,75.387
1993-10-01,75.51
1993-11-01,75.702
1993-12-01,75.734
1994-01-01,75.793
1994-02-01,75.956
1994-03-01,76.216
1994-04-01,76.329
1994-05-01,76.5
1994-06-01,76.666
1994-07-01,76.829
1994-08-01,76.91
1994-09-01,77.027
1994-10-01,77.207
1994-11-01,77.353
1994-12-01,77.38
1995-01-01,77.567
1995-02-01,77.687
1995-03-01,77.872
1995-04-01,78.049
1995-05-01,78.177
1995-06-01,78.238
1995-07-01,78.362
1995-08-01,78.547
1995-09-01,78.651
1995-10-01,78.84
1995-11-01,78.895
1995-12-01,79.007
1996-01-01,79.102
1996-02-01,79.203
1996-03-01,79.382
1996-04-01,79.487
1996-05-01,79.624
1996-06-01,79.686
1996-07-01,79.837
1996-08-01,79.908
1996-09-01,80.142
1996-10-01,80.329
1996-11-01,80.441
1996-12-01,80.472
1997-01-01,80.556
1997-02-01,80.72
1997-03-01,80.91
1997-04-01,81.063
1997-05-01,81.128
1997-06-01,81.245
1997-07-01,81.297
1997-08-01,81.266
1997-09-01,81.421
1997-10-01,81.543
1997-11-01,81.576
1997-12-01,81.627
1998-01-01,81.743
1998-02-01,81.802
1998-03-01,81.88
1998-04-01,82.034
1998-05-01,82.117
1998-06-01,82.018
1998-07-01,82.243
1998-08-01,82.401
1998-09-01,82.382
1998-10-01,82.538
1998-11-01,82.549
1998-12-01,82.697
1999-01-01,82.854
1999-02-01,82.855
1999-03-01,82.874
1999-04-01,83.069
1999-05-01,83.126
1999-06-01,83.16
1999-07-01,83.308
1999-08-01,83.344
1999-09-01,83.556
1999-10-01,83.688
1999-11-01,83.769
1999-12-01,83.888
2000-01-01,84.103
2000-02-01,84.229
2000-03-01,84.4
2000-04-01,84.445
2000-05-01,84.531
2000-06-01,84.585
2000-07-01,84.771
2000-08-01,84.869
2000-09-01,85.079
2000-10-01,85.199
2000-11-01,85.344
2000-12-01,85.403
2001-01-01,85.683
2001-02-01,85.814
2001-03-01,85.898
2001-04-01,86.044
2001-05-01,86.074
2001-06-01,86.278
2001-07-01,86.503
2001-08-01,86.554
2001-09-01,86.078
2001-10-01,86.694
2001-11-01,86.869
2001-12-01,86.888
2002-01-01,86.918
2002-02-01,87.083
2002-03-01,87.193
2002-04-01,87.452
2002-05-01,87.565
2002-06-01,87.706
2002-07-01,87.87
2002-08-01,88.039
2002-09-01,88.173
2002-10-01,88.253
2002-11-01,88.339
2002-12-01,88.407
2003-01-01,88.432
2003-02-01,88.541
2003-03-01,88.671
2003-04-01,88.768
2003-05-01,88.894
2003-06-01,88.945
2003-07-01,89.144
2003-08-01,89.225
2003-09-01,89.319
2003-10-01,89.437
2003-11-01,89.536
2003-12-01,89.651
2004-01-01,89.857
2004-02-01,90.026
2004-03-01,90.196
2004-04-01,90.418
2004-05-01,90.558
2004-06-01,90.74
2004-07-01,90.889
2004-08-01,90.956
2004-09-01,91.122
2004-10-01,91.275
2004-11-01,91.421
2004-12-01,91.549
2005-01-01,91.813
2005-02-01,91.978
2005-03-01,92.204
2005-04-01,92.321
2005-05-01,92.544
2005-06-01,92.603
2005-07-01,92.741
2005-08-01,92.833
2005-09-01,93.046
2005-10-01,93.294
2005-11-01,93.515
2005-12-01,93.633
2006-01-01,93.793
2006-02-01,93.926
2006-03-01,94.153
2006-04-01,94.39
2006-05-01,94.576
2006-06-01,94.803
2006-07-01,94.913
2006-08-01,95.108
2006-09-01,95.272
2006-10-01,95.413
2006-11-01,95.45
2006-12-01,95.632
2007-01-01,95.998
2007-02-01,96.227
2007-03-01,96.305
2007-04-01,96.397
2007-05-01,96.5
2007-06-01,96.651
2007-07-01,96.793
2007-08-01,96.956
2007-09-01,97.221
2007-10-01,97.46
2007-11-01,97.619
2007-12-01,97.857
2008-01-01,98.058
2008-02-01,98.173
2008-03-01,98.394
2008-04-01,98.514
2008-05-01,98.702
2008-06-01,98.894
