date_,RSFSXMV
1992-01-01,130617.0
1992-02-01,130396.0
1992-03-01,130385.0
1992-04-01,130933.0
1992-05-01,131255.0
1992-06-01,131296.0
1992-07-01,132058.0
1992-08-01,133215.0
1992-09-01,133510.0
1992-10-01,134653.0
1992-11-01,135075.0
1992-12-01,136833.0
1993-01-01,137487.0
1993-02-01,137021.0
1993-03-01,136351.0
1993-04-01,138228.0
1993-05-01,139420.0
1993-06-01,139265.0
1993-07-01,140453.0
1993-08-01,140203.0
1993-09-01,141570.0
1993-10-01,142027.0
1993-11-01,142670.0
1993-12-01,143603.0
1994-01-01,142482.0
1994-02-01,144389.0
1994-03-01,147104.0
1994-04-01,146567.0
1994-05-01,146831.0
1994-06-01,148589.0
1994-07-01,149266.0
1994-08-01,150931.0
1994-09-01,151451.0
1994-10-01,152530.0
1994-11-01,152528.0
1994-12-01,153761.0
1995-01-01,154349.0
1995-02-01,152497.0
1995-03-01,153566.0
1995-04-01,153976.0
1995-05-01,155268.0
1995-06-01,155848.0
1995-07-01,156088.0
1995-08-01,156773.0
1995-09-01,157818.0
1995-10-01,156905.0
1995-11-01,158801.0
1995-12-01,160236.0
1996-01-01,158350.0
1996-02-01,159720.0
1996-03-01,161543.0
1996-04-01,163145.0
1996-05-01,164099.0
1996-06-01,164270.0
1996-07-01,164328.0
1996-08-01,164886.0
1996-09-01,166072.0
1996-10-01,167610.0
1996-11-01,168253.0
1996-12-01,169156.0
1997-01-01,169471.0
1997-02-01,170821.0
1997-03-01,171928.0
1997-04-01,170754.0
1997-05-01,170738.0
1997-06-01,171991.0
1997-07-01,173448.0
1997-08-01,173821.0
1997-09-01,174978.0
1997-10-01,174980.0
1997-11-01,175126.0
1997-12-01,175418.0
1998-01-01,176093.0
1998-02-01,176843.0
1998-03-01,176948.0
1998-04-01,178522.0
1998-05-01,179193.0
1998-06-01,179707.0
1998-07-01,181091.0
1998-08-01,181382.0
1998-09-01,181354.0
1998-10-01,183255.0
1998-11-01,184474.0
1998-12-01,186057.0
1999-01-01,186333.0
1999-02-01,188260.0
1999-03-01,189026.0
1999-04-01,190327.0
1999-05-01,191524.0
1999-06-01,191997.0
1999-07-01,192947.0
1999-08-01,194517.0
1999-09-01,196167.0
1999-10-01,197299.0
1999-11-01,198696.0
1999-12-01,203954.0
2000-01-01,200365.0
2000-02-01,202935.0
2000-03-01,206759.0
2000-04-01,205234.0
2000-05-01,205613.0
2000-06-01,206784.0
2000-07-01,207425.0
2000-08-01,207607.0
2000-09-01,210698.0
2000-10-01,210719.0
2000-11-01,211384.0
2000-12-01,212267.0
2001-01-01,212908.0
2001-02-01,212585.0
2001-03-01,210779.0
2001-04-01,213875.0
2001-05-01,214457.0
2001-06-01,213691.0
2001-07-01,213437.0
2001-08-01,215063.0
2001-09-01,212155.0
2001-10-01,214085.0
2001-11-01,214698.0
2001-12-01,215485.0
2002-01-01,215843.0
2002-02-01,216886.0
2002-03-01,217692.0
2002-04-01,220582.0
2002-05-01,219889.0
2002-06-01,220018.0
2002-07-01,220441.0
2002-08-01,220446.0
2002-09-01,220344.0
2002-10-01,222023.0
2002-11-01,223553.0
2002-12-01,224153.0
2003-01-01,225575.0
2003-02-01,224632.0
2003-03-01,227697.0
2003-04-01,226020.0
2003-05-01,226750.0
2003-06-01,229301.0
2003-07-01,231698.0
2003-08-01,234890.0
2003-09-01,234749.0
2003-10-01,234992.0
2003-11-01,236789.0
2003-12-01,237304.0
2004-01-01,239984.0
2004-02-01,240300.0
2004-03-01,244775.0
2004-04-01,243552.0
2004-05-01,246143.0
2004-06-01,245967.0
2004-07-01,247311.0
2004-08-01,247612.0
2004-09-01,249840.0
2004-10-01,252882.0
2004-11-01,254429.0
2004-12-01,256487.0
2005-01-01,256613.0
2005-02-01,259253.0
2005-03-01,259434.0
2005-04-01,262934.0
2005-05-01,261297.0
2005-06-01,264359.0
2005-07-01,264971.0
2005-08-01,269520.0
2005-09-01,273329.0
2005-10-01,276244.0
2005-11-01,274114.0
2005-12-01,274073.0
2006-01-01,280574.0
2006-02-01,280598.0
2006-03-01,281056.0
2006-04-01,282525.0
2006-05-01,282623.0
2006-06-01,282510.0
2006-07-01,283042.0
2006-08-01,285504.0
2006-09-01,284382.0
2006-10-01,283015.0
2006-11-01,283202.0
2006-12-01,288292.0
2007-01-01,288217.0
2007-02-01,288165.0
2007-03-01,291686.0
2007-04-01,289982.0
2007-05-01,293748.0
2007-06-01,293360.0
2007-07-01,294682.0
2007-08-01,294809.0
2007-09-01,295693.0
2007-10-01,297672.0
2007-11-01,302939.0
2007-12-01,300953.0
2008-01-01,301402.0
2008-02-01,299627.0
2008-03-01,300971.0
2008-04-01,302520.0
2008-05-01,306893.0
2008-06-01,309294.0
2008-07-01,310641.0
2008-08-01,307299.0
2008-09-01,304180.0
2008-10-01,296351.0
2008-11-01,284366.0
2008-12-01,277968.0
2009-01-01,281139.0
2009-02-01,281388.0
2009-03-01,276647.0
2009-04-01,277795.0
2009-05-01,280167.0
2009-06-01,283272.0
2009-07-01,282769.0
2009-08-01,284405.0
2009-09-01,284973.0
2009-10-01,285185.0
2009-11-01,287020.0
2009-12-01,288993.0
2010-01-01,289254.0
2010-02-01,290939.0
2010-03-01,293654.0
2010-04-01,295445.0
2010-05-01,292401.0
2010-06-01,292649.0
2010-07-01,292077.0
2010-08-01,294167.0
2010-09-01,296162.0
2010-10-01,298710.0
2010-11-01,301853.0
2010-12-01,304016.0
2011-01-01,305458.0
2011-02-01,307738.0
2011-03-01,310862.0
2011-04-01,313913.0
2011-05-01,314447.0
2011-06-01,316545.0
2011-07-01,316363.0
2011-08-01,318137.0
2011-09-01,318891.0
2011-10-01,320126.0
2011-11-01,321294.0
2011-12-01,320240.0
2012-01-01,323720.0
2012-02-01,327593.0
2012-03-01,329024.0
2012-04-01,327052.0
2012-05-01,325775.0
2012-06-01,323564.0
2012-07-01,324470.0
2012-08-01,328294.0
2012-09-01,330103.0
2012-10-01,331091.0
2012-11-01,331873.0
2012-12-01,331947.0
2013-01-01,334624.0
2013-02-01,338327.0
2013-03-01,336203.0
2013-04-01,334031.0
2013-05-01,334751.0
2013-06-01,334521.0
2013-07-01,337054.0
2013-08-01,336456.0
2013-09-01,337700.0
2013-10-01,338412.0
2013-11-01,339054.0
2013-12-01,341904.0
2014-01-01,340166.0
2014-02-01,343508.0
2014-03-01,344934.0
2014-04-01,348363.0
2014-05-01,348828.0
2014-06-01,350093.0
2014-07-01,350272.0
2014-08-01,352883.0
2014-09-01,352830.0
2014-10-01,353927.0
2014-11-01,353811.0
2014-12-01,351727.0
2015-01-01,347815.0
2015-02-01,347924.0
2015-03-01,351328.0
2015-04-01,351334.0
2015-05-01,354520.0
2015-06-01,355764.0
2015-07-01,358675.0
2015-08-01,358005.0
2015-09-01,356115.0
2015-10-01,355749.0
2015-11-01,356436.0
2015-12-01,358448.0
2016-01-01,355632.0
2016-02-01,357027.0
2016-03-01,358486.0
2016-04-01,360180.0
2016-05-01,362294.0
2016-06-01,366164.0
2016-07-01,364453.0
2016-08-01,364378.0
2016-09-01,365840.0
2016-10-01,367127.0
2016-11-01,367399.0
2016-12-01,368548.0
2017-01-01,374402.0
2017-02-01,373087.0
2017-03-01,374991.0
2017-04-01,376974.0
2017-05-01,375936.0
2017-06-01,376504.0
2017-07-01,377579.0
2017-08-01,379989.0
2017-09-01,384561.0
2017-10-01,385849.0
2017-11-01,390579.0
2017-12-01,390654.0
2018-01-01,390976.0
2018-02-01,392572.0
2018-03-01,393947.0
2018-04-01,395118.0
