,ticker,date_,category,value,instrument_id,data_vendor_id
0,IAU,2008-04-22,Open,9.05,59,2
1,IAU,2008-04-23,Open,8.908,59,2
2,IAU,2008-04-24,Open,8.827,59,2
3,IAU,2008-04-25,Open,8.831,59,2
4,IAU,2008-04-28,Open,8.787,59,2
5,IAU,2008-04-29,Open,8.679,59,2
6,IAU,2008-04-30,Open,8.612,59,2
7,IAU,2008-05-01,Open,8.449,59,2
8,IAU,2008-05-02,Open,8.4,59,2
9,IAU,2008-05-05,Open,8.563,59,2
10,IAU,2008-05-06,Open,8.636,59,2
11,IAU,2008-05-07,Open,8.553,59,2
12,IAU,2008-05-08,Open,8.681,59,2
13,IAU,2008-05-09,Open,8.741,59,2
14,IAU,2008-05-12,Open,8.694,59,2
15,IAU,2008-05-13,Open,8.519,59,2
16,IAU,2008-05-14,Open,8.575,59,2
17,IAU,2008-05-15,Open,8.716,59,2
18,IAU,2008-05-16,Open,8.848,59,2
19,IAU,2008-05-19,Open,8.961,59,2
20,IAU,2008-05-20,Open,8.958,59,2
21,IAU,2008-05-21,Open,9.061,59,2
22,IAU,2008-05-22,Open,9.118,59,2
23,IAU,2008-05-23,Open,9.129,59,2
24,IAU,2008-05-27,Open,8.986,59,2
25,IAU,2008-05-28,Open,8.846,59,2
26,IAU,2008-05-29,Open,8.689,59,2
27,IAU,2008-05-30,Open,8.738,59,2
28,IAU,2008-06-02,Open,8.755,59,2
29,IAU,2008-06-03,Open,8.669,59,2
30,IAU,2008-06-04,Open,8.707,59,2
31,IAU,2008-06-05,Open,8.599,59,2
32,IAU,2008-06-06,Open,8.78,59,2
33,IAU,2008-06-09,Open,8.855,59,2
34,IAU,2008-06-10,Open,8.635,59,2
35,IAU,2008-06-11,Open,8.665,59,2
36,IAU,2008-06-12,Open,8.521,59,2
37,IAU,2008-06-13,Open,8.533,59,2
38,IAU,2008-06-16,Open,8.816,59,2
39,IAU,2008-06-17,Open,8.678,59,2
40,IAU,2008-06-18,Open,8.765,59,2
41,IAU,2008-06-19,Open,8.942,59,2
42,IAU,2008-06-20,Open,8.889,59,2
43,IAU,2008-06-23,Open,8.704,59,2
44,IAU,2008-06-24,Open,8.732,59,2
45,IAU,2008-06-25,Open,8.752,59,2
46,IAU,2008-06-26,Open,8.957,59,2
47,IAU,2008-06-27,Open,9.104,59,2
48,IAU,2008-06-30,Open,9.194,59,2
49,IAU,2008-07-01,Open,9.265,59,2
50,IAU,2008-07-02,Open,9.24,59,2
51,IAU,2008-07-03,Open,9.228,59,2
52,IAU,2008-07-07,Open,9.073,59,2
53,IAU,2008-07-08,Open,9.06,59,2
54,IAU,2008-07-09,Open,9.101,59,2
55,IAU,2008-07-10,Open,9.25,59,2
56,IAU,2008-07-11,Open,9.505,59,2
57,IAU,2008-07-14,Open,9.519,59,2
58,IAU,2008-07-15,Open,9.666,59,2
59,IAU,2008-07-16,Open,9.634,59,2
60,IAU,2008-07-17,Open,9.483,59,2
61,IAU,2008-07-18,Open,9.433,59,2
62,IAU,2008-07-21,Open,9.486,59,2
63,IAU,2008-07-22,Open,9.583,59,2
64,IAU,2008-07-23,Open,9.273,59,2
65,IAU,2008-07-24,Open,9.117,59,2
66,IAU,2008-07-25,Open,9.109,59,2
67,IAU,2008-07-28,Open,9.151,59,2
68,IAU,2008-07-29,Open,9.126,59,2
69,IAU,2008-07-30,Open,8.896,59,2
70,IAU,2008-07-31,Open,9.113,59,2
71,IAU,2008-08-01,Open,8.955,59,2
72,IAU,2008-08-04,Open,8.913,59,2
73,IAU,2008-08-05,Open,8.734,59,2
74,IAU,2008-08-06,Open,8.686,59,2
75,IAU,2008-08-07,Open,8.67,59,2
76,IAU,2008-08-08,Open,8.442,59,2
77,IAU,2008-08-11,Open,8.449,59,2
78,IAU,2008-08-12,Open,8.072,59,2
79,IAU,2008-08-13,Open,8.059,59,2
80,IAU,2008-08-14,Open,8.072,59,2
81,IAU,2008-08-15,Open,7.8,59,2
82,IAU,2008-08-18,Open,7.849,59,2
83,IAU,2008-08-19,Open,7.797,59,2
84,IAU,2008-08-20,Open,8.02,59,2
85,IAU,2008-08-21,Open,8.207,59,2
86,IAU,2008-08-22,Open,8.153,59,2
87,IAU,2008-08-25,Open,8.109,59,2
88,IAU,2008-08-26,Open,8.065,59,2
89,IAU,2008-08-27,Open,8.195,59,2
90,IAU,2008-08-28,Open,8.318,59,2
