,ticker,date_,category,value,instrument_id,data_vendor_id
0,USTREASURY/HQMYC,2018-02-28,0.5,2.13,23,1
1,USTREASURY/HQMYC,2018-01-31,0.5,1.97,23,1
2,USTREASURY/HQMYC,2017-12-31,0.5,1.83,23,1
3,USTREASURY/HQMYC,2017-11-30,0.5,1.67,23,1
4,USTREASURY/HQMYC,2017-10-31,0.5,1.5,23,1
5,USTREASURY/HQMYC,2017-09-30,0.5,1.46,23,1
6,USTREASURY/HQMYC,2017-08-31,0.5,1.44,23,1
7,USTREASURY/HQMYC,2017-07-31,0.5,1.41,23,1
8,USTREASURY/HQMYC,2017-06-30,0.5,1.39,23,1
9,USTREASURY/HQMYC,2017-05-31,0.5,1.29,23,1
10,USTREASURY/HQMYC,2017-04-30,0.5,1.28,23,1
11,USTREASURY/HQMYC,2017-03-31,0.5,1.25,23,1
12,USTREASURY/HQMYC,2017-02-28,0.5,1.13,23,1
13,USTREASURY/HQMYC,2017-01-31,0.5,1.16,23,1
14,USTREASURY/HQMYC,2016-12-31,0.5,1.12,23,1
15,USTREASURY/HQMYC,2016-11-30,0.5,0.97,23,1
16,USTREASURY/HQMYC,2016-10-31,0.5,0.94,23,1
17,USTREASURY/HQMYC,2016-09-30,0.5,0.9,23,1
18,USTREASURY/HQMYC,2016-08-31,0.5,0.79,23,1
19,USTREASURY/HQMYC,2016-07-31,0.5,0.75,23,1
20,USTREASURY/HQMYC,2016-06-30,0.5,0.76,23,1
21,USTREASURY/HQMYC,2016-05-31,0.5,0.7,23,1
22,USTREASURY/HQMYC,2016-04-30,0.5,0.66,23,1
23,USTREASURY/HQMYC,2016-03-31,0.5,0.72,23,1
24,USTREASURY/HQMYC,2016-02-29,0.5,0.71,23,1
25,USTREASURY/HQMYC,2016-01-31,0.5,0.73,23,1
26,USTREASURY/HQMYC,2015-12-31,0.5,0.71,23,1
27,USTREASURY/HQMYC,2015-11-30,0.5,0.53,23,1
28,USTREASURY/HQMYC,2015-10-31,0.5,0.5,23,1
29,USTREASURY/HQMYC,2015-09-30,0.5,0.55,23,1
30,USTREASURY/HQMYC,2015-08-31,0.5,0.55,23,1
31,USTREASURY/HQMYC,2015-07-31,0.5,0.48,23,1
32,USTREASURY/HQMYC,2015-06-30,0.5,0.43,23,1
33,USTREASURY/HQMYC,2015-05-31,0.5,0.32,23,1
34,USTREASURY/HQMYC,2015-04-30,0.5,0.3,23,1
35,USTREASURY/HQMYC,2015-03-31,0.5,0.32,23,1
36,USTREASURY/HQMYC,2015-02-28,0.5,0.32,23,1
37,USTREASURY/HQMYC,2015-01-31,0.5,0.31,23,1
38,USTREASURY/HQMYC,2014-12-31,0.5,0.33,23,1
39,USTREASURY/HQMYC,2014-11-30,0.5,0.28,23,1
40,USTREASURY/HQMYC,2014-10-31,0.5,0.25,23,1
41,USTREASURY/HQMYC,2014-09-30,0.5,0.23,23,1
42,USTREASURY/HQMYC,2014-08-31,0.5,0.16,23,1
43,USTREASURY/HQMYC,2014-07-31,0.5,0.18,23,1
44,USTREASURY/HQMYC,2014-06-30,0.5,0.18,23,1
45,USTREASURY/HQMYC,2014-05-31,0.5,0.17,23,1
46,USTREASURY/HQMYC,2014-04-30,0.5,0.21,23,1
47,USTREASURY/HQMYC,2014-03-31,0.5,0.26,23,1
48,USTREASURY/HQMYC,2014-02-28,0.5,0.25,23,1
49,USTREASURY/HQMYC,2014-01-31,0.5,0.23,23,1
50,USTREASURY/HQMYC,2013-12-31,0.5,0.27,23,1
51,USTREASURY/HQMYC,2013-11-30,0.5,0.32,23,1
52,USTREASURY/HQMYC,2013-10-31,0.5,0.33,23,1
53,USTREASURY/HQMYC,2013-09-30,0.5,0.31,23,1
54,USTREASURY/HQMYC,2013-08-31,0.5,0.31,23,1
55,USTREASURY/HQMYC,2013-07-31,0.5,0.32,23,1
56,USTREASURY/HQMYC,2013-06-30,0.5,0.32,23,1
57,USTREASURY/HQMYC,2013-05-31,0.5,0.26,23,1
58,USTREASURY/HQMYC,2013-04-30,0.5,0.27,23,1
59,USTREASURY/HQMYC,2013-03-31,0.5,0.31,23,1
60,USTREASURY/HQMYC,2013-02-28,0.5,0.31,23,1
61,USTREASURY/HQMYC,2013-01-31,0.5,0.33,23,1
62,USTREASURY/HQMYC,2012-12-31,0.5,0.32,23,1
63,USTREASURY/HQMYC,2012-11-30,0.5,0.32,23,1
64,USTREASURY/HQMYC,2012-10-31,0.5,0.32,23,1
65,USTREASURY/HQMYC,2012-09-30,0.5,0.36,23,1
66,USTREASURY/HQMYC,2012-08-31,0.5,0.37,23,1
67,USTREASURY/HQMYC,2012-07-31,0.5,0.39,23,1
68,USTREASURY/HQMYC,2012-06-30,0.5,0.53,23,1
69,USTREASURY/HQMYC,2012-05-31,0.5,0.52,23,1
70,USTREASURY/HQMYC,2012-04-30,0.5,0.48,23,1
71,USTREASURY/HQMYC,2012-03-31,0.5,0.49,23,1
72,USTREASURY/HQMYC,2012-02-29,0.5,0.49,23,1
73,USTREASURY/HQMYC,2012-01-31,0.5,0.55,23,1
74,USTREASURY/HQMYC,2011-12-31,0.5,0.67,23,1
75,USTREASURY/HQMYC,2011-11-30,0.5,0.58,23,1
76,USTREASURY/HQMYC,2011-10-31,0.5,0.54,23,1
77,USTREASURY/HQMYC,2011-09-30,0.5,0.61,23,1
78,USTREASURY/HQMYC,2011-08-31,0.5,0.6,23,1
79,USTREASURY/HQMYC,2011-07-31,0.5,0.54,23,1
80,USTREASURY/HQMYC,2011-06-30,0.5,0.52,23,1
81,USTREASURY/HQMYC,2011-05-31,0.5,0.43,23,1
82,USTREASURY/HQMYC,2011-04-30,0.5,0.44,23,1
83,USTREASURY/HQMYC,2011-03-31,0.5,0.46,23,1
84,USTREASURY/HQMYC,2011-02-28,0.5,0.47,23,1
85,USTREASURY/HQMYC,2011-01-31,0.5,0.52,23,1
86,USTREASURY/HQMYC,2010-12-31,0.5,0.59,23,1
87,USTREASURY/HQMYC,2010-11-30,0.5,0.65,23,1
88,USTREASURY/HQMYC,2010-10-31,0.5,0.66,23,1
89,USTREASURY/HQMYC,2010-09-30,0.5,0.73,23,1
90,USTREASURY/HQMYC,2010-08-31,0.5,0.82,23,1
91,USTREASURY/HQMYC,2010-07-31,0.5,0.97,23,1
92,USTREASURY/HQMYC,2010-06-30,0.5,1.16,23,1
93,USTREASURY/HQMYC,2010-05-31,0.5,1.13,23,1
94,USTREASURY/HQMYC,2010-04-30,0.5,0.8,23,1
95,USTREASURY/HQMYC,2010-03-31,0.5,0.76,23,1
96,USTREASURY/HQMYC,2010-02-28,0.5,0.75,23,1
97,USTREASURY/HQMYC,2010-01-31,0.5,0.71,23,1
98,USTREASURY/HQMYC,2009-12-31,0.5,0.79,23,1
99,USTREASURY/HQMYC,2009-11-30,0.5,0.89,23,1
100,USTREASURY/HQMYC,2009-10-31,0.5,1.11,23,1
101,USTREASURY/HQMYC,2009-09-30,0.5,1.24,23,1
102,USTREASURY/HQMYC,2009-08-31,0.5,1.48,23,1
103,USTREASURY/HQMYC,2009-07-31,0.5,1.79,23,1
104,USTREASURY/HQMYC,2009-06-30,0.5,2.11,23,1
105,USTREASURY/HQMYC,2009-05-31,0.5,2.66,23,1
106,USTREASURY/HQMYC,2009-04-30,0.5,3.55,23,1
107,USTREASURY/HQMYC,2009-03-31,0.5,4.62,23,1
108,USTREASURY/HQMYC,2009-02-28,0.5,4.1,23,1
109,USTREASURY/HQMYC,2009-01-31,0.5,3.9,23,1
110,USTREASURY/HQMYC,2008-12-31,0.5,5.42,23,1
111,USTREASURY/HQMYC,2008-11-30,0.5,4.92,23,1
112,USTREASURY/HQMYC,2008-10-31,0.5,5.45,23,1
113,USTREASURY/HQMYC,2008-09-30,0.5,4.38,23,1
114,USTREASURY/HQMYC,2008-08-31,0.5,3.79,23,1
