,ticker,date_,category,value,instrument_id,data_vendor_id
0,USTREASURY/LONGTERMRATES,2018-03-29,LT Composite > 10 Yrs,2.91,22,1
1,USTREASURY/LONGTERMRATES,2018-03-28,LT Composite > 10 Yrs,2.94,22,1
2,USTREASURY/LONGTERMRATES,2018-03-27,LT Composite > 10 Yrs,2.96,22,1
3,USTREASURY/LONGTERMRATES,2018-03-26,LT Composite > 10 Yrs,3.02,22,1
4,USTREASURY/LONGTERMRATES,2018-03-23,LT Composite > 10 Yrs,3.0,22,1
5,USTREASURY/LONGTERMRATES,2018-03-22,LT Composite > 10 Yrs,3.0,22,1
6,USTREASURY/LONGTERMRATES,2018-03-21,LT Composite > 10 Yrs,3.06,22,1
7,USTREASURY/LONGTERMRATES,2018-03-20,LT Composite > 10 Yrs,3.06,22,1
8,USTREASURY/LONGTERMRATES,2018-03-19,LT Composite > 10 Yrs,3.02,22,1
9,USTREASURY/LONGTERMRATES,2018-03-16,LT Composite > 10 Yrs,3.02,22,1
10,USTREASURY/LONGTERMRATES,2018-03-15,LT Composite > 10 Yrs,2.99,22,1
11,USTREASURY/LONGTERMRATES,2018-03-14,LT Composite > 10 Yrs,2.99,22,1
12,USTREASURY/LONGTERMRATES,2018-03-13,LT Composite > 10 Yrs,3.03,22,1
13,USTREASURY/LONGTERMRATES,2018-03-12,LT Composite > 10 Yrs,3.06,22,1
14,USTREASURY/LONGTERMRATES,2018-03-09,LT Composite > 10 Yrs,3.1,22,1
15,USTREASURY/LONGTERMRATES,2018-03-08,LT Composite > 10 Yrs,3.06,22,1
16,USTREASURY/LONGTERMRATES,2018-03-07,LT Composite > 10 Yrs,3.09,22,1
17,USTREASURY/LONGTERMRATES,2018-03-06,LT Composite > 10 Yrs,3.08,22,1
18,USTREASURY/LONGTERMRATES,2018-03-05,LT Composite > 10 Yrs,3.09,22,1
19,USTREASURY/LONGTERMRATES,2018-03-02,LT Composite > 10 Yrs,3.07,22,1
20,USTREASURY/LONGTERMRATES,2018-03-01,LT Composite > 10 Yrs,3.02,22,1
21,USTREASURY/LONGTERMRATES,2018-02-28,LT Composite > 10 Yrs,3.07,22,1
22,USTREASURY/LONGTERMRATES,2018-02-27,LT Composite > 10 Yrs,3.11,22,1
23,USTREASURY/LONGTERMRATES,2018-02-26,LT Composite > 10 Yrs,3.09,22,1
24,USTREASURY/LONGTERMRATES,2018-02-23,LT Composite > 10 Yrs,3.09,22,1
25,USTREASURY/LONGTERMRATES,2018-02-22,LT Composite > 10 Yrs,3.14,22,1
26,USTREASURY/LONGTERMRATES,2018-02-21,LT Composite > 10 Yrs,3.16,22,1
27,USTREASURY/LONGTERMRATES,2018-02-20,LT Composite > 10 Yrs,3.09,22,1
28,USTREASURY/LONGTERMRATES,2018-02-16,LT Composite > 10 Yrs,3.07,22,1
29,USTREASURY/LONGTERMRATES,2018-02-15,LT Composite > 10 Yrs,3.09,22,1
30,USTREASURY/LONGTERMRATES,2018-02-14,LT Composite > 10 Yrs,3.12,22,1
31,USTREASURY/LONGTERMRATES,2018-02-13,LT Composite > 10 Yrs,3.04,22,1
32,USTREASURY/LONGTERMRATES,2018-02-12,LT Composite > 10 Yrs,3.07,22,1
33,USTREASURY/LONGTERMRATES,2018-02-09,LT Composite > 10 Yrs,3.07,22,1
