,ticker,date_,category,value,instrument_id,data_vendor_id
0,USTREASURY/REALYIELD,2018-04-19,5 YR,0.65,16,1
1,USTREASURY/REALYIELD,2018-04-18,5 YR,0.69,16,1
2,USTREASURY/REALYIELD,2018-04-17,5 YR,0.67,16,1
3,USTREASURY/REALYIELD,2018-04-16,5 YR,0.61,16,1
4,USTREASURY/REALYIELD,2018-04-13,5 YR,0.66,16,1
5,USTREASURY/REALYIELD,2018-04-12,5 YR,0.62,16,1
6,USTREASURY/REALYIELD,2018-04-11,5 YR,0.56,16,1
7,USTREASURY/REALYIELD,2018-04-10,5 YR,0.62,16,1
8,USTREASURY/REALYIELD,2018-04-09,5 YR,0.58,16,1
9,USTREASURY/REALYIELD,2018-04-06,5 YR,0.57,16,1
10,USTREASURY/REALYIELD,2018-04-05,5 YR,0.71,16,1
11,USTREASURY/REALYIELD,2018-04-04,5 YR,0.57,16,1
12,USTREASURY/REALYIELD,2018-04-03,5 YR,0.61,16,1
13,USTREASURY/REALYIELD,2018-04-02,5 YR,0.56,16,1
14,USTREASURY/REALYIELD,2018-03-29,5 YR,0.64,16,1
15,USTREASURY/REALYIELD,2018-03-28,5 YR,0.68,16,1
16,USTREASURY/REALYIELD,2018-03-27,5 YR,0.64,16,1
17,USTREASURY/REALYIELD,2018-03-26,5 YR,0.63,16,1
18,USTREASURY/REALYIELD,2018-03-23,5 YR,0.6,16,1
19,USTREASURY/REALYIELD,2018-03-22,5 YR,0.6,16,1
20,USTREASURY/REALYIELD,2018-03-21,5 YR,0.73,16,1
21,USTREASURY/REALYIELD,2018-03-20,5 YR,0.64,16,1
22,USTREASURY/REALYIELD,2018-03-19,5 YR,0.61,16,1
23,USTREASURY/REALYIELD,2018-03-16,5 YR,0.6,16,1
24,USTREASURY/REALYIELD,2018-03-15,5 YR,0.55,16,1
25,USTREASURY/REALYIELD,2018-03-14,5 YR,0.57,16,1
26,USTREASURY/REALYIELD,2018-03-13,5 YR,0.57,16,1
27,USTREASURY/REALYIELD,2018-03-12,5 YR,0.62,16,1
28,USTREASURY/REALYIELD,2018-03-09,5 YR,0.69,16,1
29,USTREASURY/REALYIELD,2018-03-08,5 YR,0.55,16,1
30,USTREASURY/REALYIELD,2018-03-07,5 YR,0.55,16,1
31,USTREASURY/REALYIELD,2018-03-06,5 YR,0.55,16,1
32,USTREASURY/REALYIELD,2018-03-05,5 YR,0.6,16,1
33,USTREASURY/REALYIELD,2018-03-02,5 YR,0.6,16,1
34,USTREASURY/REALYIELD,2018-03-01,5 YR,0.55,16,1
35,USTREASURY/REALYIELD,2018-02-28,5 YR,0.61,16,1
36,USTREASURY/REALYIELD,2018-02-27,5 YR,0.58,16,1
37,USTREASURY/REALYIELD,2018-02-26,5 YR,0.53,16,1
38,USTREASURY/REALYIELD,2018-02-23,5 YR,0.58,16,1
39,USTREASURY/REALYIELD,2018-02-22,5 YR,0.6,16,1
40,USTREASURY/REALYIELD,2018-02-21,5 YR,0.63,16,1
41,USTREASURY/REALYIELD,2018-02-20,5 YR,0.61,16,1
42,USTREASURY/REALYIELD,2018-02-16,5 YR,0.63,16,1
43,USTREASURY/REALYIELD,2018-02-15,5 YR,0.65,16,1
44,USTREASURY/REALYIELD,2018-02-14,5 YR,0.74,16,1
45,USTREASURY/REALYIELD,2018-02-13,5 YR,0.66,16,1
46,USTREASURY/REALYIELD,2018-02-12,5 YR,0.72,16,1
47,USTREASURY/REALYIELD,2018-02-09,5 YR,0.69,16,1
48,USTREASURY/REALYIELD,2018-02-08,5 YR,0.68,16,1
49,USTREASURY/REALYIELD,2018-02-07,5 YR,0.67,16,1
50,USTREASURY/REALYIELD,2018-02-06,5 YR,0.64,16,1
51,USTREASURY/REALYIELD,2018-02-05,5 YR,0.55,16,1
52,USTREASURY/REALYIELD,2018-02-02,5 YR,0.65,16,1
53,USTREASURY/REALYIELD,2018-02-01,5 YR,0.63,16,1
