,ticker,date_,category,value,instrument_id,data_vendor_id
0,USTREASURY/TMBOR,2015-09-30,Bills,-82.90808,19,1
1,USTREASURY/TMBOR,2015-06-30,Bills,20.01,19,1
2,USTREASURY/TMBOR,2015-03-31,Bills,47.0,19,1
3,USTREASURY/TMBOR,2014-12-31,Bills,22.99,19,1
4,USTREASURY/TMBOR,2014-09-30,Bills,-264.0,19,1
5,USTREASURY/TMBOR,2014-06-30,Bills,60.0,19,1
6,USTREASURY/TMBOR,2014-03-31,Bills,62.0,19,1
7,USTREASURY/TMBOR,2013-12-31,Bills,-40.0,19,1
8,USTREASURY/TMBOR,2013-09-30,Bills,-221.0,19,1
9,USTREASURY/TMBOR,2013-06-30,Bills,162.0,19,1
10,USTREASURY/TMBOR,2013-03-31,Bills,13.0,19,1
11,USTREASURY/TMBOR,2012-12-31,Bills,19.6,19,1
12,USTREASURY/TMBOR,2012-09-30,Bills,-78.0,19,1
13,USTREASURY/TMBOR,2012-06-30,Bills,153.93,19,1
14,USTREASURY/TMBOR,2012-03-31,Bills,43.0,19,1
15,USTREASURY/TMBOR,2011-12-31,Bills,-54.0,19,1
16,USTREASURY/TMBOR,2011-09-30,Bills,-167.0,19,1
17,USTREASURY/TMBOR,2011-06-30,Bills,-74.03,19,1
18,USTREASURY/TMBOR,2011-03-31,Bills,-15.92,19,1
19,USTREASURY/TMBOR,2010-12-31,Bills,5.93,19,1
20,USTREASURY/TMBOR,2010-09-30,Bills,-60.95,19,1
21,USTREASURY/TMBOR,2010-06-30,Bills,50.01,19,1
22,USTREASURY/TMBOR,2010-03-31,Bills,-199.03,19,1
23,USTREASURY/TMBOR,2009-12-31,Bills,-13.95,19,1
24,USTREASURY/TMBOR,2009-09-30,Bills,-27.1,19,1
25,USTREASURY/TMBOR,2009-06-30,Bills,166.9,19,1
26,USTREASURY/TMBOR,2009-03-31,Bills,376.85,19,1
27,USTREASURY/TMBOR,2008-12-31,Bills,429.35,19,1
28,USTREASURY/TMBOR,2008-09-30,Bills,-97.93,19,1
29,USTREASURY/TMBOR,2008-06-30,Bills,154.51,19,1
30,USTREASURY/TMBOR,2008-03-31,Bills,45.8,19,1
31,USTREASURY/TMBOR,2007-12-31,Bills,89.03,19,1
32,USTREASURY/TMBOR,2007-09-30,Bills,-164.04,19,1
33,USTREASURY/TMBOR,2007-06-30,Bills,88.87,19,1
34,USTREASURY/TMBOR,2007-03-31,Bills,32.69,19,1
35,USTREASURY/TMBOR,2006-12-31,Bills,-5.18,19,1
36,USTREASURY/TMBOR,2006-09-30,Bills,-125.34,19,1
37,USTREASURY/TMBOR,2006-06-30,Bills,78.18,19,1
38,USTREASURY/TMBOR,2006-03-31,Bills,49.6,19,1
39,USTREASURY/TMBOR,2005-12-31,Bills,-9.14,19,1
40,USTREASURY/TMBOR,2005-09-30,Bills,-135.7,19,1
41,USTREASURY/TMBOR,2005-06-30,Bills,55.93,19,1
42,USTREASURY/TMBOR,2005-03-31,Bills,41.7,19,1
43,USTREASURY/TMBOR,2004-12-31,Bills,14.69,19,1
44,USTREASURY/TMBOR,2004-09-30,Bills,-38.18,19,1
45,USTREASURY/TMBOR,2004-06-30,Bills,56.17,19,1
46,USTREASURY/TMBOR,2004-03-31,Bills,10.57,19,1
47,USTREASURY/TMBOR,2003-12-31,Bills,-9.56,19,1
48,USTREASURY/TMBOR,2003-09-30,Bills,-27.26,19,1
49,USTREASURY/TMBOR,2003-06-30,Bills,66.28,19,1
50,USTREASURY/TMBOR,2003-03-31,Bills,20.51,19,1
51,USTREASURY/TMBOR,2002-12-31,Bills,45.78,19,1
52,USTREASURY/TMBOR,2002-09-30,Bills,-11.94,19,1
53,USTREASURY/TMBOR,2002-06-30,Bills,23.16,19,1
54,USTREASURY/TMBOR,2002-03-31,Bills,76.36,19,1
55,USTREASURY/TMBOR,2001-12-31,Bills,114.81,19,1
56,USTREASURY/TMBOR,2001-09-30,Bills,-91.95,19,1
57,USTREASURY/TMBOR,2001-06-30,Bills,65.18,19,1
58,USTREASURY/TMBOR,2001-03-31,Bills,30.68,19,1
59,USTREASURY/TMBOR,2000-12-31,Bills,-13.75,19,1
60,USTREASURY/TMBOR,2000-09-30,Bills,-123.36,19,1
