,ticker,date_,category,value,instrument_id,data_vendor_id
0,USTREASURY/YIELD,2018-04-19,1 MO,1.67,14,1
1,USTREASURY/YIELD,2018-04-18,1 MO,1.67,14,1
2,USTREASURY/YIELD,2018-04-17,1 MO,1.68,14,1
3,USTREASURY/YIELD,2018-04-16,1 MO,1.64,14,1
4,USTREASURY/YIELD,2018-04-13,1 MO,1.64,14,1
5,USTREASURY/YIELD,2018-04-12,1 MO,1.65,14,1
6,USTREASURY/YIELD,2018-04-11,1 MO,1.64,14,1
7,USTREASURY/YIELD,2018-04-10,1 MO,1.63,14,1
8,USTREASURY/YIELD,2018-04-09,1 MO,1.67,14,1
9,USTREASURY/YIELD,2018-04-06,1 MO,1.68,14,1
10,USTREASURY/YIELD,2018-04-05,1 MO,1.67,14,1
11,USTREASURY/YIELD,2018-04-04,1 MO,1.67,14,1
12,USTREASURY/YIELD,2018-04-03,1 MO,1.7,14,1
13,USTREASURY/YIELD,2018-04-02,1 MO,1.68,14,1
14,USTREASURY/YIELD,2018-03-29,1 MO,1.63,14,1
15,USTREASURY/YIELD,2018-03-28,1 MO,1.65,14,1
16,USTREASURY/YIELD,2018-03-27,1 MO,1.69,14,1
17,USTREASURY/YIELD,2018-03-26,1 MO,1.71,14,1
18,USTREASURY/YIELD,2018-03-23,1 MO,1.69,14,1
19,USTREASURY/YIELD,2018-03-22,1 MO,1.67,14,1
20,USTREASURY/YIELD,2018-03-21,1 MO,1.71,14,1
21,USTREASURY/YIELD,2018-03-20,1 MO,1.76,14,1
22,USTREASURY/YIELD,2018-03-19,1 MO,1.7,14,1
23,USTREASURY/YIELD,2018-03-16,1 MO,1.71,14,1
24,USTREASURY/YIELD,2018-03-15,1 MO,1.7,14,1
25,USTREASURY/YIELD,2018-03-14,1 MO,1.71,14,1
26,USTREASURY/YIELD,2018-03-13,1 MO,1.64,14,1
27,USTREASURY/YIELD,2018-03-12,1 MO,1.6,14,1
28,USTREASURY/YIELD,2018-03-09,1 MO,1.57,14,1
29,USTREASURY/YIELD,2018-03-08,1 MO,1.57,14,1
30,USTREASURY/YIELD,2018-03-07,1 MO,1.57,14,1
31,USTREASURY/YIELD,2018-03-06,1 MO,1.56,14,1
32,USTREASURY/YIELD,2018-03-05,1 MO,1.53,14,1
33,USTREASURY/YIELD,2018-03-02,1 MO,1.5,14,1
34,USTREASURY/YIELD,2018-03-01,1 MO,1.5,14,1
35,USTREASURY/YIELD,2018-02-28,1 MO,1.5,14,1
36,USTREASURY/YIELD,2018-02-27,1 MO,1.49,14,1
37,USTREASURY/YIELD,2018-02-26,1 MO,1.39,14,1
38,USTREASURY/YIELD,2018-02-23,1 MO,1.38,14,1
39,USTREASURY/YIELD,2018-02-22,1 MO,1.34,14,1
40,USTREASURY/YIELD,2018-02-21,1 MO,1.4,14,1
41,USTREASURY/YIELD,2018-02-20,1 MO,1.39,14,1
42,USTREASURY/YIELD,2018-02-16,1 MO,1.35,14,1
43,USTREASURY/YIELD,2018-02-15,1 MO,1.3,14,1
44,USTREASURY/YIELD,2018-02-14,1 MO,1.32,14,1
45,USTREASURY/YIELD,2018-02-13,1 MO,1.34,14,1
46,USTREASURY/YIELD,2018-02-12,1 MO,1.35,14,1
47,USTREASURY/YIELD,2018-02-09,1 MO,1.31,14,1
48,USTREASURY/YIELD,2018-02-08,1 MO,1.32,14,1
49,USTREASURY/YIELD,2018-02-07,1 MO,1.36,14,1
50,USTREASURY/YIELD,2018-02-06,1 MO,1.48,14,1
51,USTREASURY/YIELD,2018-02-05,1 MO,1.4,14,1
52,USTREASURY/YIELD,2018-02-02,1 MO,1.4,14,1
53,USTREASURY/YIELD,2018-02-01,1 MO,1.41,14,1
54,USTREASURY/YIELD,2018-01-31,1 MO,1.43,14,1
55,USTREASURY/YIELD,2018-01-30,1 MO,1.49,14,1
56,USTREASURY/YIELD,2018-01-29,1 MO,1.28,14,1
57,USTREASURY/YIELD,2018-01-26,1 MO,1.24,14,1
58,USTREASURY/YIELD,2018-01-25,1 MO,1.23,14,1
59,USTREASURY/YIELD,2018-01-24,1 MO,1.25,14,1
60,USTREASURY/YIELD,2018-01-23,1 MO,1.26,14,1
61,USTREASURY/YIELD,2018-01-22,1 MO,1.27,14,1
62,USTREASURY/YIELD,2018-01-19,1 MO,1.28,14,1
63,USTREASURY/YIELD,2018-01-18,1 MO,1.29,14,1
64,USTREASURY/YIELD,2018-01-17,1 MO,1.31,14,1
65,USTREASURY/YIELD,2018-01-16,1 MO,1.33,14,1
66,USTREASURY/YIELD,2018-01-12,1 MO,1.31,14,1
67,USTREASURY/YIELD,2018-01-11,1 MO,1.32,14,1
68,USTREASURY/YIELD,2018-01-10,1 MO,1.31,14,1
69,USTREASURY/YIELD,2018-01-09,1 MO,1.27,14,1
70,USTREASURY/YIELD,2018-01-08,1 MO,1.3,14,1
71,USTREASURY/YIELD,2018-01-05,1 MO,1.27,14,1
72,USTREASURY/YIELD,2018-01-04,1 MO,1.28,14,1
73,USTREASURY/YIELD,2018-01-03,1 MO,1.29,14,1
74,USTREASURY/YIELD,2018-01-02,1 MO,1.29,14,1
75,USTREASURY/YIELD,2017-12-29,1 MO,1.28,14,1
76,USTREASURY/YIELD,2017-12-28,1 MO,1.19,14,1
77,USTREASURY/YIELD,2017-12-27,1 MO,1.18,14,1
78,USTREASURY/YIELD,2017-12-26,1 MO,1.24,14,1
79,USTREASURY/YIELD,2017-12-22,1 MO,1.15,14,1
80,USTREASURY/YIELD,2017-12-21,1 MO,1.21,14,1
81,USTREASURY/YIELD,2017-12-20,1 MO,1.22,14,1
82,USTREASURY/YIELD,2017-12-19,1 MO,1.25,14,1
83,USTREASURY/YIELD,2017-12-18,1 MO,1.26,14,1
84,USTREASURY/YIELD,2017-12-15,1 MO,1.24,14,1
85,USTREASURY/YIELD,2017-12-14,1 MO,1.21,14,1
86,USTREASURY/YIELD,2017-12-13,1 MO,1.22,14,1
87,USTREASURY/YIELD,2017-12-12,1 MO,1.26,14,1
88,USTREASURY/YIELD,2017-12-11,1 MO,1.18,14,1
89,USTREASURY/YIELD,2017-12-08,1 MO,1.14,14,1
90,USTREASURY/YIELD,2017-12-07,1 MO,1.16,14,1
91,USTREASURY/YIELD,2017-12-06,1 MO,1.18,14,1
92,USTREASURY/YIELD,2017-12-05,1 MO,1.21,14,1
