,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,75,8,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),No. of Analysts,22.0
1,75,8,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),Avg. Estimate,1.46
2,75,8,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),Low Estimate,1.44
3,75,8,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),High Estimate,1.5
4,75,8,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),Year Ago EPS,1.26
5,75,8,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),No. of Analysts,22.0
6,75,8,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),Avg. Estimate,1.52
7,75,8,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),Low Estimate,1.47
8,75,8,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),High Estimate,1.59
9,75,8,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),Year Ago EPS,1.45
10,75,8,2,2018-07-03 00:06:12,Current Year (2018),No. of Analysts,22.0
11,75,8,2,2018-07-03 00:06:12,Current Year (2018),Avg. Estimate,5.85
12,75,8,2,2018-07-03 00:06:12,Current Year (2018),Low Estimate,5.8
13,75,8,2,2018-07-03 00:06:12,Current Year (2018),High Estimate,5.94
14,75,8,2,2018-07-03 00:06:12,Current Year (2018),Year Ago EPS,4.72
15,75,8,2,2018-07-03 00:06:12,Next Year (2019),No. of Analysts,23.0
16,75,8,2,2018-07-03 00:06:12,Next Year (2019),Avg. Estimate,5.91
17,75,8,2,2018-07-03 00:06:12,Next Year (2019),Low Estimate,5.5
18,75,8,2,2018-07-03 00:06:12,Next Year (2019),High Estimate,6.31
19,75,8,2,2018-07-03 00:06:12,Next Year (2019),Year Ago EPS,5.85
0,75,9,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),No. of Analysts,21
1,75,9,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),Avg. Estimate,1.51B
2,75,9,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),Low Estimate,1.51B
3,75,9,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),High Estimate,1.54B
4,75,9,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),Year Ago Sales,1.46B
5,75,9,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),Sales Growth (year/est),3.90%
6,75,9,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),No. of Analysts,21
7,75,9,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),Avg. Estimate,1.55B
8,75,9,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),Low Estimate,1.52B
9,75,9,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),High Estimate,1.58B
10,75,9,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),Year Ago Sales,1.54B
11,75,9,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),Sales Growth (year/est),0.70%
12,75,9,2,2018-07-03 00:06:12,Current Year (2018),No. of Analysts,23
13,75,9,2,2018-07-03 00:06:12,Current Year (2018),Avg. Estimate,6.1B
14,75,9,2,2018-07-03 00:06:12,Current Year (2018),Low Estimate,6.06B
15,75,9,2,2018-07-03 00:06:12,Current Year (2018),High Estimate,6.15B
16,75,9,2,2018-07-03 00:06:12,Current Year (2018),Year Ago Sales,5.19B
17,75,9,2,2018-07-03 00:06:12,Current Year (2018),Sales Growth (year/est),17.40%
18,75,9,2,2018-07-03 00:06:12,Next Year (2019),No. of Analysts,22
19,75,9,2,2018-07-03 00:06:12,Next Year (2019),Avg. Estimate,6.34B
20,75,9,2,2018-07-03 00:06:12,Next Year (2019),Low Estimate,6.17B
21,75,9,2,2018-07-03 00:06:12,Next Year (2019),High Estimate,6.52B
22,75,9,2,2018-07-03 00:06:12,Next Year (2019),Year Ago Sales,6.1B
23,75,9,2,2018-07-03 00:06:12,Next Year (2019),Sales Growth (year/est),3.90%
0,75,10,2,2018-07-03 00:06:12,7/30/2017,EPS Est.,1.15
1,75,10,2,2018-07-03 00:06:12,7/30/2017,EPS Actual,1.26
2,75,10,2,2018-07-03 00:06:12,7/30/2017,Difference,0.11
3,75,10,2,2018-07-03 00:06:12,7/30/2017,Surprise %,9.60%
4,75,10,2,2018-07-03 00:06:12,10/30/2017,EPS Est.,1.36
5,75,10,2,2018-07-03 00:06:12,10/30/2017,EPS Actual,1.45
6,75,10,2,2018-07-03 00:06:12,10/30/2017,Difference,0.09
7,75,10,2,2018-07-03 00:06:12,10/30/2017,Surprise %,6.60%
8,75,10,2,2018-07-03 00:06:12,1/30/2018,EPS Est.,1.29
9,75,10,2,2018-07-03 00:06:12,1/30/2018,EPS Actual,1.42
10,75,10,2,2018-07-03 00:06:12,1/30/2018,Difference,0.13
11,75,10,2,2018-07-03 00:06:12,1/30/2018,Surprise %,10.10%
12,75,10,2,2018-07-03 00:06:12,4/29/2018,EPS Est.,1.38
13,75,10,2,2018-07-03 00:06:12,4/29/2018,EPS Actual,1.45
14,75,10,2,2018-07-03 00:06:12,4/29/2018,Difference,0.07
15,75,10,2,2018-07-03 00:06:12,4/29/2018,Surprise %,5.10%
0,75,11,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),Current Estimate,1.46
1,75,11,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),7 Days Ago,1.46
2,75,11,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),30 Days Ago,1.45
3,75,11,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),60 Days Ago,1.4
4,75,11,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),90 Days Ago,1.4
5,75,11,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),Current Estimate,1.52
6,75,11,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),7 Days Ago,1.53
7,75,11,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),30 Days Ago,1.52
8,75,11,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),60 Days Ago,1.47
9,75,11,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),90 Days Ago,1.47
10,75,11,2,2018-07-03 00:06:12,Current Year (2018),Current Estimate,5.85
11,75,11,2,2018-07-03 00:06:12,Current Year (2018),7 Days Ago,5.85
12,75,11,2,2018-07-03 00:06:12,Current Year (2018),30 Days Ago,5.84
13,75,11,2,2018-07-03 00:06:12,Current Year (2018),60 Days Ago,5.67
14,75,11,2,2018-07-03 00:06:12,Current Year (2018),90 Days Ago,5.67
15,75,11,2,2018-07-03 00:06:12,Next Year (2019),Current Estimate,5.91
16,75,11,2,2018-07-03 00:06:12,Next Year (2019),7 Days Ago,5.91
17,75,11,2,2018-07-03 00:06:12,Next Year (2019),30 Days Ago,5.9
18,75,11,2,2018-07-03 00:06:12,Next Year (2019),60 Days Ago,5.72
19,75,11,2,2018-07-03 00:06:12,Next Year (2019),90 Days Ago,5.73
0,75,12,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),Up Last 7 Days,
1,75,12,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),Up Last 30 Days,
2,75,12,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),Down Last 7 Days,
3,75,12,2,2018-07-03 00:06:12,Current Qtr. (Jul 2018),Down Last 30 Days,
4,75,12,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),Up Last 7 Days,
5,75,12,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),Up Last 30 Days,
6,75,12,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),Down Last 7 Days,
7,75,12,2,2018-07-03 00:06:12,Next Qtr. (Oct 2018),Down Last 30 Days,
8,75,12,2,2018-07-03 00:06:12,Current Year (2018),Up Last 7 Days,
9,75,12,2,2018-07-03 00:06:12,Current Year (2018),Up Last 30 Days,1.0
10,75,12,2,2018-07-03 00:06:12,Current Year (2018),Down Last 7 Days,
11,75,12,2,2018-07-03 00:06:12,Current Year (2018),Down Last 30 Days,
12,75,12,2,2018-07-03 00:06:12,Next Year (2019),Up Last 7 Days,
13,75,12,2,2018-07-03 00:06:12,Next Year (2019),Up Last 30 Days,1.0
14,75,12,2,2018-07-03 00:06:12,Next Year (2019),Down Last 7 Days,
15,75,12,2,2018-07-03 00:06:12,Next Year (2019),Down Last 30 Days,
0,75,13,2,2018-07-03 00:06:12,Current Qtr.,ADI,15.90%
1,75,13,2,2018-07-03 00:06:12,Next Qtr.,ADI,4.80%
2,75,13,2,2018-07-03 00:06:12,Current Year,ADI,23.90%
