,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,67,8,2,2018-07-03 00:01:39,Current Qtr. (Jun 2018),No. of Analysts,14.0
1,67,8,2,2018-07-03 00:01:39,Current Qtr. (Jun 2018),Avg. Estimate,0.9
2,67,8,2,2018-07-03 00:01:39,Current Qtr. (Jun 2018),Low Estimate,0.87
3,67,8,2,2018-07-03 00:01:39,Current Qtr. (Jun 2018),High Estimate,1.0
4,67,8,2,2018-07-03 00:01:39,Current Qtr. (Jun 2018),Year Ago EPS,0.66
5,67,8,2,2018-07-03 00:01:39,Next Qtr. (Sep 2018),No. of Analysts,9.0
6,67,8,2,2018-07-03 00:01:39,Next Qtr. (Sep 2018),Avg. Estimate,1.12
7,67,8,2,2018-07-03 00:01:39,Next Qtr. (Sep 2018),Low Estimate,1.08
8,67,8,2,2018-07-03 00:01:39,Next Qtr. (Sep 2018),High Estimate,1.18
9,67,8,2,2018-07-03 00:01:39,Next Qtr. (Sep 2018),Year Ago EPS,0.91
10,67,8,2,2018-07-03 00:01:39,Current Year (2018),No. of Analysts,14.0
11,67,8,2,2018-07-03 00:01:39,Current Year (2018),Avg. Estimate,4.32
12,67,8,2,2018-07-03 00:01:39,Current Year (2018),Low Estimate,4.19
13,67,8,2,2018-07-03 00:01:39,Current Year (2018),High Estimate,4.43
14,67,8,2,2018-07-03 00:01:39,Current Year (2018),Year Ago EPS,3.7
15,67,8,2,2018-07-03 00:01:39,Next Year (2019),No. of Analysts,16.0
16,67,8,2,2018-07-03 00:01:39,Next Year (2019),Avg. Estimate,5.11
17,67,8,2,2018-07-03 00:01:39,Next Year (2019),Low Estimate,4.91
18,67,8,2,2018-07-03 00:01:39,Next Year (2019),High Estimate,5.37
19,67,8,2,2018-07-03 00:01:39,Next Year (2019),Year Ago EPS,4.32
0,67,9,2,2018-07-03 00:01:39,Current Qtr. (Jun 2018),No. of Analysts,11
1,67,9,2,2018-07-03 00:01:39,Current Qtr. (Jun 2018),Avg. Estimate,3.3B
2,67,9,2,2018-07-03 00:01:39,Current Qtr. (Jun 2018),Low Estimate,3.27B
3,67,9,2,2018-07-03 00:01:39,Current Qtr. (Jun 2018),High Estimate,3.35B
4,67,9,2,2018-07-03 00:01:39,Current Qtr. (Jun 2018),Year Ago Sales,3.06B
5,67,9,2,2018-07-03 00:01:39,Current Qtr. (Jun 2018),Sales Growth (year/est),7.60%
6,67,9,2,2018-07-03 00:01:39,Next Qtr. (Sep 2018),No. of Analysts,7
7,67,9,2,2018-07-03 00:01:39,Next Qtr. (Sep 2018),Avg. Estimate,3.31B
8,67,9,2,2018-07-03 00:01:39,Next Qtr. (Sep 2018),Low Estimate,3.27B
9,67,9,2,2018-07-03 00:01:39,Next Qtr. (Sep 2018),High Estimate,3.35B
10,67,9,2,2018-07-03 00:01:39,Next Qtr. (Sep 2018),Year Ago Sales,3.08B
11,67,9,2,2018-07-03 00:01:39,Next Qtr. (Sep 2018),Sales Growth (year/est),7.40%
12,67,9,2,2018-07-03 00:01:39,Current Year (2018),No. of Analysts,12
13,67,9,2,2018-07-03 00:01:39,Current Year (2018),Avg. Estimate,13.3B
14,67,9,2,2018-07-03 00:01:39,Current Year (2018),Low Estimate,13.28B
15,67,9,2,2018-07-03 00:01:39,Current Year (2018),High Estimate,13.36B
16,67,9,2,2018-07-03 00:01:39,Current Year (2018),Year Ago Sales,12.38B
17,67,9,2,2018-07-03 00:01:39,Current Year (2018),Sales Growth (year/est),7.50%
18,67,9,2,2018-07-03 00:01:39,Next Year (2019),No. of Analysts,13
19,67,9,2,2018-07-03 00:01:39,Next Year (2019),Avg. Estimate,14.24B
20,67,9,2,2018-07-03 00:01:39,Next Year (2019),Low Estimate,14B
21,67,9,2,2018-07-03 00:01:39,Next Year (2019),High Estimate,14.47B
22,67,9,2,2018-07-03 00:01:39,Next Year (2019),Year Ago Sales,13.3B
23,67,9,2,2018-07-03 00:01:39,Next Year (2019),Sales Growth (year/est),7.00%
0,67,10,2,2018-07-03 00:01:39,6/29/2017,EPS Est.,0.67
1,67,10,2,2018-07-03 00:01:39,6/29/2017,EPS Actual,0.66
2,67,10,2,2018-07-03 00:01:39,6/29/2017,Difference,-0.01
3,67,10,2,2018-07-03 00:01:39,6/29/2017,Surprise %,-1.50%
4,67,10,2,2018-07-03 00:01:39,9/29/2017,EPS Est.,0.85
5,67,10,2,2018-07-03 00:01:39,9/29/2017,EPS Actual,0.91
6,67,10,2,2018-07-03 00:01:39,9/29/2017,Difference,0.06
7,67,10,2,2018-07-03 00:01:39,9/29/2017,Surprise %,7.10%
8,67,10,2,2018-07-03 00:01:39,12/30/2017,EPS Est.,0.9
9,67,10,2,2018-07-03 00:01:39,12/30/2017,EPS Actual,0.99
10,67,10,2,2018-07-03 00:01:39,12/30/2017,Difference,0.09
11,67,10,2,2018-07-03 00:01:39,12/30/2017,Surprise %,10.00%
12,67,10,2,2018-07-03 00:01:39,3/30/2018,EPS Est.,1.44
13,67,10,2,2018-07-03 00:01:39,3/30/2018,EPS Actual,1.52
14,67,10,2,2018-07-03 00:01:39,3/30/2018,Difference,0.08
15,67,10,2,2018-07-03 00:01:39,3/30/2018,Surprise %,5.60%
0,67,11,2,2018-07-03 00:01:39,Current Qtr. (Jun 2018),Current Estimate,0.9
1,67,11,2,2018-07-03 00:01:39,Current Qtr. (Jun 2018),7 Days Ago,0.9
2,67,11,2,2018-07-03 00:01:39,Current Qtr. (Jun 2018),30 Days Ago,0.89
3,67,11,2,2018-07-03 00:01:39,Current Qtr. (Jun 2018),60 Days Ago,0.82
4,67,11,2,2018-07-03 00:01:39,Current Qtr. (Jun 2018),90 Days Ago,0.81
5,67,11,2,2018-07-03 00:01:39,Next Qtr. (Sep 2018),Current Estimate,1.12
6,67,11,2,2018-07-03 00:01:39,Next Qtr. (Sep 2018),7 Days Ago,1.12
7,67,11,2,2018-07-03 00:01:39,Next Qtr. (Sep 2018),30 Days Ago,1.07
8,67,11,2,2018-07-03 00:01:39,Next Qtr. (Sep 2018),60 Days Ago,1.05
9,67,11,2,2018-07-03 00:01:39,Next Qtr. (Sep 2018),90 Days Ago,1.05
10,67,11,2,2018-07-03 00:01:39,Current Year (2018),Current Estimate,4.32
11,67,11,2,2018-07-03 00:01:39,Current Year (2018),7 Days Ago,4.32
12,67,11,2,2018-07-03 00:01:39,Current Year (2018),30 Days Ago,4.3
13,67,11,2,2018-07-03 00:01:39,Current Year (2018),60 Days Ago,4.15
14,67,11,2,2018-07-03 00:01:39,Current Year (2018),90 Days Ago,4.15
15,67,11,2,2018-07-03 00:01:39,Next Year (2019),Current Estimate,5.11
16,67,11,2,2018-07-03 00:01:39,Next Year (2019),7 Days Ago,5.1
17,67,11,2,2018-07-03 00:01:39,Next Year (2019),30 Days Ago,4.91
18,67,11,2,2018-07-03 00:01:39,Next Year (2019),60 Days Ago,4.81
