,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,82,8,2,2018-07-03 00:08:45,Current Qtr. (Jun 2018),No. of Analysts,17.0
1,82,8,2,2018-07-03 00:08:45,Current Qtr. (Jun 2018),Avg. Estimate,0.99
2,82,8,2,2018-07-03 00:08:45,Current Qtr. (Jun 2018),Low Estimate,0.97
3,82,8,2,2018-07-03 00:08:45,Current Qtr. (Jun 2018),High Estimate,1.03
4,82,8,2,2018-07-03 00:08:45,Current Qtr. (Jun 2018),Year Ago EPS,0.92
5,82,8,2,2018-07-03 00:08:45,Next Qtr. (Sep 2018),No. of Analysts,17.0
6,82,8,2,2018-07-03 00:08:45,Next Qtr. (Sep 2018),Avg. Estimate,0.99
7,82,8,2,2018-07-03 00:08:45,Next Qtr. (Sep 2018),Low Estimate,0.95
8,82,8,2,2018-07-03 00:08:45,Next Qtr. (Sep 2018),High Estimate,1.02
9,82,8,2,2018-07-03 00:08:45,Next Qtr. (Sep 2018),Year Ago EPS,0.85
10,82,8,2,2018-07-03 00:08:45,Current Year (2018),No. of Analysts,16.0
11,82,8,2,2018-07-03 00:08:45,Current Year (2018),Avg. Estimate,3.98
12,82,8,2,2018-07-03 00:08:45,Current Year (2018),Low Estimate,3.9
13,82,8,2,2018-07-03 00:08:45,Current Year (2018),High Estimate,4.05
14,82,8,2,2018-07-03 00:08:45,Current Year (2018),Year Ago EPS,3.46
15,82,8,2,2018-07-03 00:08:45,Next Year (2019),No. of Analysts,17.0
16,82,8,2,2018-07-03 00:08:45,Next Year (2019),Avg. Estimate,4.13
17,82,8,2,2018-07-03 00:08:45,Next Year (2019),Low Estimate,4.04
18,82,8,2,2018-07-03 00:08:45,Next Year (2019),High Estimate,4.2
19,82,8,2,2018-07-03 00:08:45,Next Year (2019),Year Ago EPS,3.98
0,82,9,2,2018-07-03 00:08:45,Current Qtr. (Jun 2018),No. of Analysts,6
1,82,9,2,2018-07-03 00:08:45,Current Qtr. (Jun 2018),Avg. Estimate,5.51B
2,82,9,2,2018-07-03 00:08:45,Current Qtr. (Jun 2018),Low Estimate,5.4B
3,82,9,2,2018-07-03 00:08:45,Current Qtr. (Jun 2018),High Estimate,5.7B
4,82,9,2,2018-07-03 00:08:45,Current Qtr. (Jun 2018),Year Ago Sales,5.43B
5,82,9,2,2018-07-03 00:08:45,Current Qtr. (Jun 2018),Sales Growth (year/est),1.50%
6,82,9,2,2018-07-03 00:08:45,Next Qtr. (Sep 2018),No. of Analysts,6
7,82,9,2,2018-07-03 00:08:45,Next Qtr. (Sep 2018),Avg. Estimate,5.53B
8,82,9,2,2018-07-03 00:08:45,Next Qtr. (Sep 2018),Low Estimate,5.42B
9,82,9,2,2018-07-03 00:08:45,Next Qtr. (Sep 2018),High Estimate,5.75B
10,82,9,2,2018-07-03 00:08:45,Next Qtr. (Sep 2018),Year Ago Sales,5.51B
11,82,9,2,2018-07-03 00:08:45,Next Qtr. (Sep 2018),Sales Growth (year/est),0.40%
12,82,9,2,2018-07-03 00:08:45,Current Year (2018),No. of Analysts,7
13,82,9,2,2018-07-03 00:08:45,Current Year (2018),Avg. Estimate,21.98B
14,82,9,2,2018-07-03 00:08:45,Current Year (2018),Low Estimate,21.7B
15,82,9,2,2018-07-03 00:08:45,Current Year (2018),High Estimate,22.62B
16,82,9,2,2018-07-03 00:08:45,Current Year (2018),Year Ago Sales,21.67B
17,82,9,2,2018-07-03 00:08:45,Current Year (2018),Sales Growth (year/est),1.50%
18,82,9,2,2018-07-03 00:08:45,Next Year (2019),No. of Analysts,8
