,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,459,8,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),No. of Analysts,16.0
1,459,8,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),Avg. Estimate,1.09
2,459,8,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),Low Estimate,1.03
3,459,8,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),High Estimate,1.21
4,459,8,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),Year Ago EPS,0.85
5,459,8,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),No. of Analysts,16.0
6,459,8,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),Avg. Estimate,1.18
7,459,8,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),Low Estimate,1.13
8,459,8,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),High Estimate,1.28
9,459,8,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),Year Ago EPS,1.01
10,459,8,2,2018-07-03 02:30:38,Current Year (2018),No. of Analysts,15.0
11,459,8,2,2018-07-03 02:30:38,Current Year (2018),Avg. Estimate,4.75
12,459,8,2,2018-07-03 02:30:38,Current Year (2018),Low Estimate,4.63
13,459,8,2,2018-07-03 02:30:38,Current Year (2018),High Estimate,4.97
14,459,8,2,2018-07-03 02:30:38,Current Year (2018),Year Ago EPS,3.89
15,459,8,2,2018-07-03 02:30:38,Next Year (2019),No. of Analysts,16.0
16,459,8,2,2018-07-03 02:30:38,Next Year (2019),Avg. Estimate,6.05
17,459,8,2,2018-07-03 02:30:38,Next Year (2019),Low Estimate,5.64
18,459,8,2,2018-07-03 02:30:38,Next Year (2019),High Estimate,6.66
19,459,8,2,2018-07-03 02:30:38,Next Year (2019),Year Ago EPS,4.75
0,459,9,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),No. of Analysts,14
1,459,9,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),Avg. Estimate,471.88M
2,459,9,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),Low Estimate,465M
3,459,9,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),High Estimate,481.5M
4,459,9,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),Year Ago Sales,356.48M
5,459,9,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),Sales Growth (year/est),32.40%
6,459,9,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),No. of Analysts,14
7,459,9,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),Avg. Estimate,500.15M
8,459,9,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),Low Estimate,487.9M
9,459,9,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),High Estimate,510.9M
10,459,9,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),Year Ago Sales,385.27M
11,459,9,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),Sales Growth (year/est),29.80%
12,459,9,2,2018-07-03 02:30:38,Current Year (2018),No. of Analysts,16
13,459,9,2,2018-07-03 02:30:38,Current Year (2018),Avg. Estimate,1.95B
14,459,9,2,2018-07-03 02:30:38,Current Year (2018),Low Estimate,1.92B
15,459,9,2,2018-07-03 02:30:38,Current Year (2018),High Estimate,1.98B
16,459,9,2,2018-07-03 02:30:38,Current Year (2018),Year Ago Sales,1.47B
17,459,9,2,2018-07-03 02:30:38,Current Year (2018),Sales Growth (year/est),32.40%
18,459,9,2,2018-07-03 02:30:38,Next Year (2019),No. of Analysts,16
19,459,9,2,2018-07-03 02:30:38,Next Year (2019),Avg. Estimate,2.43B
20,459,9,2,2018-07-03 02:30:38,Next Year (2019),Low Estimate,2.09B
21,459,9,2,2018-07-03 02:30:38,Next Year (2019),High Estimate,2.56B
22,459,9,2,2018-07-03 02:30:38,Next Year (2019),Year Ago Sales,1.95B
23,459,9,2,2018-07-03 02:30:38,Next Year (2019),Sales Growth (year/est),24.80%
0,459,10,2,2018-07-03 02:30:38,6/29/2017,EPS Est.,0.73
1,459,10,2,2018-07-03 02:30:38,6/29/2017,EPS Actual,0.85
2,459,10,2,2018-07-03 02:30:38,6/29/2017,Difference,0.12
3,459,10,2,2018-07-03 02:30:38,6/29/2017,Surprise %,16.40%
4,459,10,2,2018-07-03 02:30:38,9/29/2017,EPS Est.,0.82
5,459,10,2,2018-07-03 02:30:38,9/29/2017,EPS Actual,1.01
6,459,10,2,2018-07-03 02:30:38,9/29/2017,Difference,0.19
7,459,10,2,2018-07-03 02:30:38,9/29/2017,Surprise %,23.20%
8,459,10,2,2018-07-03 02:30:38,12/30/2017,EPS Est.,0.96
9,459,10,2,2018-07-03 02:30:38,12/30/2017,EPS Actual,1.19
10,459,10,2,2018-07-03 02:30:38,12/30/2017,Difference,0.23
11,459,10,2,2018-07-03 02:30:38,12/30/2017,Surprise %,24.00%
12,459,10,2,2018-07-03 02:30:38,3/30/2018,EPS Est.,0.98
13,459,10,2,2018-07-03 02:30:38,3/30/2018,EPS Actual,1.17
14,459,10,2,2018-07-03 02:30:38,3/30/2018,Difference,0.19
15,459,10,2,2018-07-03 02:30:38,3/30/2018,Surprise %,19.40%
0,459,11,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),Current Estimate,1.09
1,459,11,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),7 Days Ago,1.08
2,459,11,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),30 Days Ago,1.08
3,459,11,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),60 Days Ago,1.07
4,459,11,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),90 Days Ago,1.03
5,459,11,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),Current Estimate,1.18
6,459,11,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),7 Days Ago,1.18
7,459,11,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),30 Days Ago,1.18
8,459,11,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),60 Days Ago,1.17
9,459,11,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),90 Days Ago,1.19
10,459,11,2,2018-07-03 02:30:38,Current Year (2018),Current Estimate,4.75
11,459,11,2,2018-07-03 02:30:38,Current Year (2018),7 Days Ago,4.74
12,459,11,2,2018-07-03 02:30:38,Current Year (2018),30 Days Ago,4.74
13,459,11,2,2018-07-03 02:30:38,Current Year (2018),60 Days Ago,4.71
14,459,11,2,2018-07-03 02:30:38,Current Year (2018),90 Days Ago,4.52
15,459,11,2,2018-07-03 02:30:38,Next Year (2019),Current Estimate,6.05
16,459,11,2,2018-07-03 02:30:38,Next Year (2019),7 Days Ago,6.02
17,459,11,2,2018-07-03 02:30:38,Next Year (2019),30 Days Ago,5.99
18,459,11,2,2018-07-03 02:30:38,Next Year (2019),60 Days Ago,5.86
19,459,11,2,2018-07-03 02:30:38,Next Year (2019),90 Days Ago,5.61
0,459,12,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),Up Last 7 Days,1.0
1,459,12,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),Up Last 30 Days,1.0
2,459,12,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),Down Last 7 Days,
3,459,12,2,2018-07-03 02:30:38,Current Qtr. (Jun 2018),Down Last 30 Days,
4,459,12,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),Up Last 7 Days,1.0
5,459,12,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),Up Last 30 Days,1.0
6,459,12,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),Down Last 7 Days,
7,459,12,2,2018-07-03 02:30:38,Next Qtr. (Sep 2018),Down Last 30 Days,
8,459,12,2,2018-07-03 02:30:38,Current Year (2018),Up Last 7 Days,1.0
9,459,12,2,2018-07-03 02:30:38,Current Year (2018),Up Last 30 Days,2.0
10,459,12,2,2018-07-03 02:30:38,Current Year (2018),Down Last 7 Days,
11,459,12,2,2018-07-03 02:30:38,Current Year (2018),Down Last 30 Days,
12,459,12,2,2018-07-03 02:30:38,Next Year (2019),Up Last 7 Days,2.0
13,459,12,2,2018-07-03 02:30:38,Next Year (2019),Up Last 30 Days,3.0
14,459,12,2,2018-07-03 02:30:38,Next Year (2019),Down Last 7 Days,
15,459,12,2,2018-07-03 02:30:38,Next Year (2019),Down Last 30 Days,
0,459,13,2,2018-07-03 02:30:38,Current Qtr.,ALGN,28.20%
1,459,13,2,2018-07-03 02:30:38,Next Qtr.,ALGN,16.80%
2,459,13,2,2018-07-03 02:30:38,Current Year,ALGN,22.10%
3,459,13,2,2018-07-03 02:30:38,Next Year,ALGN,27.40%
4,459,13,2,2018-07-03 02:30:38,Next 5 Years (per annum),ALGN,26.33%
5,459,13,2,2018-07-03 02:30:38,Past 5 Years (per annum),ALGN,25.73%
6,459,13,2,2018-07-03 02:30:38,Current Qtr.,Industry,
7,459,13,2,2018-07-03 02:30:38,Next Qtr.,Industry,
8,459,13,2,2018-07-03 02:30:38,Current Year,Industry,
