,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,99,8,2,2018-07-03 00:15:34,Current Qtr. (Jun 2018),No. of Analysts,29.0
1,99,8,2,2018-07-03 00:15:34,Current Qtr. (Jun 2018),Avg. Estimate,0.49
2,99,8,2,2018-07-03 00:15:34,Current Qtr. (Jun 2018),Low Estimate,-0.77
3,99,8,2,2018-07-03 00:15:34,Current Qtr. (Jun 2018),High Estimate,0.9
4,99,8,2,2018-07-03 00:15:34,Current Qtr. (Jun 2018),Year Ago EPS,-0.77
5,99,8,2,2018-07-03 00:15:34,Next Qtr. (Sep 2018),No. of Analysts,27.0
6,99,8,2,2018-07-03 00:15:34,Next Qtr. (Sep 2018),Avg. Estimate,0.75
7,99,8,2,2018-07-03 00:15:34,Next Qtr. (Sep 2018),Low Estimate,-0.77
8,99,8,2,2018-07-03 00:15:34,Next Qtr. (Sep 2018),High Estimate,1.24
9,99,8,2,2018-07-03 00:15:34,Next Qtr. (Sep 2018),Year Ago EPS,-0.77
10,99,8,2,2018-07-03 00:15:34,Current Year (2018),No. of Analysts,33.0
11,99,8,2,2018-07-03 00:15:34,Current Year (2018),Avg. Estimate,2.8
12,99,8,2,2018-07-03 00:15:34,Current Year (2018),Low Estimate,0.74
13,99,8,2,2018-07-03 00:15:34,Current Year (2018),High Estimate,4.13
14,99,8,2,2018-07-03 00:15:34,Current Year (2018),Year Ago EPS,-1.96
15,99,8,2,2018-07-03 00:15:34,Next Year (2019),No. of Analysts,33.0
16,99,8,2,2018-07-03 00:15:34,Next Year (2019),Avg. Estimate,3.38
17,99,8,2,2018-07-03 00:15:34,Next Year (2019),Low Estimate,1.05
18,99,8,2,2018-07-03 00:15:34,Next Year (2019),High Estimate,5.12
19,99,8,2,2018-07-03 00:15:34,Next Year (2019),Year Ago EPS,2.8
0,99,9,2,2018-07-03 00:15:34,Current Qtr. (Jun 2018),No. of Analysts,12
1,99,9,2,2018-07-03 00:15:34,Current Qtr. (Jun 2018),Avg. Estimate,2.97B
2,99,9,2,2018-07-03 00:15:34,Current Qtr. (Jun 2018),Low Estimate,2.6B
3,99,9,2,2018-07-03 00:15:34,Current Qtr. (Jun 2018),High Estimate,3.38B
4,99,9,2,2018-07-03 00:15:34,Current Qtr. (Jun 2018),Year Ago Sales,2.72B
5,99,9,2,2018-07-03 00:15:34,Current Qtr. (Jun 2018),Sales Growth (year/est),9.40%
6,99,9,2,2018-07-03 00:15:34,Next Qtr. (Sep 2018),No. of Analysts,12
7,99,9,2,2018-07-03 00:15:34,Next Qtr. (Sep 2018),Avg. Estimate,3.32B
8,99,9,2,2018-07-03 00:15:34,Next Qtr. (Sep 2018),Low Estimate,2.74B
9,99,9,2,2018-07-03 00:15:34,Next Qtr. (Sep 2018),High Estimate,3.72B
10,99,9,2,2018-07-03 00:15:34,Next Qtr. (Sep 2018),Year Ago Sales,2.5B
11,99,9,2,2018-07-03 00:15:34,Next Qtr. (Sep 2018),Sales Growth (year/est),32.90%
12,99,9,2,2018-07-03 00:15:34,Current Year (2018),No. of Analysts,12
13,99,9,2,2018-07-03 00:15:34,Current Year (2018),Avg. Estimate,12.89B
14,99,9,2,2018-07-03 00:15:34,Current Year (2018),Low Estimate,11.08B
15,99,9,2,2018-07-03 00:15:34,Current Year (2018),High Estimate,14.11B
16,99,9,2,2018-07-03 00:15:34,Current Year (2018),Year Ago Sales,11.91B
17,99,9,2,2018-07-03 00:15:34,Current Year (2018),Sales Growth (year/est),8.30%
18,99,9,2,2018-07-03 00:15:34,Next Year (2019),No. of Analysts,16
19,99,9,2,2018-07-03 00:15:34,Next Year (2019),Avg. Estimate,14.08B
