,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,453,8,2,2018-07-03 02:28:21,Current Qtr. (May 2018),No. of Analysts,9.0
1,453,8,2,2018-07-03 02:28:21,Current Qtr. (May 2018),Avg. Estimate,2.16
2,453,8,2,2018-07-03 02:28:21,Current Qtr. (May 2018),Low Estimate,2.04
3,453,8,2,2018-07-03 02:28:21,Current Qtr. (May 2018),High Estimate,2.44
4,453,8,2,2018-07-03 02:28:21,Current Qtr. (May 2018),Year Ago EPS,2.15
5,453,8,2,2018-07-03 02:28:21,Next Qtr. (Aug 2018),No. of Analysts,9.0
6,453,8,2,2018-07-03 02:28:21,Next Qtr. (Aug 2018),Avg. Estimate,2.6
7,453,8,2,2018-07-03 02:28:21,Next Qtr. (Aug 2018),Low Estimate,2.37
8,453,8,2,2018-07-03 02:28:21,Next Qtr. (Aug 2018),High Estimate,2.79
9,453,8,2,2018-07-03 02:28:21,Next Qtr. (Aug 2018),Year Ago EPS,2.55
10,453,8,2,2018-07-03 02:28:21,Current Year (2018),No. of Analysts,10.0
11,453,8,2,2018-07-03 02:28:21,Current Year (2018),Avg. Estimate,8.58
12,453,8,2,2018-07-03 02:28:21,Current Year (2018),Low Estimate,8.25
13,453,8,2,2018-07-03 02:28:21,Current Year (2018),High Estimate,8.85
14,453,8,2,2018-07-03 02:28:21,Current Year (2018),Year Ago EPS,8.45
15,453,8,2,2018-07-03 02:28:21,Next Year (2019),No. of Analysts,12.0
16,453,8,2,2018-07-03 02:28:21,Next Year (2019),Avg. Estimate,9.62
17,453,8,2,2018-07-03 02:28:21,Next Year (2019),Low Estimate,8.25
18,453,8,2,2018-07-03 02:28:21,Next Year (2019),High Estimate,11.01
19,453,8,2,2018-07-03 02:28:21,Next Year (2019),Year Ago EPS,8.58
0,453,9,2,2018-07-03 02:28:21,Current Qtr. (May 2018),No. of Analysts,10
1,453,9,2,2018-07-03 02:28:21,Current Qtr. (May 2018),Avg. Estimate,900.06M
2,453,9,2,2018-07-03 02:28:21,Current Qtr. (May 2018),Low Estimate,855.9M
3,453,9,2,2018-07-03 02:28:21,Current Qtr. (May 2018),High Estimate,924M
4,453,9,2,2018-07-03 02:28:21,Current Qtr. (May 2018),Year Ago Sales,891.6M
5,453,9,2,2018-07-03 02:28:21,Current Qtr. (May 2018),Sales Growth (year/est),0.90%
6,453,9,2,2018-07-03 02:28:21,Next Qtr. (Aug 2018),No. of Analysts,10
7,453,9,2,2018-07-03 02:28:21,Next Qtr. (Aug 2018),Avg. Estimate,972.36M
8,453,9,2,2018-07-03 02:28:21,Next Qtr. (Aug 2018),Low Estimate,900.1M
9,453,9,2,2018-07-03 02:28:21,Next Qtr. (Aug 2018),High Estimate,997M
10,453,9,2,2018-07-03 02:28:21,Next Qtr. (Aug 2018),Year Ago Sales,957.6M
11,453,9,2,2018-07-03 02:28:21,Next Qtr. (Aug 2018),Sales Growth (year/est),1.50%
12,453,9,2,2018-07-03 02:28:21,Current Year (2018),No. of Analysts,11
13,453,9,2,2018-07-03 02:28:21,Current Year (2018),Avg. Estimate,3.55B
14,453,9,2,2018-07-03 02:28:21,Current Year (2018),Low Estimate,3.43B
15,453,9,2,2018-07-03 02:28:21,Current Year (2018),High Estimate,3.59B
16,453,9,2,2018-07-03 02:28:21,Current Year (2018),Year Ago Sales,3.51B
17,453,9,2,2018-07-03 02:28:21,Current Year (2018),Sales Growth (year/est),1.30%
18,453,9,2,2018-07-03 02:28:21,Next Year (2019),No. of Analysts,13
19,453,9,2,2018-07-03 02:28:21,Next Year (2019),Avg. Estimate,3.67B
20,453,9,2,2018-07-03 02:28:21,Next Year (2019),Low Estimate,3.54B
21,453,9,2,2018-07-03 02:28:21,Next Year (2019),High Estimate,3.78B
22,453,9,2,2018-07-03 02:28:21,Next Year (2019),Year Ago Sales,3.55B
23,453,9,2,2018-07-03 02:28:21,Next Year (2019),Sales Growth (year/est),3.30%
