,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,103,8,2,2018-07-03 00:17:04,Current Qtr. (Jun 2018),No. of Analysts,23.0
1,103,8,2,2018-07-03 00:17:04,Current Qtr. (Jun 2018),Avg. Estimate,0.62
2,103,8,2,2018-07-03 00:17:04,Current Qtr. (Jun 2018),Low Estimate,0.54
3,103,8,2,2018-07-03 00:17:04,Current Qtr. (Jun 2018),High Estimate,0.66
4,103,8,2,2018-07-03 00:17:04,Current Qtr. (Jun 2018),Year Ago EPS,0.46
5,103,8,2,2018-07-03 00:17:04,Next Qtr. (Sep 2018),No. of Analysts,22.0
6,103,8,2,2018-07-03 00:17:04,Next Qtr. (Sep 2018),Avg. Estimate,0.64
7,103,8,2,2018-07-03 00:17:04,Next Qtr. (Sep 2018),Low Estimate,0.61
8,103,8,2,2018-07-03 00:17:04,Next Qtr. (Sep 2018),High Estimate,0.68
9,103,8,2,2018-07-03 00:17:04,Next Qtr. (Sep 2018),Year Ago EPS,0.48
10,103,8,2,2018-07-03 00:17:04,Current Year (2018),No. of Analysts,25.0
11,103,8,2,2018-07-03 00:17:04,Current Year (2018),Avg. Estimate,2.54
12,103,8,2,2018-07-03 00:17:04,Current Year (2018),Low Estimate,2.44
13,103,8,2,2018-07-03 00:17:04,Current Year (2018),High Estimate,2.67
14,103,8,2,2018-07-03 00:17:04,Current Year (2018),Year Ago EPS,1.85
15,103,8,2,2018-07-03 00:17:04,Next Year (2019),No. of Analysts,26.0
16,103,8,2,2018-07-03 00:17:04,Next Year (2019),Avg. Estimate,2.91
17,103,8,2,2018-07-03 00:17:04,Next Year (2019),Low Estimate,2.7
18,103,8,2,2018-07-03 00:17:04,Next Year (2019),High Estimate,3.19
19,103,8,2,2018-07-03 00:17:04,Next Year (2019),Year Ago EPS,2.54
0,103,9,2,2018-07-03 00:17:04,Current Qtr. (Jun 2018),No. of Analysts,9
1,103,9,2,2018-07-03 00:17:04,Current Qtr. (Jun 2018),Avg. Estimate,23.1B
2,103,9,2,2018-07-03 00:17:04,Current Qtr. (Jun 2018),Low Estimate,22.49B
3,103,9,2,2018-07-03 00:17:04,Current Qtr. (Jun 2018),High Estimate,23.5B
4,103,9,2,2018-07-03 00:17:04,Current Qtr. (Jun 2018),Year Ago Sales,23.07B
5,103,9,2,2018-07-03 00:17:04,Current Qtr. (Jun 2018),Sales Growth (year/est),0.10%
6,103,9,2,2018-07-03 00:17:04,Next Qtr. (Sep 2018),No. of Analysts,9
7,103,9,2,2018-07-03 00:17:04,Next Qtr. (Sep 2018),Avg. Estimate,23.22B
8,103,9,2,2018-07-03 00:17:04,Next Qtr. (Sep 2018),Low Estimate,22.76B
9,103,9,2,2018-07-03 00:17:04,Next Qtr. (Sep 2018),High Estimate,23.53B
10,103,9,2,2018-07-03 00:17:04,Next Qtr. (Sep 2018),Year Ago Sales,22.08B
11,103,9,2,2018-07-03 00:17:04,Next Qtr. (Sep 2018),Sales Growth (year/est),5.20%
12,103,9,2,2018-07-03 00:17:04,Current Year (2018),No. of Analysts,12
13,103,9,2,2018-07-03 00:17:04,Current Year (2018),Avg. Estimate,92.63B
14,103,9,2,2018-07-03 00:17:04,Current Year (2018),Low Estimate,91.45B
15,103,9,2,2018-07-03 00:17:04,Current Year (2018),High Estimate,93.76B
16,103,9,2,2018-07-03 00:17:04,Current Year (2018),Year Ago Sales,89.18B
17,103,9,2,2018-07-03 00:17:04,Current Year (2018),Sales Growth (year/est),3.90%
18,103,9,2,2018-07-03 00:17:04,Next Year (2019),No. of Analysts,14
19,103,9,2,2018-07-03 00:17:04,Next Year (2019),Avg. Estimate,97.38B
20,103,9,2,2018-07-03 00:17:04,Next Year (2019),Low Estimate,94.5B
21,103,9,2,2018-07-03 00:17:04,Next Year (2019),High Estimate,100.7B
22,103,9,2,2018-07-03 00:17:04,Next Year (2019),Year Ago Sales,92.63B
23,103,9,2,2018-07-03 00:17:04,Next Year (2019),Sales Growth (year/est),5.10%
0,103,10,2,2018-07-03 00:17:04,6/29/2017,EPS Est.,0.43
1,103,10,2,2018-07-03 00:17:04,6/29/2017,EPS Actual,0.46
2,103,10,2,2018-07-03 00:17:04,6/29/2017,Difference,0.03
3,103,10,2,2018-07-03 00:17:04,6/29/2017,Surprise %,7.00%
4,103,10,2,2018-07-03 00:17:04,9/29/2017,EPS Est.,0.45
5,103,10,2,2018-07-03 00:17:04,9/29/2017,EPS Actual,0.48
6,103,10,2,2018-07-03 00:17:04,9/29/2017,Difference,0.03
7,103,10,2,2018-07-03 00:17:04,9/29/2017,Surprise %,6.70%
8,103,10,2,2018-07-03 00:17:04,12/30/2017,EPS Est.,0.44
9,103,10,2,2018-07-03 00:17:04,12/30/2017,EPS Actual,0.48
10,103,10,2,2018-07-03 00:17:04,12/30/2017,Difference,0.04
11,103,10,2,2018-07-03 00:17:04,12/30/2017,Surprise %,9.10%
12,103,10,2,2018-07-03 00:17:04,3/30/2018,EPS Est.,0.59
13,103,10,2,2018-07-03 00:17:04,3/30/2018,EPS Actual,0.62
14,103,10,2,2018-07-03 00:17:04,3/30/2018,Difference,0.03
15,103,10,2,2018-07-03 00:17:04,3/30/2018,Surprise %,5.10%
0,103,11,2,2018-07-03 00:17:04,Current Qtr. (Jun 2018),Current Estimate,0.62
1,103,11,2,2018-07-03 00:17:04,Current Qtr. (Jun 2018),7 Days Ago,0.62
2,103,11,2,2018-07-03 00:17:04,Current Qtr. (Jun 2018),30 Days Ago,0.63
