,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,107,8,2,2018-07-03 00:18:32,Current Qtr. (Jun 2018),No. of Analysts,26.0
1,107,8,2,2018-07-03 00:18:32,Current Qtr. (Jun 2018),Avg. Estimate,1.01
2,107,8,2,2018-07-03 00:18:32,Current Qtr. (Jun 2018),Low Estimate,0.97
3,107,8,2,2018-07-03 00:18:32,Current Qtr. (Jun 2018),High Estimate,1.05
4,107,8,2,2018-07-03 00:18:32,Current Qtr. (Jun 2018),Year Ago EPS,0.77
5,107,8,2,2018-07-03 00:18:32,Next Qtr. (Sep 2018),No. of Analysts,26.0
6,107,8,2,2018-07-03 00:18:32,Next Qtr. (Sep 2018),Avg. Estimate,1.01
7,107,8,2,2018-07-03 00:18:32,Next Qtr. (Sep 2018),Low Estimate,0.96
8,107,8,2,2018-07-03 00:18:32,Next Qtr. (Sep 2018),High Estimate,1.05
9,107,8,2,2018-07-03 00:18:32,Next Qtr. (Sep 2018),Year Ago EPS,0.74
10,107,8,2,2018-07-03 00:18:32,Current Year (2018),No. of Analysts,27.0
11,107,8,2,2018-07-03 00:18:32,Current Year (2018),Avg. Estimate,4.01
12,107,8,2,2018-07-03 00:18:32,Current Year (2018),Low Estimate,3.76
13,107,8,2,2018-07-03 00:18:32,Current Year (2018),High Estimate,4.15
14,107,8,2,2018-07-03 00:18:32,Current Year (2018),Year Ago EPS,2.79
15,107,8,2,2018-07-03 00:18:32,Next Year (2019),No. of Analysts,28.0
16,107,8,2,2018-07-03 00:18:32,Next Year (2019),Avg. Estimate,4.34
17,107,8,2,2018-07-03 00:18:32,Next Year (2019),Low Estimate,4.1
18,107,8,2,2018-07-03 00:18:32,Next Year (2019),High Estimate,4.6
19,107,8,2,2018-07-03 00:18:32,Next Year (2019),Year Ago EPS,4.01
0,107,9,2,2018-07-03 00:18:32,Current Qtr. (Jun 2018),No. of Analysts,16
1,107,9,2,2018-07-03 00:18:32,Current Qtr. (Jun 2018),Avg. Estimate,2.92B
2,107,9,2,2018-07-03 00:18:32,Current Qtr. (Jun 2018),Low Estimate,2.88B
3,107,9,2,2018-07-03 00:18:32,Current Qtr. (Jun 2018),High Estimate,2.95B
4,107,9,2,2018-07-03 00:18:32,Current Qtr. (Jun 2018),Year Ago Sales,2.9B
5,107,9,2,2018-07-03 00:18:32,Current Qtr. (Jun 2018),Sales Growth (year/est),0.80%
6,107,9,2,2018-07-03 00:18:32,Next Qtr. (Sep 2018),No. of Analysts,16
7,107,9,2,2018-07-03 00:18:32,Next Qtr. (Sep 2018),Avg. Estimate,2.94B
8,107,9,2,2018-07-03 00:18:32,Next Qtr. (Sep 2018),Low Estimate,2.82B
9,107,9,2,2018-07-03 00:18:32,Next Qtr. (Sep 2018),High Estimate,3.03B
10,107,9,2,2018-07-03 00:18:32,Next Qtr. (Sep 2018),Year Ago Sales,2.85B
11,107,9,2,2018-07-03 00:18:32,Next Qtr. (Sep 2018),Sales Growth (year/est),2.90%
12,107,9,2,2018-07-03 00:18:32,Current Year (2018),No. of Analysts,19
13,107,9,2,2018-07-03 00:18:32,Current Year (2018),Avg. Estimate,11.68B
14,107,9,2,2018-07-03 00:18:32,Current Year (2018),Low Estimate,11.37B
15,107,9,2,2018-07-03 00:18:32,Current Year (2018),High Estimate,11.83B
16,107,9,2,2018-07-03 00:18:32,Current Year (2018),Year Ago Sales,11.44B
17,107,9,2,2018-07-03 00:18:32,Current Year (2018),Sales Growth (year/est),2.10%
18,107,9,2,2018-07-03 00:18:32,Next Year (2019),No. of Analysts,20
19,107,9,2,2018-07-03 00:18:32,Next Year (2019),Avg. Estimate,12.13B
20,107,9,2,2018-07-03 00:18:32,Next Year (2019),Low Estimate,11.83B
21,107,9,2,2018-07-03 00:18:32,Next Year (2019),High Estimate,12.45B
22,107,9,2,2018-07-03 00:18:32,Next Year (2019),Year Ago Sales,11.68B
23,107,9,2,2018-07-03 00:18:32,Next Year (2019),Sales Growth (year/est),3.90%
0,107,10,2,2018-07-03 00:18:32,6/29/2017,EPS Est.,0.77
1,107,10,2,2018-07-03 00:18:32,6/29/2017,EPS Actual,0.77
2,107,10,2,2018-07-03 00:18:32,6/29/2017,Difference,0
3,107,10,2,2018-07-03 00:18:32,6/29/2017,Surprise %,0.00%
4,107,10,2,2018-07-03 00:18:32,9/29/2017,EPS Est.,0.78
5,107,10,2,2018-07-03 00:18:32,9/29/2017,EPS Actual,0.74
6,107,10,2,2018-07-03 00:18:32,9/29/2017,Difference,-0.04
7,107,10,2,2018-07-03 00:18:32,9/29/2017,Surprise %,-5.10%
