,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,105,8,2,2018-07-03 00:17:47,Current Qtr. (Jun 2018),No. of Analysts,13.0
1,105,8,2,2018-07-03 00:17:47,Current Qtr. (Jun 2018),Avg. Estimate,0.75
2,105,8,2,2018-07-03 00:17:47,Current Qtr. (Jun 2018),Low Estimate,0.71
3,105,8,2,2018-07-03 00:17:47,Current Qtr. (Jun 2018),High Estimate,0.78
4,105,8,2,2018-07-03 00:17:47,Current Qtr. (Jun 2018),Year Ago EPS,0.73
5,105,8,2,2018-07-03 00:17:47,Next Qtr. (Sep 2018),No. of Analysts,13.0
6,105,8,2,2018-07-03 00:17:47,Next Qtr. (Sep 2018),Avg. Estimate,0.77
7,105,8,2,2018-07-03 00:17:47,Next Qtr. (Sep 2018),Low Estimate,0.73
8,105,8,2,2018-07-03 00:17:47,Next Qtr. (Sep 2018),High Estimate,0.81
9,105,8,2,2018-07-03 00:17:47,Next Qtr. (Sep 2018),Year Ago EPS,0.76
10,105,8,2,2018-07-03 00:17:47,Current Year (2018),No. of Analysts,11.0
11,105,8,2,2018-07-03 00:17:47,Current Year (2018),Avg. Estimate,3.18
12,105,8,2,2018-07-03 00:17:47,Current Year (2018),Low Estimate,3.11
13,105,8,2,2018-07-03 00:17:47,Current Year (2018),High Estimate,3.24
14,105,8,2,2018-07-03 00:17:47,Current Year (2018),Year Ago EPS,3.01
15,105,8,2,2018-07-03 00:17:47,Next Year (2019),No. of Analysts,14.0
16,105,8,2,2018-07-03 00:17:47,Next Year (2019),Avg. Estimate,3.22
17,105,8,2,2018-07-03 00:17:47,Next Year (2019),Low Estimate,3.02
18,105,8,2,2018-07-03 00:17:47,Next Year (2019),High Estimate,3.38
19,105,8,2,2018-07-03 00:17:47,Next Year (2019),Year Ago EPS,3.18
0,105,9,2,2018-07-03 00:17:47,Current Qtr. (Jun 2018),No. of Analysts,8
1,105,9,2,2018-07-03 00:17:47,Current Qtr. (Jun 2018),Avg. Estimate,1.58B
2,105,9,2,2018-07-03 00:17:47,Current Qtr. (Jun 2018),Low Estimate,1.54B
