,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,108,8,2,2018-07-03 00:18:55,Current Qtr. (Jun 2018),No. of Analysts,26.0
1,108,8,2,2018-07-03 00:18:55,Current Qtr. (Jun 2018),Avg. Estimate,5.29
2,108,8,2,2018-07-03 00:18:55,Current Qtr. (Jun 2018),Low Estimate,4.02
3,108,8,2,2018-07-03 00:18:55,Current Qtr. (Jun 2018),High Estimate,6.55
4,108,8,2,2018-07-03 00:18:55,Current Qtr. (Jun 2018),Year Ago EPS,5.04
5,108,8,2,2018-07-03 00:18:55,Next Qtr. (Sep 2018),No. of Analysts,26.0
6,108,8,2,2018-07-03 00:18:55,Next Qtr. (Sep 2018),Avg. Estimate,6.31
7,108,8,2,2018-07-03 00:18:55,Next Qtr. (Sep 2018),Low Estimate,6.01
8,108,8,2,2018-07-03 00:18:55,Next Qtr. (Sep 2018),High Estimate,6.82
9,108,8,2,2018-07-03 00:18:55,Next Qtr. (Sep 2018),Year Ago EPS,6.31
10,108,8,2,2018-07-03 00:18:55,Current Year (2018),No. of Analysts,28.0
11,108,8,2,2018-07-03 00:18:55,Current Year (2018),Avg. Estimate,23.85
12,108,8,2,2018-07-03 00:18:55,Current Year (2018),Low Estimate,22.86
13,108,8,2,2018-07-03 00:18:55,Current Year (2018),High Estimate,25.2
14,108,8,2,2018-07-03 00:18:55,Current Year (2018),Year Ago EPS,21.81
15,108,8,2,2018-07-03 00:18:55,Next Year (2019),No. of Analysts,28.0
16,108,8,2,2018-07-03 00:18:55,Next Year (2019),Avg. Estimate,26.31
17,108,8,2,2018-07-03 00:18:55,Next Year (2019),Low Estimate,24.06
18,108,8,2,2018-07-03 00:18:55,Next Year (2019),High Estimate,28.57
19,108,8,2,2018-07-03 00:18:55,Next Year (2019),Year Ago EPS,23.85
0,108,9,2,2018-07-03 00:18:55,Current Qtr. (Jun 2018),No. of Analysts,24
1,108,9,2,2018-07-03 00:18:55,Current Qtr. (Jun 2018),Avg. Estimate,3.24B
