,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,123,8,2,2018-07-03 00:24:32,Current Qtr. (Aug 2018),No. of Analysts,12.0
1,123,8,2,2018-07-03 00:24:32,Current Qtr. (Aug 2018),Avg. Estimate,0.5
2,123,8,2,2018-07-03 00:24:32,Current Qtr. (Aug 2018),Low Estimate,0.46
3,123,8,2,2018-07-03 00:24:32,Current Qtr. (Aug 2018),High Estimate,0.54
4,123,8,2,2018-07-03 00:24:32,Current Qtr. (Aug 2018),Year Ago EPS,0.46
5,123,8,2,2018-07-03 00:24:32,Next Qtr. (Nov 2018),No. of Analysts,12.0
6,123,8,2,2018-07-03 00:24:32,Next Qtr. (Nov 2018),Avg. Estimate,0.65
7,123,8,2,2018-07-03 00:24:32,Next Qtr. (Nov 2018),Low Estimate,0.63
8,123,8,2,2018-07-03 00:24:32,Next Qtr. (Nov 2018),High Estimate,0.68
9,123,8,2,2018-07-03 00:24:32,Next Qtr. (Nov 2018),Year Ago EPS,0.55
10,123,8,2,2018-07-03 00:24:32,Current Year (2019),No. of Analysts,9.0
11,123,8,2,2018-07-03 00:24:32,Current Year (2019),Avg. Estimate,2.26
12,123,8,2,2018-07-03 00:24:32,Current Year (2019),Low Estimate,2.15
13,123,8,2,2018-07-03 00:24:32,Current Year (2019),High Estimate,2.38
14,123,8,2,2018-07-03 00:24:32,Current Year (2019),Year Ago EPS,2.11
15,123,8,2,2018-07-03 00:24:32,Next Year (2020),No. of Analysts,7.0
16,123,8,2,2018-07-03 00:24:32,Next Year (2020),Avg. Estimate,2.4
17,123,8,2,2018-07-03 00:24:32,Next Year (2020),Low Estimate,2.32
18,123,8,2,2018-07-03 00:24:32,Next Year (2020),High Estimate,2.51
19,123,8,2,2018-07-03 00:24:32,Next Year (2020),Year Ago EPS,2.26
0,123,9,2,2018-07-03 00:24:32,Current Qtr. (Aug 2018),No. of Analysts,9
1,123,9,2,2018-07-03 00:24:32,Current Qtr. (Aug 2018),Avg. Estimate,1.85B
2,123,9,2,2018-07-03 00:24:32,Current Qtr. (Aug 2018),Low Estimate,1.81B
3,123,9,2,2018-07-03 00:24:32,Current Qtr. (Aug 2018),High Estimate,1.87B
4,123,9,2,2018-07-03 00:24:32,Current Qtr. (Aug 2018),Year Ago Sales,1.8B
5,123,9,2,2018-07-03 00:24:32,Current Qtr. (Aug 2018),Sales Growth (year/est),2.50%
6,123,9,2,2018-07-03 00:24:32,Next Qtr. (Nov 2018),No. of Analysts,9
7,123,9,2,2018-07-03 00:24:32,Next Qtr. (Nov 2018),Avg. Estimate,2.19B
8,123,9,2,2018-07-03 00:24:32,Next Qtr. (Nov 2018),Low Estimate,2.15B
9,123,9,2,2018-07-03 00:24:32,Next Qtr. (Nov 2018),High Estimate,2.22B
10,123,9,2,2018-07-03 00:24:32,Next Qtr. (Nov 2018),Year Ago Sales,2.17B
11,123,9,2,2018-07-03 00:24:32,Next Qtr. (Nov 2018),Sales Growth (year/est),0.80%
12,123,9,2,2018-07-03 00:24:32,Current Year (2019),No. of Analysts,7
13,123,9,2,2018-07-03 00:24:32,Current Year (2019),Avg. Estimate,8.01B
14,123,9,2,2018-07-03 00:24:32,Current Year (2019),Low Estimate,7.97B
15,123,9,2,2018-07-03 00:24:32,Current Year (2019),High Estimate,8.08B
16,123,9,2,2018-07-03 00:24:32,Current Year (2019),Year Ago Sales,7.94B
17,123,9,2,2018-07-03 00:24:32,Current Year (2019),Sales Growth (year/est),0.90%
18,123,9,2,2018-07-03 00:24:32,Next Year (2020),No. of Analysts,6
19,123,9,2,2018-07-03 00:24:32,Next Year (2020),Avg. Estimate,8.08B
20,123,9,2,2018-07-03 00:24:32,Next Year (2020),Low Estimate,8B
21,123,9,2,2018-07-03 00:24:32,Next Year (2020),High Estimate,8.2B
22,123,9,2,2018-07-03 00:24:32,Next Year (2020),Year Ago Sales,8.01B
23,123,9,2,2018-07-03 00:24:32,Next Year (2020),Sales Growth (year/est),0.90%
0,123,10,2,2018-07-03 00:24:32,8/30/2017,EPS Est.,0.4
1,123,10,2,2018-07-03 00:24:32,8/30/2017,EPS Actual,0.46
2,123,10,2,2018-07-03 00:24:32,8/30/2017,Difference,0.06
3,123,10,2,2018-07-03 00:24:32,8/30/2017,Surprise %,15.00%
4,123,10,2,2018-07-03 00:24:32,11/29/2017,EPS Est.,0.52
5,123,10,2,2018-07-03 00:24:32,11/29/2017,EPS Actual,0.55
6,123,10,2,2018-07-03 00:24:32,11/29/2017,Difference,0.03
7,123,10,2,2018-07-03 00:24:32,11/29/2017,Surprise %,5.80%
8,123,10,2,2018-07-03 00:24:32,2/27/2018,EPS Est.,0.56
9,123,10,2,2018-07-03 00:24:32,2/27/2018,EPS Actual,0.61
10,123,10,2,2018-07-03 00:24:32,2/27/2018,Difference,0.05
11,123,10,2,2018-07-03 00:24:32,2/27/2018,Surprise %,8.90%
12,123,10,2,2018-07-03 00:24:32,5/30/2018,EPS Est.,0.44
13,123,10,2,2018-07-03 00:24:32,5/30/2018,EPS Actual,0.5
14,123,10,2,2018-07-03 00:24:32,5/30/2018,Difference,0.06
15,123,10,2,2018-07-03 00:24:32,5/30/2018,Surprise %,13.60%
0,123,11,2,2018-07-03 00:24:32,Current Qtr. (Aug 2018),Current Estimate,0.5
1,123,11,2,2018-07-03 00:24:32,Current Qtr. (Aug 2018),7 Days Ago,0.54
2,123,11,2,2018-07-03 00:24:32,Current Qtr. (Aug 2018),30 Days Ago,0.55
3,123,11,2,2018-07-03 00:24:32,Current Qtr. (Aug 2018),60 Days Ago,0.55
4,123,11,2,2018-07-03 00:24:32,Current Qtr. (Aug 2018),90 Days Ago,0.55
