,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,469,8,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),No. of Analysts,22.0
1,469,8,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),Avg. Estimate,1.0
2,469,8,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),Low Estimate,0.52
3,469,8,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),High Estimate,2.49
4,469,8,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),Year Ago EPS,0.52
5,469,8,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),No. of Analysts,21.0
6,469,8,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),Avg. Estimate,0.9
7,469,8,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),Low Estimate,0.01
8,469,8,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),High Estimate,2.3
9,469,8,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),Year Ago EPS,0.19
10,469,8,2,2018-07-03 02:34:20,Current Year (2018),No. of Analysts,24.0
11,469,8,2,2018-07-03 02:34:20,Current Year (2018),Avg. Estimate,4.01
12,469,8,2,2018-07-03 02:34:20,Current Year (2018),Low Estimate,1.64
13,469,8,2,2018-07-03 02:34:20,Current Year (2018),High Estimate,8.51
14,469,8,2,2018-07-03 02:34:20,Current Year (2018),Year Ago EPS,2.75
15,469,8,2,2018-07-03 02:34:20,Next Year (2019),No. of Analysts,24.0
16,469,8,2,2018-07-03 02:34:20,Next Year (2019),Avg. Estimate,7.15
17,469,8,2,2018-07-03 02:34:20,Next Year (2019),Low Estimate,3.16
18,469,8,2,2018-07-03 02:34:20,Next Year (2019),High Estimate,13.43
19,469,8,2,2018-07-03 02:34:20,Next Year (2019),Year Ago EPS,4.01
0,469,9,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),No. of Analysts,20
1,469,9,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),Avg. Estimate,10.83B
2,469,9,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),Low Estimate,10.78B
3,469,9,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),High Estimate,10.94B
4,469,9,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),Year Ago Sales,10.36B
5,469,9,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),Sales Growth (year/est),4.60%
6,469,9,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),No. of Analysts,20
7,469,9,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),Avg. Estimate,10.93B
8,469,9,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),Low Estimate,10.81B
9,469,9,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),High Estimate,11.07B
10,469,9,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),Year Ago Sales,10.46B
11,469,9,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),Sales Growth (year/est),4.50%
12,469,9,2,2018-07-03 02:34:20,Current Year (2018),No. of Analysts,25
13,469,9,2,2018-07-03 02:34:20,Current Year (2018),Avg. Estimate,43.56B
14,469,9,2,2018-07-03 02:34:20,Current Year (2018),Low Estimate,42.96B
15,469,9,2,2018-07-03 02:34:20,Current Year (2018),High Estimate,43.96B
16,469,9,2,2018-07-03 02:34:20,Current Year (2018),Year Ago Sales,41.58B
17,469,9,2,2018-07-03 02:34:20,Current Year (2018),Sales Growth (year/est),4.80%
18,469,9,2,2018-07-03 02:34:20,Next Year (2019),No. of Analysts,26
19,469,9,2,2018-07-03 02:34:20,Next Year (2019),Avg. Estimate,45.52B
20,469,9,2,2018-07-03 02:34:20,Next Year (2019),Low Estimate,43.89B
21,469,9,2,2018-07-03 02:34:20,Next Year (2019),High Estimate,47.19B
22,469,9,2,2018-07-03 02:34:20,Next Year (2019),Year Ago Sales,43.56B
23,469,9,2,2018-07-03 02:34:20,Next Year (2019),Sales Growth (year/est),4.50%
0,469,10,2,2018-07-03 02:34:20,6/29/2017,EPS Est.,0.87
1,469,10,2,2018-07-03 02:34:20,6/29/2017,EPS Actual,0.52
2,469,10,2,2018-07-03 02:34:20,6/29/2017,Difference,-0.35
3,469,10,2,2018-07-03 02:34:20,6/29/2017,Surprise %,-40.20%
4,469,10,2,2018-07-03 02:34:20,9/29/2017,EPS Est.,1.02
5,469,10,2,2018-07-03 02:34:20,9/29/2017,EPS Actual,0.19
6,469,10,2,2018-07-03 02:34:20,9/29/2017,Difference,-0.83
7,469,10,2,2018-07-03 02:34:20,9/29/2017,Surprise %,-81.40%
8,469,10,2,2018-07-03 02:34:20,12/30/2017,EPS Est.,0.87
9,469,10,2,2018-07-03 02:34:20,12/30/2017,EPS Actual,1.14
10,469,10,2,2018-07-03 02:34:20,12/30/2017,Difference,0.27
11,469,10,2,2018-07-03 02:34:20,12/30/2017,Surprise %,31.00%
12,469,10,2,2018-07-03 02:34:20,3/30/2018,EPS Est.,0.52
13,469,10,2,2018-07-03 02:34:20,3/30/2018,EPS Actual,0.7
14,469,10,2,2018-07-03 02:34:20,3/30/2018,Difference,0.18
15,469,10,2,2018-07-03 02:34:20,3/30/2018,Surprise %,34.60%
0,469,11,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),Current Estimate,1.0
1,469,11,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),7 Days Ago,0.99
2,469,11,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),30 Days Ago,1.0
3,469,11,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),60 Days Ago,0.97
4,469,11,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),90 Days Ago,1.02
5,469,11,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),Current Estimate,0.9
6,469,11,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),7 Days Ago,0.9
7,469,11,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),30 Days Ago,0.91
8,469,11,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),60 Days Ago,0.95
9,469,11,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),90 Days Ago,1.06
10,469,11,2,2018-07-03 02:34:20,Current Year (2018),Current Estimate,4.01
11,469,11,2,2018-07-03 02:34:20,Current Year (2018),7 Days Ago,4.0
12,469,11,2,2018-07-03 02:34:20,Current Year (2018),30 Days Ago,4.08
13,469,11,2,2018-07-03 02:34:20,Current Year (2018),60 Days Ago,4.1
14,469,11,2,2018-07-03 02:34:20,Current Year (2018),90 Days Ago,4.41
15,469,11,2,2018-07-03 02:34:20,Next Year (2019),Current Estimate,7.15
16,469,11,2,2018-07-03 02:34:20,Next Year (2019),7 Days Ago,7.13
17,469,11,2,2018-07-03 02:34:20,Next Year (2019),30 Days Ago,7.17
18,469,11,2,2018-07-03 02:34:20,Next Year (2019),60 Days Ago,7.55
19,469,11,2,2018-07-03 02:34:20,Next Year (2019),90 Days Ago,8.33
0,469,12,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),Up Last 7 Days,
1,469,12,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),Up Last 30 Days,1.0
2,469,12,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),Down Last 7 Days,
3,469,12,2,2018-07-03 02:34:20,Current Qtr. (Jun 2018),Down Last 30 Days,1.0
4,469,12,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),Up Last 7 Days,1.0
5,469,12,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),Up Last 30 Days,1.0
6,469,12,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),Down Last 7 Days,
7,469,12,2,2018-07-03 02:34:20,Next Qtr. (Sep 2018),Down Last 30 Days,
8,469,12,2,2018-07-03 02:34:20,Current Year (2018),Up Last 7 Days,1.0
9,469,12,2,2018-07-03 02:34:20,Current Year (2018),Up Last 30 Days,2.0
10,469,12,2,2018-07-03 02:34:20,Current Year (2018),Down Last 7 Days,
11,469,12,2,2018-07-03 02:34:20,Current Year (2018),Down Last 30 Days,
