,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,136,8,2,2018-07-03 00:29:22,Current Qtr. (Jun 2018),No. of Analysts,8.0
1,136,8,2,2018-07-03 00:29:22,Current Qtr. (Jun 2018),Avg. Estimate,0.34
2,136,8,2,2018-07-03 00:29:22,Current Qtr. (Jun 2018),Low Estimate,0.24
3,136,8,2,2018-07-03 00:29:22,Current Qtr. (Jun 2018),High Estimate,0.39
4,136,8,2,2018-07-03 00:29:22,Current Qtr. (Jun 2018),Year Ago EPS,0.33
5,136,8,2,2018-07-03 00:29:22,Next Qtr. (Sep 2018),No. of Analysts,8.0
6,136,8,2,2018-07-03 00:29:22,Next Qtr. (Sep 2018),Avg. Estimate,0.62
7,136,8,2,2018-07-03 00:29:22,Next Qtr. (Sep 2018),Low Estimate,0.48
8,136,8,2,2018-07-03 00:29:22,Next Qtr. (Sep 2018),High Estimate,0.68
9,136,8,2,2018-07-03 00:29:22,Next Qtr. (Sep 2018),Year Ago EPS,0.62
10,136,8,2,2018-07-03 00:29:22,Current Year (2018),No. of Analysts,16.0
11,136,8,2,2018-07-03 00:29:22,Current Year (2018),Avg. Estimate,2.34
12,136,8,2,2018-07-03 00:29:22,Current Year (2018),Low Estimate,2.32
13,136,8,2,2018-07-03 00:29:22,Current Year (2018),High Estimate,2.4
14,136,8,2,2018-07-03 00:29:22,Current Year (2018),Year Ago EPS,2.17
15,136,8,2,2018-07-03 00:29:22,Next Year (2019),No. of Analysts,16.0
16,136,8,2,2018-07-03 00:29:22,Next Year (2019),Avg. Estimate,2.51
17,136,8,2,2018-07-03 00:29:22,Next Year (2019),Low Estimate,2.48
18,136,8,2,2018-07-03 00:29:22,Next Year (2019),High Estimate,2.54
19,136,8,2,2018-07-03 00:29:22,Next Year (2019),Year Ago EPS,2.34
0,136,9,2,2018-07-03 00:29:22,Current Qtr. (Jun 2018),No. of Analysts,3
1,136,9,2,2018-07-03 00:29:22,Current Qtr. (Jun 2018),Avg. Estimate,1.36B
2,136,9,2,2018-07-03 00:29:22,Current Qtr. (Jun 2018),Low Estimate,1.17B
3,136,9,2,2018-07-03 00:29:22,Current Qtr. (Jun 2018),High Estimate,1.49B
4,136,9,2,2018-07-03 00:29:22,Current Qtr. (Jun 2018),Year Ago Sales,1.45B
5,136,9,2,2018-07-03 00:29:22,Current Qtr. (Jun 2018),Sales Growth (year/est),-6.10%
6,136,9,2,2018-07-03 00:29:22,Next Qtr. (Sep 2018),No. of Analysts,3
7,136,9,2,2018-07-03 00:29:22,Next Qtr. (Sep 2018),Avg. Estimate,1.64B
8,136,9,2,2018-07-03 00:29:22,Next Qtr. (Sep 2018),Low Estimate,1.5B
9,136,9,2,2018-07-03 00:29:22,Next Qtr. (Sep 2018),High Estimate,1.76B
10,136,9,2,2018-07-03 00:29:22,Next Qtr. (Sep 2018),Year Ago Sales,1.53B
11,136,9,2,2018-07-03 00:29:22,Next Qtr. (Sep 2018),Sales Growth (year/est),7.70%
12,136,9,2,2018-07-03 00:29:22,Current Year (2018),No. of Analysts,9
