,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,148,8,2,2018-07-03 00:33:50,Current Qtr. (Jul 2018),No. of Analysts,15.0
1,148,8,2,2018-07-03 00:33:50,Current Qtr. (Jul 2018),Avg. Estimate,0.25
2,148,8,2,2018-07-03 00:33:50,Current Qtr. (Jul 2018),Low Estimate,0.19
3,148,8,2,2018-07-03 00:33:50,Current Qtr. (Jul 2018),High Estimate,0.29
4,148,8,2,2018-07-03 00:33:50,Current Qtr. (Jul 2018),Year Ago EPS,0.52
5,148,8,2,2018-07-03 00:33:50,Next Qtr. (Oct 2018),No. of Analysts,11.0
6,148,8,2,2018-07-03 00:33:50,Next Qtr. (Oct 2018),Avg. Estimate,0.84
7,148,8,2,2018-07-03 00:33:50,Next Qtr. (Oct 2018),Low Estimate,0.73
8,148,8,2,2018-07-03 00:33:50,Next Qtr. (Oct 2018),High Estimate,0.93
9,148,8,2,2018-07-03 00:33:50,Next Qtr. (Oct 2018),Year Ago EPS,0.92
10,148,8,2,2018-07-03 00:33:50,Current Year (2018),No. of Analysts,17.0
11,148,8,2,2018-07-03 00:33:50,Current Year (2018),Avg. Estimate,2.86
12,148,8,2,2018-07-03 00:33:50,Current Year (2018),Low Estimate,2.81
13,148,8,2,2018-07-03 00:33:50,Current Year (2018),High Estimate,2.91
14,148,8,2,2018-07-03 00:33:50,Current Year (2018),Year Ago EPS,3.04
15,148,8,2,2018-07-03 00:33:50,Next Year (2019),No. of Analysts,18.0
16,148,8,2,2018-07-03 00:33:50,Next Year (2019),Avg. Estimate,2.76
17,148,8,2,2018-07-03 00:33:50,Next Year (2019),Low Estimate,2.49
18,148,8,2,2018-07-03 00:33:50,Next Year (2019),High Estimate,3.2
19,148,8,2,2018-07-03 00:33:50,Next Year (2019),Year Ago EPS,2.86
0,148,9,2,2018-07-03 00:33:50,Current Qtr. (Jul 2018),No. of Analysts,12
1,148,9,2,2018-07-03 00:33:50,Current Qtr. (Jul 2018),Avg. Estimate,2.25B
2,148,9,2,2018-07-03 00:33:50,Current Qtr. (Jul 2018),Low Estimate,2.23B
3,148,9,2,2018-07-03 00:33:50,Current Qtr. (Jul 2018),High Estimate,2.27B
4,148,9,2,2018-07-03 00:33:50,Current Qtr. (Jul 2018),Year Ago Sales,1.66B
5,148,9,2,2018-07-03 00:33:50,Current Qtr. (Jul 2018),Sales Growth (year/est),35.20%
6,148,9,2,2018-07-03 00:33:50,Next Qtr. (Oct 2018),No. of Analysts,9
7,148,9,2,2018-07-03 00:33:50,Next Qtr. (Oct 2018),Avg. Estimate,2.8B
8,148,9,2,2018-07-03 00:33:50,Next Qtr. (Oct 2018),Low Estimate,2.76B
9,148,9,2,2018-07-03 00:33:50,Next Qtr. (Oct 2018),High Estimate,2.83B
10,148,9,2,2018-07-03 00:33:50,Next Qtr. (Oct 2018),Year Ago Sales,2.16B
11,148,9,2,2018-07-03 00:33:50,Next Qtr. (Oct 2018),Sales Growth (year/est),29.40%
12,148,9,2,2018-07-03 00:33:50,Current Year (2018),No. of Analysts,14
13,148,9,2,2018-07-03 00:33:50,Current Year (2018),Avg. Estimate,8.72B
14,148,9,2,2018-07-03 00:33:50,Current Year (2018),Low Estimate,8.69B
15,148,9,2,2018-07-03 00:33:50,Current Year (2018),High Estimate,8.81B
16,148,9,2,2018-07-03 00:33:50,Current Year (2018),Year Ago Sales,7.89B
17,148,9,2,2018-07-03 00:33:50,Current Year (2018),Sales Growth (year/est),10.50%
18,148,9,2,2018-07-03 00:33:50,Next Year (2019),No. of Analysts,15
19,148,9,2,2018-07-03 00:33:50,Next Year (2019),Avg. Estimate,10.29B
20,148,9,2,2018-07-03 00:33:50,Next Year (2019),Low Estimate,10.02B
21,148,9,2,2018-07-03 00:33:50,Next Year (2019),High Estimate,10.68B
22,148,9,2,2018-07-03 00:33:50,Next Year (2019),Year Ago Sales,8.72B
23,148,9,2,2018-07-03 00:33:50,Next Year (2019),Sales Growth (year/est),18.00%
0,148,10,2,2018-07-03 00:33:50,7/30/2017,EPS Est.,0.55
1,148,10,2,2018-07-03 00:33:50,7/30/2017,EPS Actual,0.52
2,148,10,2,2018-07-03 00:33:50,7/30/2017,Difference,-0.03
3,148,10,2,2018-07-03 00:33:50,7/30/2017,Surprise %,-5.50%
4,148,10,2,2018-07-03 00:33:50,10/30/2017,EPS Est.,0.97
5,148,10,2,2018-07-03 00:33:50,10/30/2017,EPS Actual,0.92
6,148,10,2,2018-07-03 00:33:50,10/30/2017,Difference,-0.05
7,148,10,2,2018-07-03 00:33:50,10/30/2017,Surprise %,-5.20%
8,148,10,2,2018-07-03 00:33:50,1/30/2018,EPS Est.,0.81
9,148,10,2,2018-07-03 00:33:50,1/30/2018,EPS Actual,1
10,148,10,2,2018-07-03 00:33:50,1/30/2018,Difference,0.19
11,148,10,2,2018-07-03 00:33:50,1/30/2018,Surprise %,23.50%
12,148,10,2,2018-07-03 00:33:50,4/29/2018,EPS Est.,0.6
13,148,10,2,2018-07-03 00:33:50,4/29/2018,EPS Actual,0.7
14,148,10,2,2018-07-03 00:33:50,4/29/2018,Difference,0.1
15,148,10,2,2018-07-03 00:33:50,4/29/2018,Surprise %,16.70%
0,148,11,2,2018-07-03 00:33:50,Current Qtr. (Jul 2018),Current Estimate,0.25
1,148,11,2,2018-07-03 00:33:50,Current Qtr. (Jul 2018),7 Days Ago,0.25
2,148,11,2,2018-07-03 00:33:50,Current Qtr. (Jul 2018),30 Days Ago,0.25
3,148,11,2,2018-07-03 00:33:50,Current Qtr. (Jul 2018),60 Days Ago,0.59
4,148,11,2,2018-07-03 00:33:50,Current Qtr. (Jul 2018),90 Days Ago,0.59
5,148,11,2,2018-07-03 00:33:50,Next Qtr. (Oct 2018),Current Estimate,0.84
