,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,163,8,2,2018-07-03 00:39:22,Current Qtr. (Jul 2018),No. of Analysts,26.0
1,163,8,2,2018-07-03 00:39:22,Current Qtr. (Jul 2018),Avg. Estimate,1.49
2,163,8,2,2018-07-03 00:39:22,Current Qtr. (Jul 2018),Low Estimate,1.43
3,163,8,2,2018-07-03 00:39:22,Current Qtr. (Jul 2018),High Estimate,1.56
4,163,8,2,2018-07-03 00:39:22,Current Qtr. (Jul 2018),Year Ago EPS,1.1
5,163,8,2,2018-07-03 00:39:22,Next Qtr. (Oct 2018),No. of Analysts,26.0
6,163,8,2,2018-07-03 00:39:22,Next Qtr. (Oct 2018),Avg. Estimate,1.26
7,163,8,2,2018-07-03 00:39:22,Next Qtr. (Oct 2018),Low Estimate,1.21
8,163,8,2,2018-07-03 00:39:22,Next Qtr. (Oct 2018),High Estimate,1.32
9,163,8,2,2018-07-03 00:39:22,Next Qtr. (Oct 2018),Year Ago EPS,0.93
10,163,8,2,2018-07-03 00:39:22,Current Year (2019),No. of Analysts,29.0
11,163,8,2,2018-07-03 00:39:22,Current Year (2019),Avg. Estimate,6.06
12,163,8,2,2018-07-03 00:39:22,Current Year (2019),Low Estimate,6.0
13,163,8,2,2018-07-03 00:39:22,Current Year (2019),High Estimate,6.15
14,163,8,2,2018-07-03 00:39:22,Current Year (2019),Year Ago EPS,4.57
15,163,8,2,2018-07-03 00:39:22,Next Year (2020),No. of Analysts,30.0
16,163,8,2,2018-07-03 00:39:22,Next Year (2020),Avg. Estimate,6.68
17,163,8,2,2018-07-03 00:39:22,Next Year (2020),Low Estimate,6.41
18,163,8,2,2018-07-03 00:39:22,Next Year (2020),High Estimate,6.88
19,163,8,2,2018-07-03 00:39:22,Next Year (2020),Year Ago EPS,6.06
0,163,9,2,2018-07-03 00:39:22,Current Qtr. (Jul 2018),No. of Analysts,23
1,163,9,2,2018-07-03 00:39:22,Current Qtr. (Jul 2018),Avg. Estimate,6.37B
2,163,9,2,2018-07-03 00:39:22,Current Qtr. (Jul 2018),Low Estimate,6.31B
3,163,9,2,2018-07-03 00:39:22,Current Qtr. (Jul 2018),High Estimate,6.48B
4,163,9,2,2018-07-03 00:39:22,Current Qtr. (Jul 2018),Year Ago Sales,5.83B
5,163,9,2,2018-07-03 00:39:22,Current Qtr. (Jul 2018),Sales Growth (year/est),9.30%
6,163,9,2,2018-07-03 00:39:22,Next Qtr. (Oct 2018),No. of Analysts,22
7,163,9,2,2018-07-03 00:39:22,Next Qtr. (Oct 2018),Avg. Estimate,6.35B
8,163,9,2,2018-07-03 00:39:22,Next Qtr. (Oct 2018),Low Estimate,6.29B
9,163,9,2,2018-07-03 00:39:22,Next Qtr. (Oct 2018),High Estimate,6.43B
10,163,9,2,2018-07-03 00:39:22,Next Qtr. (Oct 2018),Year Ago Sales,5.9B
11,163,9,2,2018-07-03 00:39:22,Next Qtr. (Oct 2018),Sales Growth (year/est),7.60%
12,163,9,2,2018-07-03 00:39:22,Current Year (2019),No. of Analysts,27
13,163,9,2,2018-07-03 00:39:22,Current Year (2019),Avg. Estimate,25.43B
14,163,9,2,2018-07-03 00:39:22,Current Year (2019),Low Estimate,25.26B
15,163,9,2,2018-07-03 00:39:22,Current Year (2019),High Estimate,25.64B
16,163,9,2,2018-07-03 00:39:22,Current Year (2019),Year Ago Sales,23.47B
17,163,9,2,2018-07-03 00:39:22,Current Year (2019),Sales Growth (year/est),8.40%
18,163,9,2,2018-07-03 00:39:22,Next Year (2020),No. of Analysts,28
19,163,9,2,2018-07-03 00:39:22,Next Year (2020),Avg. Estimate,27.28B
20,163,9,2,2018-07-03 00:39:22,Next Year (2020),Low Estimate,26.93B
21,163,9,2,2018-07-03 00:39:22,Next Year (2020),High Estimate,27.57B
22,163,9,2,2018-07-03 00:39:22,Next Year (2020),Year Ago Sales,25.43B
23,163,9,2,2018-07-03 00:39:22,Next Year (2020),Sales Growth (year/est),7.30%
0,163,10,2,2018-07-03 00:39:22,7/30/2017,EPS Est.,1.09
1,163,10,2,2018-07-03 00:39:22,7/30/2017,EPS Actual,1.1
2,163,10,2,2018-07-03 00:39:22,7/30/2017,Difference,0.01
