,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,475,8,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),No. of Analysts,10.0
1,475,8,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),Avg. Estimate,0.86
2,475,8,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),Low Estimate,0.73
3,475,8,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),High Estimate,1.0
4,475,8,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),Year Ago EPS,0.68
5,475,8,2,2018-07-03 02:36:36,Next Qtr. (Sep 2018),No. of Analysts,9.0
6,475,8,2,2018-07-03 02:36:36,Next Qtr. (Sep 2018),Avg. Estimate,0.65
7,475,8,2,2018-07-03 02:36:36,Next Qtr. (Sep 2018),Low Estimate,0.57
8,475,8,2,2018-07-03 02:36:36,Next Qtr. (Sep 2018),High Estimate,0.76
9,475,8,2,2018-07-03 02:36:36,Next Qtr. (Sep 2018),Year Ago EPS,0.43
10,475,8,2,2018-07-03 02:36:36,Current Year (2018),No. of Analysts,3.0
11,475,8,2,2018-07-03 02:36:36,Current Year (2018),Avg. Estimate,2.87
12,475,8,2,2018-07-03 02:36:36,Current Year (2018),Low Estimate,2.59
13,475,8,2,2018-07-03 02:36:36,Current Year (2018),High Estimate,3.26
14,475,8,2,2018-07-03 02:36:36,Current Year (2018),Year Ago EPS,1.9
15,475,8,2,2018-07-03 02:36:36,Next Year (2019),No. of Analysts,10.0
16,475,8,2,2018-07-03 02:36:36,Next Year (2019),Avg. Estimate,3.51
17,475,8,2,2018-07-03 02:36:36,Next Year (2019),Low Estimate,2.89
18,475,8,2,2018-07-03 02:36:36,Next Year (2019),High Estimate,4.07
19,475,8,2,2018-07-03 02:36:36,Next Year (2019),Year Ago EPS,2.87
0,475,9,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),No. of Analysts,12
1,475,9,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),Avg. Estimate,2.86B
2,475,9,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),Low Estimate,2.73B
3,475,9,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),High Estimate,3.04B
4,475,9,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),Year Ago Sales,1.75B
5,475,9,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),Sales Growth (year/est),63.80%
6,475,9,2,2018-07-03 02:36:36,Next Qtr. (Sep 2018),No. of Analysts,12
7,475,9,2,2018-07-03 02:36:36,Next Qtr. (Sep 2018),Avg. Estimate,2.66B
8,475,9,2,2018-07-03 02:36:36,Next Qtr. (Sep 2018),Low Estimate,2.54B
9,475,9,2,2018-07-03 02:36:36,Next Qtr. (Sep 2018),High Estimate,2.76B
10,475,9,2,2018-07-03 02:36:36,Next Qtr. (Sep 2018),Year Ago Sales,1.65B
11,475,9,2,2018-07-03 02:36:36,Next Qtr. (Sep 2018),Sales Growth (year/est),60.90%
12,475,9,2,2018-07-03 02:36:36,Current Year (2018),No. of Analysts,14
13,475,9,2,2018-07-03 02:36:36,Current Year (2018),Avg. Estimate,10.76B
14,475,9,2,2018-07-03 02:36:36,Current Year (2018),Low Estimate,10.42B
15,475,9,2,2018-07-03 02:36:36,Current Year (2018),High Estimate,11.07B
16,475,9,2,2018-07-03 02:36:36,Current Year (2018),Year Ago Sales,6.87B
17,475,9,2,2018-07-03 02:36:36,Current Year (2018),Sales Growth (year/est),56.60%
18,475,9,2,2018-07-03 02:36:36,Next Year (2019),No. of Analysts,15
19,475,9,2,2018-07-03 02:36:36,Next Year (2019),Avg. Estimate,11.44B
20,475,9,2,2018-07-03 02:36:36,Next Year (2019),Low Estimate,11.06B
21,475,9,2,2018-07-03 02:36:36,Next Year (2019),High Estimate,11.7B
22,475,9,2,2018-07-03 02:36:36,Next Year (2019),Year Ago Sales,10.76B
23,475,9,2,2018-07-03 02:36:36,Next Year (2019),Sales Growth (year/est),6.30%
0,475,10,2,2018-07-03 02:36:36,6/29/2017,EPS Est.,0.72
1,475,10,2,2018-07-03 02:36:36,6/29/2017,EPS Actual,0.68
2,475,10,2,2018-07-03 02:36:36,6/29/2017,Difference,-0.04
3,475,10,2,2018-07-03 02:36:36,6/29/2017,Surprise %,-5.60%
4,475,10,2,2018-07-03 02:36:36,9/29/2017,EPS Est.,0.54
5,475,10,2,2018-07-03 02:36:36,9/29/2017,EPS Actual,0.43
6,475,10,2,2018-07-03 02:36:36,9/29/2017,Difference,-0.11
7,475,10,2,2018-07-03 02:36:36,9/29/2017,Surprise %,-20.40%
8,475,10,2,2018-07-03 02:36:36,12/30/2017,EPS Est.,0.38
9,475,10,2,2018-07-03 02:36:36,12/30/2017,EPS Actual,0.37
10,475,10,2,2018-07-03 02:36:36,12/30/2017,Difference,-0.01
11,475,10,2,2018-07-03 02:36:36,12/30/2017,Surprise %,-2.60%
12,475,10,2,2018-07-03 02:36:36,3/30/2018,EPS Est.,0.43
13,475,10,2,2018-07-03 02:36:36,3/30/2018,EPS Actual,0.53
14,475,10,2,2018-07-03 02:36:36,3/30/2018,Difference,0.1
15,475,10,2,2018-07-03 02:36:36,3/30/2018,Surprise %,23.30%
0,475,11,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),Current Estimate,0.86
1,475,11,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),7 Days Ago,0.86
2,475,11,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),30 Days Ago,0.85
3,475,11,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),60 Days Ago,0.83
4,475,11,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),90 Days Ago,0.83
5,475,11,2,2018-07-03 02:36:36,Next Qtr. (Sep 2018),Current Estimate,0.65
6,475,11,2,2018-07-03 02:36:36,Next Qtr. (Sep 2018),7 Days Ago,0.65
7,475,11,2,2018-07-03 02:36:36,Next Qtr. (Sep 2018),30 Days Ago,0.65
8,475,11,2,2018-07-03 02:36:36,Next Qtr. (Sep 2018),60 Days Ago,0.56
9,475,11,2,2018-07-03 02:36:36,Next Qtr. (Sep 2018),90 Days Ago,0.57
10,475,11,2,2018-07-03 02:36:36,Current Year (2018),Current Estimate,2.87
11,475,11,2,2018-07-03 02:36:36,Current Year (2018),7 Days Ago,2.87
12,475,11,2,2018-07-03 02:36:36,Current Year (2018),30 Days Ago,2.87
13,475,11,2,2018-07-03 02:36:36,Current Year (2018),60 Days Ago,2.57
14,475,11,2,2018-07-03 02:36:36,Current Year (2018),90 Days Ago,2.43
15,475,11,2,2018-07-03 02:36:36,Next Year (2019),Current Estimate,3.51
16,475,11,2,2018-07-03 02:36:36,Next Year (2019),7 Days Ago,3.51
17,475,11,2,2018-07-03 02:36:36,Next Year (2019),30 Days Ago,3.52
18,475,11,2,2018-07-03 02:36:36,Next Year (2019),60 Days Ago,3.21
19,475,11,2,2018-07-03 02:36:36,Next Year (2019),90 Days Ago,3.34
0,475,12,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),Up Last 7 Days,
1,475,12,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),Up Last 30 Days,1.0
2,475,12,2,2018-07-03 02:36:36,Current Qtr. (Jun 2018),Down Last 7 Days,
