,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,174,8,2,2018-07-03 00:43:26,Current Qtr. (Aug 2018),No. of Analysts,23.0
1,174,8,2,2018-07-03 00:43:26,Current Qtr. (Aug 2018),Avg. Estimate,1.23
2,174,8,2,2018-07-03 00:43:26,Current Qtr. (Aug 2018),Low Estimate,1.14
3,174,8,2,2018-07-03 00:43:26,Current Qtr. (Aug 2018),High Estimate,1.26
4,174,8,2,2018-07-03 00:43:26,Current Qtr. (Aug 2018),Year Ago EPS,0.99
5,174,8,2,2018-07-03 00:43:26,Next Qtr. (Nov 2018),No. of Analysts,23.0
6,174,8,2,2018-07-03 00:43:26,Next Qtr. (Nov 2018),Avg. Estimate,0.89
7,174,8,2,2018-07-03 00:43:26,Next Qtr. (Nov 2018),Low Estimate,0.85
8,174,8,2,2018-07-03 00:43:26,Next Qtr. (Nov 2018),High Estimate,0.98
9,174,8,2,2018-07-03 00:43:26,Next Qtr. (Nov 2018),Year Ago EPS,0.73
10,174,8,2,2018-07-03 00:43:26,Current Year (2019),No. of Analysts,27.0
11,174,8,2,2018-07-03 00:43:26,Current Year (2019),Avg. Estimate,5.52
12,174,8,2,2018-07-03 00:43:26,Current Year (2019),Low Estimate,5.4
13,174,8,2,2018-07-03 00:43:26,Current Year (2019),High Estimate,5.7
14,174,8,2,2018-07-03 00:43:26,Current Year (2019),Year Ago EPS,4.81
15,174,8,2,2018-07-03 00:43:26,Next Year (2020),No. of Analysts,25.0
16,174,8,2,2018-07-03 00:43:26,Next Year (2020),Avg. Estimate,6.08
17,174,8,2,2018-07-03 00:43:26,Next Year (2020),Low Estimate,5.75
18,174,8,2,2018-07-03 00:43:26,Next Year (2020),High Estimate,6.48
19,174,8,2,2018-07-03 00:43:26,Next Year (2020),Year Ago EPS,5.52
0,174,9,2,2018-07-03 00:43:26,Current Qtr. (Aug 2018),No. of Analysts,20
