,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,169,8,2,2018-07-03 00:41:35,Current Qtr. (Jun 2018),No. of Analysts,28.0
1,169,8,2,2018-07-03 00:41:35,Current Qtr. (Jun 2018),Avg. Estimate,0.34
2,169,8,2,2018-07-03 00:41:35,Current Qtr. (Jun 2018),Low Estimate,0.14
3,169,8,2,2018-07-03 00:41:35,Current Qtr. (Jun 2018),High Estimate,0.73
4,169,8,2,2018-07-03 00:41:35,Current Qtr. (Jun 2018),Year Ago EPS,0.34
5,169,8,2,2018-07-03 00:41:35,Next Qtr. (Sep 2018),No. of Analysts,27.0
6,169,8,2,2018-07-03 00:41:35,Next Qtr. (Sep 2018),Avg. Estimate,0.47
7,169,8,2,2018-07-03 00:41:35,Next Qtr. (Sep 2018),Low Estimate,0.21
8,169,8,2,2018-07-03 00:41:35,Next Qtr. (Sep 2018),High Estimate,0.8
9,169,8,2,2018-07-03 00:41:35,Next Qtr. (Sep 2018),Year Ago EPS,0.46
10,169,8,2,2018-07-03 00:41:35,Current Year (2018),No. of Analysts,27.0
11,169,8,2,2018-07-03 00:41:35,Current Year (2018),Avg. Estimate,1.61
12,169,8,2,2018-07-03 00:41:35,Current Year (2018),Low Estimate,0.85
13,169,8,2,2018-07-03 00:41:35,Current Year (2018),High Estimate,2.53
14,169,8,2,2018-07-03 00:41:35,Current Year (2018),Year Ago EPS,1.59
15,169,8,2,2018-07-03 00:41:35,Next Year (2019),No. of Analysts,32.0
16,169,8,2,2018-07-03 00:41:35,Next Year (2019),Avg. Estimate,2.46
17,169,8,2,2018-07-03 00:41:35,Next Year (2019),Low Estimate,0.42
18,169,8,2,2018-07-03 00:41:35,Next Year (2019),High Estimate,4.31
19,169,8,2,2018-07-03 00:41:35,Next Year (2019),Year Ago EPS,1.61
0,169,9,2,2018-07-03 00:41:35,Current Qtr. (Jun 2018),No. of Analysts,9
1,169,9,2,2018-07-03 00:41:35,Current Qtr. (Jun 2018),Avg. Estimate,3.75B
2,169,9,2,2018-07-03 00:41:35,Current Qtr. (Jun 2018),Low Estimate,2.59B
