,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,182,8,2,2018-07-03 00:46:24,Current Qtr. (Jun 2018),No. of Analysts,14.0
1,182,8,2,2018-07-03 00:46:24,Current Qtr. (Jun 2018),Avg. Estimate,1.55
2,182,8,2,2018-07-03 00:46:24,Current Qtr. (Jun 2018),Low Estimate,1.53
3,182,8,2,2018-07-03 00:46:24,Current Qtr. (Jun 2018),High Estimate,1.57
4,182,8,2,2018-07-03 00:46:24,Current Qtr. (Jun 2018),Year Ago EPS,1.6
5,182,8,2,2018-07-03 00:46:24,Next Qtr. (Sep 2018),No. of Analysts,14.0
6,182,8,2,2018-07-03 00:46:24,Next Qtr. (Sep 2018),Avg. Estimate,1.51
7,182,8,2,2018-07-03 00:46:24,Next Qtr. (Sep 2018),Low Estimate,1.46
8,182,8,2,2018-07-03 00:46:24,Next Qtr. (Sep 2018),High Estimate,1.56
9,182,8,2,2018-07-03 00:46:24,Next Qtr. (Sep 2018),Year Ago EPS,1.53
10,182,8,2,2018-07-03 00:46:24,Current Year (2018),No. of Analysts,15.0
11,182,8,2,2018-07-03 00:46:24,Current Year (2018),Avg. Estimate,5.94
12,182,8,2,2018-07-03 00:46:24,Current Year (2018),Low Estimate,5.9
13,182,8,2,2018-07-03 00:46:24,Current Year (2018),High Estimate,5.99
14,182,8,2,2018-07-03 00:46:24,Current Year (2018),Year Ago EPS,5.97
15,182,8,2,2018-07-03 00:46:24,Next Year (2019),No. of Analysts,16.0
16,182,8,2,2018-07-03 00:46:24,Next Year (2019),Avg. Estimate,6.4
17,182,8,2,2018-07-03 00:46:24,Next Year (2019),Low Estimate,6.23
18,182,8,2,2018-07-03 00:46:24,Next Year (2019),High Estimate,6.66
19,182,8,2,2018-07-03 00:46:24,Next Year (2019),Year Ago EPS,5.94
0,182,9,2,2018-07-03 00:46:24,Current Qtr. (Jun 2018),No. of Analysts,11
1,182,9,2,2018-07-03 00:46:24,Current Qtr. (Jun 2018),Avg. Estimate,886.11M
2,182,9,2,2018-07-03 00:46:24,Current Qtr. (Jun 2018),Low Estimate,879.65M
3,182,9,2,2018-07-03 00:46:24,Current Qtr. (Jun 2018),High Estimate,889M
4,182,9,2,2018-07-03 00:46:24,Current Qtr. (Jun 2018),Year Ago Sales,856.7M
5,182,9,2,2018-07-03 00:46:24,Current Qtr. (Jun 2018),Sales Growth (year/est),3.40%
6,182,9,2,2018-07-03 00:46:24,Next Qtr. (Sep 2018),No. of Analysts,11
7,182,9,2,2018-07-03 00:46:24,Next Qtr. (Sep 2018),Avg. Estimate,872.77M
8,182,9,2,2018-07-03 00:46:24,Next Qtr. (Sep 2018),Low Estimate,862.2M
9,182,9,2,2018-07-03 00:46:24,Next Qtr. (Sep 2018),High Estimate,886.57M
10,182,9,2,2018-07-03 00:46:24,Next Qtr. (Sep 2018),Year Ago Sales,834.8M
