,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,177,8,2,2018-07-03 00:44:32,Current Qtr. (Jun 2018),No. of Analysts,17.0
1,177,8,2,2018-07-03 00:44:32,Current Qtr. (Jun 2018),Avg. Estimate,2.21
2,177,8,2,2018-07-03 00:44:32,Current Qtr. (Jun 2018),Low Estimate,2.11
3,177,8,2,2018-07-03 00:44:32,Current Qtr. (Jun 2018),High Estimate,2.25
4,177,8,2,2018-07-03 00:44:32,Current Qtr. (Jun 2018),Year Ago EPS,1.98
5,177,8,2,2018-07-03 00:44:32,Next Qtr. (Sep 2018),No. of Analysts,17.0
6,177,8,2,2018-07-03 00:44:32,Next Qtr. (Sep 2018),Avg. Estimate,2.31
7,177,8,2,2018-07-03 00:44:32,Next Qtr. (Sep 2018),Low Estimate,2.21
8,177,8,2,2018-07-03 00:44:32,Next Qtr. (Sep 2018),High Estimate,2.39
9,177,8,2,2018-07-03 00:44:32,Next Qtr. (Sep 2018),Year Ago EPS,2.19
10,177,8,2,2018-07-03 00:44:32,Current Year (2018),No. of Analysts,17.0
11,177,8,2,2018-07-03 00:44:32,Current Year (2018),Avg. Estimate,8.56
12,177,8,2,2018-07-03 00:44:32,Current Year (2018),Low Estimate,8.39
13,177,8,2,2018-07-03 00:44:32,Current Year (2018),High Estimate,8.73
14,177,8,2,2018-07-03 00:44:32,Current Year (2018),Year Ago EPS,7.61
15,177,8,2,2018-07-03 00:44:32,Next Year (2019),No. of Analysts,18.0
16,177,8,2,2018-07-03 00:44:32,Next Year (2019),Avg. Estimate,9.33
17,177,8,2,2018-07-03 00:44:32,Next Year (2019),Low Estimate,8.73
18,177,8,2,2018-07-03 00:44:32,Next Year (2019),High Estimate,9.86
19,177,8,2,2018-07-03 00:44:32,Next Year (2019),Year Ago EPS,8.56
0,177,9,2,2018-07-03 00:44:32,Current Qtr. (Jun 2018),No. of Analysts,12
1,177,9,2,2018-07-03 00:44:32,Current Qtr. (Jun 2018),Avg. Estimate,2.58B
2,177,9,2,2018-07-03 00:44:32,Current Qtr. (Jun 2018),Low Estimate,2.5B
3,177,9,2,2018-07-03 00:44:32,Current Qtr. (Jun 2018),High Estimate,2.67B
4,177,9,2,2018-07-03 00:44:32,Current Qtr. (Jun 2018),Year Ago Sales,2.42B
5,177,9,2,2018-07-03 00:44:32,Current Qtr. (Jun 2018),Sales Growth (year/est),6.60%
6,177,9,2,2018-07-03 00:44:32,Next Qtr. (Sep 2018),No. of Analysts,12
7,177,9,2,2018-07-03 00:44:32,Next Qtr. (Sep 2018),Avg. Estimate,2.56B
8,177,9,2,2018-07-03 00:44:32,Next Qtr. (Sep 2018),Low Estimate,2.48B
9,177,9,2,2018-07-03 00:44:32,Next Qtr. (Sep 2018),High Estimate,2.63B
10,177,9,2,2018-07-03 00:44:32,Next Qtr. (Sep 2018),Year Ago Sales,2.46B
11,177,9,2,2018-07-03 00:44:32,Next Qtr. (Sep 2018),Sales Growth (year/est),4.00%
12,177,9,2,2018-07-03 00:44:32,Current Year (2018),No. of Analysts,16
13,177,9,2,2018-07-03 00:44:32,Current Year (2018),Avg. Estimate,10.18B
14,177,9,2,2018-07-03 00:44:32,Current Year (2018),Low Estimate,9.99B
15,177,9,2,2018-07-03 00:44:32,Current Year (2018),High Estimate,10.39B
16,177,9,2,2018-07-03 00:44:32,Current Year (2018),Year Ago Sales,9.55B
17,177,9,2,2018-07-03 00:44:32,Current Year (2018),Sales Growth (year/est),6.60%
