,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,196,8,2,2018-07-03 00:51:47,Current Qtr. (Jun 2018),No. of Analysts,13.0
1,196,8,2,2018-07-03 00:51:47,Current Qtr. (Jun 2018),Avg. Estimate,0.78
2,196,8,2,2018-07-03 00:51:47,Current Qtr. (Jun 2018),Low Estimate,0.71
3,196,8,2,2018-07-03 00:51:47,Current Qtr. (Jun 2018),High Estimate,0.84
4,196,8,2,2018-07-03 00:51:47,Current Qtr. (Jun 2018),Year Ago EPS,0.6
5,196,8,2,2018-07-03 00:51:47,Next Qtr. (Sep 2018),No. of Analysts,13.0
6,196,8,2,2018-07-03 00:51:47,Next Qtr. (Sep 2018),Avg. Estimate,0.83
7,196,8,2,2018-07-03 00:51:47,Next Qtr. (Sep 2018),Low Estimate,0.75
8,196,8,2,2018-07-03 00:51:47,Next Qtr. (Sep 2018),High Estimate,0.87
9,196,8,2,2018-07-03 00:51:47,Next Qtr. (Sep 2018),Year Ago EPS,0.66
10,196,8,2,2018-07-03 00:51:47,Current Year (2018),No. of Analysts,15.0
11,196,8,2,2018-07-03 00:51:47,Current Year (2018),Avg. Estimate,3.17
12,196,8,2,2018-07-03 00:51:47,Current Year (2018),Low Estimate,3.0
13,196,8,2,2018-07-03 00:51:47,Current Year (2018),High Estimate,3.3
14,196,8,2,2018-07-03 00:51:47,Current Year (2018),Year Ago EPS,2.48
15,196,8,2,2018-07-03 00:51:47,Next Year (2019),No. of Analysts,15.0
16,196,8,2,2018-07-03 00:51:47,Next Year (2019),Avg. Estimate,3.4
17,196,8,2,2018-07-03 00:51:47,Next Year (2019),Low Estimate,3.2
18,196,8,2,2018-07-03 00:51:47,Next Year (2019),High Estimate,3.55
19,196,8,2,2018-07-03 00:51:47,Next Year (2019),Year Ago EPS,3.17
0,196,9,2,2018-07-03 00:51:47,Current Qtr. (Jun 2018),No. of Analysts,8
1,196,9,2,2018-07-03 00:51:47,Current Qtr. (Jun 2018),Avg. Estimate,1.93B
2,196,9,2,2018-07-03 00:51:47,Current Qtr. (Jun 2018),Low Estimate,1.89B
3,196,9,2,2018-07-03 00:51:47,Current Qtr. (Jun 2018),High Estimate,1.98B
4,196,9,2,2018-07-03 00:51:47,Current Qtr. (Jun 2018),Year Ago Sales,1.67B
5,196,9,2,2018-07-03 00:51:47,Current Qtr. (Jun 2018),Sales Growth (year/est),15.50%
6,196,9,2,2018-07-03 00:51:47,Next Qtr. (Sep 2018),No. of Analysts,8
7,196,9,2,2018-07-03 00:51:47,Next Qtr. (Sep 2018),Avg. Estimate,2.01B
8,196,9,2,2018-07-03 00:51:47,Next Qtr. (Sep 2018),Low Estimate,1.97B
9,196,9,2,2018-07-03 00:51:47,Next Qtr. (Sep 2018),High Estimate,2.07B
10,196,9,2,2018-07-03 00:51:47,Next Qtr. (Sep 2018),Year Ago Sales,1.8B
11,196,9,2,2018-07-03 00:51:47,Next Qtr. (Sep 2018),Sales Growth (year/est),11.80%
12,196,9,2,2018-07-03 00:51:47,Current Year (2018),No. of Analysts,13
13,196,9,2,2018-07-03 00:51:47,Current Year (2018),Avg. Estimate,7.87B
14,196,9,2,2018-07-03 00:51:47,Current Year (2018),Low Estimate,7.61B
15,196,9,2,2018-07-03 00:51:47,Current Year (2018),High Estimate,8.03B
16,196,9,2,2018-07-03 00:51:47,Current Year (2018),Year Ago Sales,6.92B
