,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,193,8,2,2018-07-03 00:50:41,Current Qtr. (Jun 2018),No. of Analysts,33.0
1,193,8,2,2018-07-03 00:50:41,Current Qtr. (Jun 2018),Avg. Estimate,1.72
2,193,8,2,2018-07-03 00:50:41,Current Qtr. (Jun 2018),Low Estimate,1.57
3,193,8,2,2018-07-03 00:50:41,Current Qtr. (Jun 2018),High Estimate,1.97
4,193,8,2,2018-07-03 00:50:41,Current Qtr. (Jun 2018),Year Ago EPS,1.32
5,193,8,2,2018-07-03 00:50:41,Next Qtr. (Sep 2018),No. of Analysts,32.0
6,193,8,2,2018-07-03 00:50:41,Next Qtr. (Sep 2018),Avg. Estimate,1.82
7,193,8,2,2018-07-03 00:50:41,Next Qtr. (Sep 2018),Low Estimate,1.62
8,193,8,2,2018-07-03 00:50:41,Next Qtr. (Sep 2018),High Estimate,2.18
9,193,8,2,2018-07-03 00:50:41,Next Qtr. (Sep 2018),Year Ago EPS,1.59
10,193,8,2,2018-07-03 00:50:41,Current Year (2018),No. of Analysts,37.0
11,193,8,2,2018-07-03 00:50:41,Current Year (2018),Avg. Estimate,7.72
12,193,8,2,2018-07-03 00:50:41,Current Year (2018),Low Estimate,7.12
13,193,8,2,2018-07-03 00:50:41,Current Year (2018),High Estimate,8.93
14,193,8,2,2018-07-03 00:50:41,Current Year (2018),Year Ago EPS,5.39
15,193,8,2,2018-07-03 00:50:41,Next Year (2019),No. of Analysts,38.0
16,193,8,2,2018-07-03 00:50:41,Next Year (2019),Avg. Estimate,9.24
17,193,8,2,2018-07-03 00:50:41,Next Year (2019),Low Estimate,7.32
18,193,8,2,2018-07-03 00:50:41,Next Year (2019),High Estimate,12.15
19,193,8,2,2018-07-03 00:50:41,Next Year (2019),Year Ago EPS,7.72
0,193,9,2,2018-07-03 00:50:41,Current Qtr. (Jun 2018),No. of Analysts,34
1,193,9,2,2018-07-03 00:50:41,Current Qtr. (Jun 2018),Avg. Estimate,13.34B
2,193,9,2,2018-07-03 00:50:41,Current Qtr. (Jun 2018),Low Estimate,12.4B
3,193,9,2,2018-07-03 00:50:41,Current Qtr. (Jun 2018),High Estimate,14.18B
4,193,9,2,2018-07-03 00:50:41,Current Qtr. (Jun 2018),Year Ago Sales,9.32B
5,193,9,2,2018-07-03 00:50:41,Current Qtr. (Jun 2018),Sales Growth (year/est),43.10%
6,193,9,2,2018-07-03 00:50:41,Next Qtr. (Sep 2018),No. of Analysts,34
7,193,9,2,2018-07-03 00:50:41,Next Qtr. (Sep 2018),Avg. Estimate,14.22B
8,193,9,2,2018-07-03 00:50:41,Next Qtr. (Sep 2018),Low Estimate,12.97B
9,193,9,2,2018-07-03 00:50:41,Next Qtr. (Sep 2018),High Estimate,15.36B
10,193,9,2,2018-07-03 00:50:41,Next Qtr. (Sep 2018),Year Ago Sales,10.33B
11,193,9,2,2018-07-03 00:50:41,Next Qtr. (Sep 2018),Sales Growth (year/est),37.70%
12,193,9,2,2018-07-03 00:50:41,Current Year (2018),No. of Analysts,40
13,193,9,2,2018-07-03 00:50:41,Current Year (2018),Avg. Estimate,56.64B
14,193,9,2,2018-07-03 00:50:41,Current Year (2018),Low Estimate,54.09B
15,193,9,2,2018-07-03 00:50:41,Current Year (2018),High Estimate,59.21B
16,193,9,2,2018-07-03 00:50:41,Current Year (2018),Year Ago Sales,40.65B
17,193,9,2,2018-07-03 00:50:41,Current Year (2018),Sales Growth (year/est),39.30%
18,193,9,2,2018-07-03 00:50:41,Next Year (2019),No. of Analysts,39
19,193,9,2,2018-07-03 00:50:41,Next Year (2019),Avg. Estimate,71.9B
20,193,9,2,2018-07-03 00:50:41,Next Year (2019),Low Estimate,59.34B
21,193,9,2,2018-07-03 00:50:41,Next Year (2019),High Estimate,82.05B
22,193,9,2,2018-07-03 00:50:41,Next Year (2019),Year Ago Sales,56.64B
