,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,207,8,2,2018-07-03 00:55:54,Current Qtr. (Jun 2018),No. of Analysts,23.0
1,207,8,2,2018-07-03 00:55:54,Current Qtr. (Jun 2018),Avg. Estimate,0.38
2,207,8,2,2018-07-03 00:55:54,Current Qtr. (Jun 2018),Low Estimate,0.26
3,207,8,2,2018-07-03 00:55:54,Current Qtr. (Jun 2018),High Estimate,0.46
4,207,8,2,2018-07-03 00:55:54,Current Qtr. (Jun 2018),Year Ago EPS,0.45
5,207,8,2,2018-07-03 00:55:54,Next Qtr. (Sep 2018),No. of Analysts,23.0
6,207,8,2,2018-07-03 00:55:54,Next Qtr. (Sep 2018),Avg. Estimate,0.38
7,207,8,2,2018-07-03 00:55:54,Next Qtr. (Sep 2018),Low Estimate,0.31
8,207,8,2,2018-07-03 00:55:54,Next Qtr. (Sep 2018),High Estimate,0.47
9,207,8,2,2018-07-03 00:55:54,Next Qtr. (Sep 2018),Year Ago EPS,0.39
10,207,8,2,2018-07-03 00:55:54,Current Year (2018),No. of Analysts,23.0
11,207,8,2,2018-07-03 00:55:54,Current Year (2018),Avg. Estimate,1.39
12,207,8,2,2018-07-03 00:55:54,Current Year (2018),Low Estimate,1.23
13,207,8,2,2018-07-03 00:55:54,Current Year (2018),High Estimate,1.66
14,207,8,2,2018-07-03 00:55:54,Current Year (2018),Year Ago EPS,1.29
15,207,8,2,2018-07-03 00:55:54,Next Year (2019),No. of Analysts,28.0
16,207,8,2,2018-07-03 00:55:54,Next Year (2019),Avg. Estimate,1.55
17,207,8,2,2018-07-03 00:55:54,Next Year (2019),Low Estimate,1.24
18,207,8,2,2018-07-03 00:55:54,Next Year (2019),High Estimate,1.93
19,207,8,2,2018-07-03 00:55:54,Next Year (2019),Year Ago EPS,1.39
0,207,9,2,2018-07-03 00:55:54,Current Qtr. (Jun 2018),No. of Analysts,19
1,207,9,2,2018-07-03 00:55:54,Current Qtr. (Jun 2018),Avg. Estimate,3.2B
2,207,9,2,2018-07-03 00:55:54,Current Qtr. (Jun 2018),Low Estimate,3.01B
3,207,9,2,2018-07-03 00:55:54,Current Qtr. (Jun 2018),High Estimate,3.47B
4,207,9,2,2018-07-03 00:55:54,Current Qtr. (Jun 2018),Year Ago Sales,3.85B
5,207,9,2,2018-07-03 00:55:54,Current Qtr. (Jun 2018),Sales Growth (year/est),-16.80%
6,207,9,2,2018-07-03 00:55:54,Next Qtr. (Sep 2018),No. of Analysts,19
7,207,9,2,2018-07-03 00:55:54,Next Qtr. (Sep 2018),Avg. Estimate,3.16B
8,207,9,2,2018-07-03 00:55:54,Next Qtr. (Sep 2018),Low Estimate,3.04B
9,207,9,2,2018-07-03 00:55:54,Next Qtr. (Sep 2018),High Estimate,3.41B
10,207,9,2,2018-07-03 00:55:54,Next Qtr. (Sep 2018),Year Ago Sales,4.14B
11,207,9,2,2018-07-03 00:55:54,Next Qtr. (Sep 2018),Sales Growth (year/est),-23.60%
12,207,9,2,2018-07-03 00:55:54,Current Year (2018),No. of Analysts,25
13,207,9,2,2018-07-03 00:55:54,Current Year (2018),Avg. Estimate,12.52B
14,207,9,2,2018-07-03 00:55:54,Current Year (2018),Low Estimate,12.27B
15,207,9,2,2018-07-03 00:55:54,Current Year (2018),High Estimate,12.94B
16,207,9,2,2018-07-03 00:55:54,Current Year (2018),Year Ago Sales,15.06B
17,207,9,2,2018-07-03 00:55:54,Current Year (2018),Sales Growth (year/est),-16.80%
18,207,9,2,2018-07-03 00:55:54,Next Year (2019),No. of Analysts,26
19,207,9,2,2018-07-03 00:55:54,Next Year (2019),Avg. Estimate,12.66B
20,207,9,2,2018-07-03 00:55:54,Next Year (2019),Low Estimate,11.1B
