,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,480,8,2,2018-07-03 02:38:27,Current Qtr. (Jun 2018),No. of Analysts,29.0
1,480,8,2,2018-07-03 02:38:27,Current Qtr. (Jun 2018),Avg. Estimate,1.23
2,480,8,2,2018-07-03 02:38:27,Current Qtr. (Jun 2018),Low Estimate,1.19
3,480,8,2,2018-07-03 02:38:27,Current Qtr. (Jun 2018),High Estimate,1.25
4,480,8,2,2018-07-03 02:38:27,Current Qtr. (Jun 2018),Year Ago EPS,0.94
5,480,8,2,2018-07-03 02:38:27,Next Qtr. (Sep 2018),No. of Analysts,29.0
6,480,8,2,2018-07-03 02:38:27,Next Qtr. (Sep 2018),Avg. Estimate,1.41
7,480,8,2,2018-07-03 02:38:27,Next Qtr. (Sep 2018),Low Estimate,1.27
8,480,8,2,2018-07-03 02:38:27,Next Qtr. (Sep 2018),High Estimate,1.46
9,480,8,2,2018-07-03 02:38:27,Next Qtr. (Sep 2018),Year Ago EPS,1.15
10,480,8,2,2018-07-03 02:38:27,Current Year (2018),No. of Analysts,29.0
11,480,8,2,2018-07-03 02:38:27,Current Year (2018),Avg. Estimate,5.11
12,480,8,2,2018-07-03 02:38:27,Current Year (2018),Low Estimate,4.98
13,480,8,2,2018-07-03 02:38:27,Current Year (2018),High Estimate,5.2
14,480,8,2,2018-07-03 02:38:27,Current Year (2018),Year Ago EPS,4.01
15,480,8,2,2018-07-03 02:38:27,Next Year (2019),No. of Analysts,32.0
16,480,8,2,2018-07-03 02:38:27,Next Year (2019),Avg. Estimate,5.92
17,480,8,2,2018-07-03 02:38:27,Next Year (2019),Low Estimate,5.45
18,480,8,2,2018-07-03 02:38:27,Next Year (2019),High Estimate,6.1
19,480,8,2,2018-07-03 02:38:27,Next Year (2019),Year Ago EPS,5.11
0,480,9,2,2018-07-03 02:38:27,Current Qtr. (Jun 2018),No. of Analysts,21
1,480,9,2,2018-07-03 02:38:27,Current Qtr. (Jun 2018),Avg. Estimate,971.46M
2,480,9,2,2018-07-03 02:38:27,Current Qtr. (Jun 2018),Low Estimate,962.2M
3,480,9,2,2018-07-03 02:38:27,Current Qtr. (Jun 2018),High Estimate,995.42M
4,480,9,2,2018-07-03 02:38:27,Current Qtr. (Jun 2018),Year Ago Sales,847.94M
5,480,9,2,2018-07-03 02:38:27,Current Qtr. (Jun 2018),Sales Growth (year/est),14.60%
6,480,9,2,2018-07-03 02:38:27,Next Qtr. (Sep 2018),No. of Analysts,21
7,480,9,2,2018-07-03 02:38:27,Next Qtr. (Sep 2018),Avg. Estimate,1.04B
