,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,223,8,2,2018-07-03 01:01:49,Current Qtr. (Jul 2018),No. of Analysts,23.0
1,223,8,2,2018-07-03 01:01:49,Current Qtr. (Jul 2018),Avg. Estimate,0.71
2,223,8,2,2018-07-03 01:01:49,Current Qtr. (Jul 2018),Low Estimate,0.66
3,223,8,2,2018-07-03 01:01:49,Current Qtr. (Jul 2018),High Estimate,0.79
4,223,8,2,2018-07-03 01:01:49,Current Qtr. (Jul 2018),Year Ago EPS,0.58
5,223,8,2,2018-07-03 01:01:49,Next Qtr. (Oct 2018),No. of Analysts,23.0
6,223,8,2,2018-07-03 01:01:49,Next Qtr. (Oct 2018),Avg. Estimate,0.73
7,223,8,2,2018-07-03 01:01:49,Next Qtr. (Oct 2018),Low Estimate,0.64
8,223,8,2,2018-07-03 01:01:49,Next Qtr. (Oct 2018),High Estimate,0.81
9,223,8,2,2018-07-03 01:01:49,Next Qtr. (Oct 2018),Year Ago EPS,0.58
10,223,8,2,2018-07-03 01:01:49,Current Year (2019),No. of Analysts,26.0
11,223,8,2,2018-07-03 01:01:49,Current Year (2019),Avg. Estimate,2.57
12,223,8,2,2018-07-03 01:01:49,Current Year (2019),Low Estimate,2.38
13,223,8,2,2018-07-03 01:01:49,Current Year (2019),High Estimate,2.7
14,223,8,2,2018-07-03 01:01:49,Current Year (2019),Year Ago EPS,2.13
15,223,8,2,2018-07-03 01:01:49,Next Year (2020),No. of Analysts,26.0
16,223,8,2,2018-07-03 01:01:49,Next Year (2020),Avg. Estimate,2.7
17,223,8,2,2018-07-03 01:01:49,Next Year (2020),Low Estimate,2.44
18,223,8,2,2018-07-03 01:01:49,Next Year (2020),High Estimate,3.05
19,223,8,2,2018-07-03 01:01:49,Next Year (2020),Year Ago EPS,2.57
0,223,9,2,2018-07-03 01:01:49,Current Qtr. (Jul 2018),No. of Analysts,19
1,223,9,2,2018-07-03 01:01:49,Current Qtr. (Jul 2018),Avg. Estimate,3.99B
2,223,9,2,2018-07-03 01:01:49,Current Qtr. (Jul 2018),Low Estimate,3.8B
3,223,9,2,2018-07-03 01:01:49,Current Qtr. (Jul 2018),High Estimate,4.13B
4,223,9,2,2018-07-03 01:01:49,Current Qtr. (Jul 2018),Year Ago Sales,3.8B
5,223,9,2,2018-07-03 01:01:49,Current Qtr. (Jul 2018),Sales Growth (year/est),5.20%
6,223,9,2,2018-07-03 01:01:49,Next Qtr. (Oct 2018),No. of Analysts,19
7,223,9,2,2018-07-03 01:01:49,Next Qtr. (Oct 2018),Avg. Estimate,4.02B
8,223,9,2,2018-07-03 01:01:49,Next Qtr. (Oct 2018),Low Estimate,3.8B
9,223,9,2,2018-07-03 01:01:49,Next Qtr. (Oct 2018),High Estimate,4.13B
10,223,9,2,2018-07-03 01:01:49,Next Qtr. (Oct 2018),Year Ago Sales,3.84B
11,223,9,2,2018-07-03 01:01:49,Next Qtr. (Oct 2018),Sales Growth (year/est),4.70%
12,223,9,2,2018-07-03 01:01:49,Current Year (2019),No. of Analysts,24
13,223,9,2,2018-07-03 01:01:49,Current Year (2019),Avg. Estimate,16.56B
14,223,9,2,2018-07-03 01:01:49,Current Year (2019),Low Estimate,15.95B
15,223,9,2,2018-07-03 01:01:49,Current Year (2019),High Estimate,16.95B
16,223,9,2,2018-07-03 01:01:49,Current Year (2019),Year Ago Sales,15.86B
17,223,9,2,2018-07-03 01:01:49,Current Year (2019),Sales Growth (year/est),4.40%
