,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,228,8,2,2018-07-03 01:03:40,Current Qtr. (Jun 2018),No. of Analysts,25.0
1,228,8,2,2018-07-03 01:03:40,Current Qtr. (Jun 2018),Avg. Estimate,0.29
2,228,8,2,2018-07-03 01:03:40,Current Qtr. (Jun 2018),Low Estimate,0.27
3,228,8,2,2018-07-03 01:03:40,Current Qtr. (Jun 2018),High Estimate,0.31
4,228,8,2,2018-07-03 01:03:40,Current Qtr. (Jun 2018),Year Ago EPS,0.23
5,228,8,2,2018-07-03 01:03:40,Next Qtr. (Sep 2018),No. of Analysts,25.0
6,228,8,2,2018-07-03 01:03:40,Next Qtr. (Sep 2018),Avg. Estimate,0.32
7,228,8,2,2018-07-03 01:03:40,Next Qtr. (Sep 2018),Low Estimate,0.3
8,228,8,2,2018-07-03 01:03:40,Next Qtr. (Sep 2018),High Estimate,0.33
9,228,8,2,2018-07-03 01:03:40,Next Qtr. (Sep 2018),Year Ago EPS,0.23
10,228,8,2,2018-07-03 01:03:40,Current Year (2018),No. of Analysts,25.0
11,228,8,2,2018-07-03 01:03:40,Current Year (2018),Avg. Estimate,1.21
12,228,8,2,2018-07-03 01:03:40,Current Year (2018),Low Estimate,1.19
13,228,8,2,2018-07-03 01:03:40,Current Year (2018),High Estimate,1.28
14,228,8,2,2018-07-03 01:03:40,Current Year (2018),Year Ago EPS,0.89
15,228,8,2,2018-07-03 01:03:40,Next Year (2019),No. of Analysts,26.0
16,228,8,2,2018-07-03 01:03:40,Next Year (2019),Avg. Estimate,1.34
17,228,8,2,2018-07-03 01:03:40,Next Year (2019),Low Estimate,1.25
18,228,8,2,2018-07-03 01:03:40,Next Year (2019),High Estimate,1.45
19,228,8,2,2018-07-03 01:03:40,Next Year (2019),Year Ago EPS,1.21
0,228,9,2,2018-07-03 01:03:40,Current Qtr. (Jun 2018),No. of Analysts,17
1,228,9,2,2018-07-03 01:03:40,Current Qtr. (Jun 2018),Avg. Estimate,1.14B
2,228,9,2,2018-07-03 01:03:40,Current Qtr. (Jun 2018),Low Estimate,1.12B
3,228,9,2,2018-07-03 01:03:40,Current Qtr. (Jun 2018),High Estimate,1.15B
4,228,9,2,2018-07-03 01:03:40,Current Qtr. (Jun 2018),Year Ago Sales,1.07B
5,228,9,2,2018-07-03 01:03:40,Current Qtr. (Jun 2018),Sales Growth (year/est),6.10%
6,228,9,2,2018-07-03 01:03:40,Next Qtr. (Sep 2018),No. of Analysts,17
7,228,9,2,2018-07-03 01:03:40,Next Qtr. (Sep 2018),Avg. Estimate,1.16B
8,228,9,2,2018-07-03 01:03:40,Next Qtr. (Sep 2018),Low Estimate,1.15B
9,228,9,2,2018-07-03 01:03:40,Next Qtr. (Sep 2018),High Estimate,1.18B
10,228,9,2,2018-07-03 01:03:40,Next Qtr. (Sep 2018),Year Ago Sales,1.09B
