,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,553,8,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),No. of Analysts,15.0
1,553,8,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),Avg. Estimate,0.56
2,553,8,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),Low Estimate,0.54
3,553,8,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),High Estimate,0.57
4,553,8,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),Year Ago EPS,0.57
5,553,8,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),No. of Analysts,15.0
6,553,8,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),Avg. Estimate,0.58
7,553,8,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),Low Estimate,0.55
8,553,8,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),High Estimate,0.61
9,553,8,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),Year Ago EPS,0.52
10,553,8,2,2018-07-03 03:05:31,Current Year (2018),No. of Analysts,17.0
11,553,8,2,2018-07-03 03:05:31,Current Year (2018),Avg. Estimate,2.28
12,553,8,2,2018-07-03 03:05:31,Current Year (2018),Low Estimate,2.25
13,553,8,2,2018-07-03 03:05:31,Current Year (2018),High Estimate,2.3
14,553,8,2,2018-07-03 03:05:31,Current Year (2018),Year Ago EPS,2.07
15,553,8,2,2018-07-03 03:05:31,Next Year (2019),No. of Analysts,17.0
16,553,8,2,2018-07-03 03:05:31,Next Year (2019),Avg. Estimate,2.56
17,553,8,2,2018-07-03 03:05:31,Next Year (2019),Low Estimate,2.47
18,553,8,2,2018-07-03 03:05:31,Next Year (2019),High Estimate,2.68
19,553,8,2,2018-07-03 03:05:31,Next Year (2019),Year Ago EPS,2.28
0,553,9,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),No. of Analysts,13
1,553,9,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),Avg. Estimate,960.81M
2,553,9,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),Low Estimate,950.3M
3,553,9,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),High Estimate,968.71M
4,553,9,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),Year Ago Sales,904.7M
5,553,9,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),Sales Growth (year/est),6.20%
6,553,9,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),No. of Analysts,13
7,553,9,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),Avg. Estimate,996.86M
8,553,9,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),Low Estimate,987.8M
9,553,9,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),High Estimate,1.01B
10,553,9,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),Year Ago Sales,944.7M
11,553,9,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),Sales Growth (year/est),5.50%
12,553,9,2,2018-07-03 03:05:31,Current Year (2018),No. of Analysts,16
13,553,9,2,2018-07-03 03:05:31,Current Year (2018),Avg. Estimate,3.89B
14,553,9,2,2018-07-03 03:05:31,Current Year (2018),Low Estimate,3.86B
15,553,9,2,2018-07-03 03:05:31,Current Year (2018),High Estimate,3.92B
16,553,9,2,2018-07-03 03:05:31,Current Year (2018),Year Ago Sales,3.6B
17,553,9,2,2018-07-03 03:05:31,Current Year (2018),Sales Growth (year/est),8.20%
18,553,9,2,2018-07-03 03:05:31,Next Year (2019),No. of Analysts,16
19,553,9,2,2018-07-03 03:05:31,Next Year (2019),Avg. Estimate,4.12B
20,553,9,2,2018-07-03 03:05:31,Next Year (2019),Low Estimate,4.08B
21,553,9,2,2018-07-03 03:05:31,Next Year (2019),High Estimate,4.16B
22,553,9,2,2018-07-03 03:05:31,Next Year (2019),Year Ago Sales,3.89B
23,553,9,2,2018-07-03 03:05:31,Next Year (2019),Sales Growth (year/est),5.90%
0,553,10,2,2018-07-03 03:05:31,8/30/2017,EPS Est.,0.53
1,553,10,2,2018-07-03 03:05:31,8/30/2017,EPS Actual,0.57
2,553,10,2,2018-07-03 03:05:31,8/30/2017,Difference,0.04
3,553,10,2,2018-07-03 03:05:31,8/30/2017,Surprise %,7.50%
4,553,10,2,2018-07-03 03:05:31,11/29/2017,EPS Est.,0.51
5,553,10,2,2018-07-03 03:05:31,11/29/2017,EPS Actual,0.52
6,553,10,2,2018-07-03 03:05:31,11/29/2017,Difference,0.01
7,553,10,2,2018-07-03 03:05:31,11/29/2017,Surprise %,2.00%
8,553,10,2,2018-07-03 03:05:31,2/27/2018,EPS Est.,0.5
9,553,10,2,2018-07-03 03:05:31,2/27/2018,EPS Actual,0.53
10,553,10,2,2018-07-03 03:05:31,2/27/2018,Difference,0.03
11,553,10,2,2018-07-03 03:05:31,2/27/2018,Surprise %,6.00%
12,553,10,2,2018-07-03 03:05:31,5/30/2018,EPS Est.,0.57
13,553,10,2,2018-07-03 03:05:31,5/30/2018,EPS Actual,0.61
14,553,10,2,2018-07-03 03:05:31,5/30/2018,Difference,0.04
15,553,10,2,2018-07-03 03:05:31,5/30/2018,Surprise %,7.00%
0,553,11,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),Current Estimate,0.56
1,553,11,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),7 Days Ago,0.57
2,553,11,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),30 Days Ago,0.57
3,553,11,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),60 Days Ago,0.57
4,553,11,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),90 Days Ago,0.57
5,553,11,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),Current Estimate,0.58
6,553,11,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),7 Days Ago,0.61
7,553,11,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),30 Days Ago,0.61
8,553,11,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),60 Days Ago,0.61
9,553,11,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),90 Days Ago,0.61
10,553,11,2,2018-07-03 03:05:31,Current Year (2018),Current Estimate,2.28
11,553,11,2,2018-07-03 03:05:31,Current Year (2018),7 Days Ago,2.27
12,553,11,2,2018-07-03 03:05:31,Current Year (2018),30 Days Ago,2.27
13,553,11,2,2018-07-03 03:05:31,Current Year (2018),60 Days Ago,2.27
14,553,11,2,2018-07-03 03:05:31,Current Year (2018),90 Days Ago,2.27
15,553,11,2,2018-07-03 03:05:31,Next Year (2019),Current Estimate,2.56
16,553,11,2,2018-07-03 03:05:31,Next Year (2019),7 Days Ago,2.59
17,553,11,2,2018-07-03 03:05:31,Next Year (2019),30 Days Ago,2.59
18,553,11,2,2018-07-03 03:05:31,Next Year (2019),60 Days Ago,2.59
19,553,11,2,2018-07-03 03:05:31,Next Year (2019),90 Days Ago,2.59
0,553,12,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),Up Last 7 Days,
1,553,12,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),Up Last 30 Days,
2,553,12,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),Down Last 7 Days,
3,553,12,2,2018-07-03 03:05:31,Current Qtr. (Aug 2018),Down Last 30 Days,13.0
4,553,12,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),Up Last 7 Days,
5,553,12,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),Up Last 30 Days,
6,553,12,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),Down Last 7 Days,
7,553,12,2,2018-07-03 03:05:31,Next Qtr. (Nov 2018),Down Last 30 Days,14.0
8,553,12,2,2018-07-03 03:05:31,Current Year (2018),Up Last 7 Days,6.0
9,553,12,2,2018-07-03 03:05:31,Current Year (2018),Up Last 30 Days,6.0
10,553,12,2,2018-07-03 03:05:31,Current Year (2018),Down Last 7 Days,
11,553,12,2,2018-07-03 03:05:31,Current Year (2018),Down Last 30 Days,1.0
12,553,12,2,2018-07-03 03:05:31,Next Year (2019),Up Last 7 Days,4.0
13,553,12,2,2018-07-03 03:05:31,Next Year (2019),Up Last 30 Days,4.0
14,553,12,2,2018-07-03 03:05:31,Next Year (2019),Down Last 7 Days,
15,553,12,2,2018-07-03 03:05:31,Next Year (2019),Down Last 30 Days,8.0
0,553,13,2,2018-07-03 03:05:31,Current Qtr.,INFO,-1.80%
1,553,13,2,2018-07-03 03:05:31,Next Qtr.,INFO,11.50%
2,553,13,2,2018-07-03 03:05:31,Current Year,INFO,10.10%
3,553,13,2,2018-07-03 03:05:31,Next Year,INFO,12.30%
4,553,13,2,2018-07-03 03:05:31,Next 5 Years (per annum),INFO,11.27%
5,553,13,2,2018-07-03 03:05:31,Past 5 Years (per annum),INFO,11.28%
6,553,13,2,2018-07-03 03:05:31,Current Qtr.,Industry,
7,553,13,2,2018-07-03 03:05:31,Next Qtr.,Industry,
8,553,13,2,2018-07-03 03:05:31,Current Year,Industry,
9,553,13,2,2018-07-03 03:05:31,Next Year,Industry,
10,553,13,2,2018-07-03 03:05:31,Next 5 Years (per annum),Industry,
11,553,13,2,2018-07-03 03:05:31,Past 5 Years (per annum),Industry,
12,553,13,2,2018-07-03 03:05:31,Current Qtr.,Sector,
13,553,13,2,2018-07-03 03:05:31,Next Qtr.,Sector,
14,553,13,2,2018-07-03 03:05:31,Current Year,Sector,
15,553,13,2,2018-07-03 03:05:31,Next Year,Sector,
16,553,13,2,2018-07-03 03:05:31,Next 5 Years (per annum),Sector,
17,553,13,2,2018-07-03 03:05:31,Past 5 Years (per annum),Sector,
18,553,13,2,2018-07-03 03:05:31,Current Qtr.,S&P 500,0.42
19,553,13,2,2018-07-03 03:05:31,Next Qtr.,S&P 500,0.47
20,553,13,2,2018-07-03 03:05:31,Current Year,S&P 500,0.22
21,553,13,2,2018-07-03 03:05:31,Next Year,S&P 500,0.1
22,553,13,2,2018-07-03 03:05:31,Next 5 Years (per annum),S&P 500,0.11
23,553,13,2,2018-07-03 03:05:31,Past 5 Years (per annum),S&P 500,
