,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,269,8,2,2018-07-03 01:19:29,Current Qtr. (Jun 2018),No. of Analysts,28.0
1,269,8,2,2018-07-03 01:19:29,Current Qtr. (Jun 2018),Avg. Estimate,0.94
2,269,8,2,2018-07-03 01:19:29,Current Qtr. (Jun 2018),Low Estimate,0.89
3,269,8,2,2018-07-03 01:19:29,Current Qtr. (Jun 2018),High Estimate,1.08
4,269,8,2,2018-07-03 01:19:29,Current Qtr. (Jun 2018),Year Ago EPS,0.8
5,269,8,2,2018-07-03 01:19:29,Next Qtr. (Sep 2018),No. of Analysts,27.0
6,269,8,2,2018-07-03 01:19:29,Next Qtr. (Sep 2018),Avg. Estimate,1.26
7,269,8,2,2018-07-03 01:19:29,Next Qtr. (Sep 2018),Low Estimate,1.08
8,269,8,2,2018-07-03 01:19:29,Next Qtr. (Sep 2018),High Estimate,1.33
9,269,8,2,2018-07-03 01:19:29,Next Qtr. (Sep 2018),Year Ago EPS,1.33
10,269,8,2,2018-07-03 01:19:29,Current Year (2019),No. of Analysts,29.0
11,269,8,2,2018-07-03 01:19:29,Current Year (2019),Avg. Estimate,4.77
12,269,8,2,2018-07-03 01:19:29,Current Year (2019),Low Estimate,4.62
13,269,8,2,2018-07-03 01:19:29,Current Year (2019),High Estimate,5.01
14,269,8,2,2018-07-03 01:19:29,Current Year (2019),Year Ago EPS,4.52
15,269,8,2,2018-07-03 01:19:29,Next Year (2020),No. of Analysts,27.0
16,269,8,2,2018-07-03 01:19:29,Next Year (2020),Avg. Estimate,5.1
17,269,8,2,2018-07-03 01:19:29,Next Year (2020),Low Estimate,4.78
18,269,8,2,2018-07-03 01:19:29,Next Year (2020),High Estimate,5.7
19,269,8,2,2018-07-03 01:19:29,Next Year (2020),Year Ago EPS,4.77
0,269,9,2,2018-07-03 01:19:29,Current Qtr. (Jun 2018),No. of Analysts,23
1,269,9,2,2018-07-03 01:19:29,Current Qtr. (Jun 2018),Avg. Estimate,1.14B
2,269,9,2,2018-07-03 01:19:29,Current Qtr. (Jun 2018),Low Estimate,1.11B
3,269,9,2,2018-07-03 01:19:29,Current Qtr. (Jun 2018),High Estimate,1.15B
4,269,9,2,2018-07-03 01:19:29,Current Qtr. (Jun 2018),Year Ago Sales,952.4M
5,269,9,2,2018-07-03 01:19:29,Current Qtr. (Jun 2018),Sales Growth (year/est),19.30%
6,269,9,2,2018-07-03 01:19:29,Next Qtr. (Sep 2018),No. of Analysts,23
