,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,273,8,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),No. of Analysts,2.0
1,273,8,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),Avg. Estimate,0.8
2,273,8,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),Low Estimate,0.77
3,273,8,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),High Estimate,0.82
4,273,8,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),Year Ago EPS,0.68
5,273,8,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),No. of Analysts,2.0
6,273,8,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),Avg. Estimate,0.97
7,273,8,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),Low Estimate,0.9
8,273,8,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),High Estimate,1.03
9,273,8,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),Year Ago EPS,0.53
10,273,8,2,2018-07-03 01:20:57,Current Year (2018),No. of Analysts,1.0
11,273,8,2,2018-07-03 01:20:57,Current Year (2018),Avg. Estimate,3.5
12,273,8,2,2018-07-03 01:20:57,Current Year (2018),Low Estimate,3.5
13,273,8,2,2018-07-03 01:20:57,Current Year (2018),High Estimate,3.5
14,273,8,2,2018-07-03 01:20:57,Current Year (2018),Year Ago EPS,2.73
15,273,8,2,2018-07-03 01:20:57,Next Year (2019),No. of Analysts,2.0
16,273,8,2,2018-07-03 01:20:57,Next Year (2019),Avg. Estimate,3.85
17,273,8,2,2018-07-03 01:20:57,Next Year (2019),Low Estimate,3.65
18,273,8,2,2018-07-03 01:20:57,Next Year (2019),High Estimate,4.05
19,273,8,2,2018-07-03 01:20:57,Next Year (2019),Year Ago EPS,3.5
0,273,9,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),No. of Analysts,0.0
1,273,9,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),Avg. Estimate,
2,273,9,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),Low Estimate,
3,273,9,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),High Estimate,
4,273,9,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),Year Ago Sales,
5,273,9,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),Sales Growth (year/est),
6,273,9,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),No. of Analysts,0.0
7,273,9,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),Avg. Estimate,
8,273,9,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),Low Estimate,
9,273,9,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),High Estimate,
10,273,9,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),Year Ago Sales,
11,273,9,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),Sales Growth (year/est),
12,273,9,2,2018-07-03 01:20:57,Current Year (2018),No. of Analysts,1
13,273,9,2,2018-07-03 01:20:57,Current Year (2018),Avg. Estimate,13.92B
14,273,9,2,2018-07-03 01:20:57,Current Year (2018),Low Estimate,13.92B
15,273,9,2,2018-07-03 01:20:57,Current Year (2018),High Estimate,13.92B
16,273,9,2,2018-07-03 01:20:57,Current Year (2018),Year Ago Sales,13.73B
17,273,9,2,2018-07-03 01:20:57,Current Year (2018),Sales Growth (year/est),1.40%
18,273,9,2,2018-07-03 01:20:57,Next Year (2019),No. of Analysts,1
19,273,9,2,2018-07-03 01:20:57,Next Year (2019),Avg. Estimate,13.98B
20,273,9,2,2018-07-03 01:20:57,Next Year (2019),Low Estimate,13.98B
21,273,9,2,2018-07-03 01:20:57,Next Year (2019),High Estimate,13.98B
22,273,9,2,2018-07-03 01:20:57,Next Year (2019),Year Ago Sales,13.92B
23,273,9,2,2018-07-03 01:20:57,Next Year (2019),Sales Growth (year/est),0.40%
0,273,10,2,2018-07-03 01:20:57,6/29/2017,EPS Est.,0.76
1,273,10,2,2018-07-03 01:20:57,6/29/2017,EPS Actual,0.68
2,273,10,2,2018-07-03 01:20:57,6/29/2017,Difference,-0.08
3,273,10,2,2018-07-03 01:20:57,6/29/2017,Surprise %,-10.50%
4,273,10,2,2018-07-03 01:20:57,9/29/2017,EPS Est.,0.02
5,273,10,2,2018-07-03 01:20:57,9/29/2017,EPS Actual,0.53
6,273,10,2,2018-07-03 01:20:57,9/29/2017,Difference,0.51
7,273,10,2,2018-07-03 01:20:57,9/29/2017,Surprise %,"2,550.00%"
8,273,10,2,2018-07-03 01:20:57,12/30/2017,EPS Est.,0.71
9,273,10,2,2018-07-03 01:20:57,12/30/2017,EPS Actual,0.81
10,273,10,2,2018-07-03 01:20:57,12/30/2017,Difference,0.1
11,273,10,2,2018-07-03 01:20:57,12/30/2017,Surprise %,14.10%
12,273,10,2,2018-07-03 01:20:57,3/30/2018,EPS Est.,0.78
13,273,10,2,2018-07-03 01:20:57,3/30/2018,EPS Actual,0.8
14,273,10,2,2018-07-03 01:20:57,3/30/2018,Difference,0.02
15,273,10,2,2018-07-03 01:20:57,3/30/2018,Surprise %,2.60%
0,273,11,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),Current Estimate,0.8
1,273,11,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),7 Days Ago,0.8
2,273,11,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),30 Days Ago,0.8
3,273,11,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),60 Days Ago,0.79
4,273,11,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),90 Days Ago,0.8
5,273,11,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),Current Estimate,0.97
6,273,11,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),7 Days Ago,0.97
7,273,11,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),30 Days Ago,0.97
8,273,11,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),60 Days Ago,0.95
9,273,11,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),90 Days Ago,0.93
10,273,11,2,2018-07-03 01:20:57,Current Year (2018),Current Estimate,3.5
11,273,11,2,2018-07-03 01:20:57,Current Year (2018),7 Days Ago,3.5
12,273,11,2,2018-07-03 01:20:57,Current Year (2018),30 Days Ago,3.5
13,273,11,2,2018-07-03 01:20:57,Current Year (2018),60 Days Ago,3.53
14,273,11,2,2018-07-03 01:20:57,Current Year (2018),90 Days Ago,3.43
15,273,11,2,2018-07-03 01:20:57,Next Year (2019),Current Estimate,3.85
16,273,11,2,2018-07-03 01:20:57,Next Year (2019),7 Days Ago,3.85
17,273,11,2,2018-07-03 01:20:57,Next Year (2019),30 Days Ago,3.85
18,273,11,2,2018-07-03 01:20:57,Next Year (2019),60 Days Ago,3.78
19,273,11,2,2018-07-03 01:20:57,Next Year (2019),90 Days Ago,3.67
0,273,12,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),Up Last 7 Days,
1,273,12,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),Up Last 30 Days,
2,273,12,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),Down Last 7 Days,
3,273,12,2,2018-07-03 01:20:57,Current Qtr. (Jun 2018),Down Last 30 Days,
4,273,12,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),Up Last 7 Days,
5,273,12,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),Up Last 30 Days,
6,273,12,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),Down Last 7 Days,
7,273,12,2,2018-07-03 01:20:57,Next Qtr. (Sep 2018),Down Last 30 Days,
8,273,12,2,2018-07-03 01:20:57,Current Year (2018),Up Last 7 Days,
9,273,12,2,2018-07-03 01:20:57,Current Year (2018),Up Last 30 Days,
10,273,12,2,2018-07-03 01:20:57,Current Year (2018),Down Last 7 Days,
11,273,12,2,2018-07-03 01:20:57,Current Year (2018),Down Last 30 Days,
12,273,12,2,2018-07-03 01:20:57,Next Year (2019),Up Last 7 Days,
13,273,12,2,2018-07-03 01:20:57,Next Year (2019),Up Last 30 Days,
14,273,12,2,2018-07-03 01:20:57,Next Year (2019),Down Last 7 Days,
