,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,275,8,2,2018-07-03 01:21:41,Current Qtr. (Jun 2018),No. of Analysts,6.0
1,275,8,2,2018-07-03 01:21:41,Current Qtr. (Jun 2018),Avg. Estimate,0.62
2,275,8,2,2018-07-03 01:21:41,Current Qtr. (Jun 2018),Low Estimate,0.6
3,275,8,2,2018-07-03 01:21:41,Current Qtr. (Jun 2018),High Estimate,0.63
4,275,8,2,2018-07-03 01:21:41,Current Qtr. (Jun 2018),Year Ago EPS,0.64
5,275,8,2,2018-07-03 01:21:41,Next Qtr. (Sep 2018),No. of Analysts,6.0
6,275,8,2,2018-07-03 01:21:41,Next Qtr. (Sep 2018),Avg. Estimate,0.74
7,275,8,2,2018-07-03 01:21:41,Next Qtr. (Sep 2018),Low Estimate,0.73
8,275,8,2,2018-07-03 01:21:41,Next Qtr. (Sep 2018),High Estimate,0.75
9,275,8,2,2018-07-03 01:21:41,Next Qtr. (Sep 2018),Year Ago EPS,0.61
10,275,8,2,2018-07-03 01:21:41,Current Year (2018),No. of Analysts,7.0
11,275,8,2,2018-07-03 01:21:41,Current Year (2018),Avg. Estimate,2.66
12,275,8,2,2018-07-03 01:21:41,Current Year (2018),Low Estimate,2.63
13,275,8,2,2018-07-03 01:21:41,Current Year (2018),High Estimate,2.7
14,275,8,2,2018-07-03 01:21:41,Current Year (2018),Year Ago EPS,2.46
15,275,8,2,2018-07-03 01:21:41,Next Year (2019),No. of Analysts,7.0
16,275,8,2,2018-07-03 01:21:41,Next Year (2019),Avg. Estimate,3.01
17,275,8,2,2018-07-03 01:21:41,Next Year (2019),Low Estimate,2.91
18,275,8,2,2018-07-03 01:21:41,Next Year (2019),High Estimate,3.15
19,275,8,2,2018-07-03 01:21:41,Next Year (2019),Year Ago EPS,2.66
0,275,9,2,2018-07-03 01:21:41,Current Qtr. (Jun 2018),No. of Analysts,6
1,275,9,2,2018-07-03 01:21:41,Current Qtr. (Jun 2018),Avg. Estimate,1.09B
2,275,9,2,2018-07-03 01:21:41,Current Qtr. (Jun 2018),Low Estimate,1.08B
