,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,284,8,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),No. of Analysts,19.0
1,284,8,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),Avg. Estimate,4.94
2,284,8,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),Low Estimate,4.26
3,284,8,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),High Estimate,5.1
4,284,8,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),Year Ago EPS,3.11
5,284,8,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),No. of Analysts,19.0
6,284,8,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),Avg. Estimate,3.99
7,284,8,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),Low Estimate,3.56
8,284,8,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),High Estimate,4.37
9,284,8,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),Year Ago EPS,3.46
10,284,8,2,2018-07-03 01:25:02,Current Year (2018),No. of Analysts,22.0
11,284,8,2,2018-07-03 01:25:02,Current Year (2018),Avg. Estimate,17.46
12,284,8,2,2018-07-03 01:25:02,Current Year (2018),Low Estimate,16.48
13,284,8,2,2018-07-03 01:25:02,Current Year (2018),High Estimate,17.69
14,284,8,2,2018-07-03 01:25:02,Current Year (2018),Year Ago EPS,9.98
15,284,8,2,2018-07-03 01:25:02,Next Year (2019),No. of Analysts,22.0
16,284,8,2,2018-07-03 01:25:02,Next Year (2019),Avg. Estimate,17.2
17,284,8,2,2018-07-03 01:25:02,Next Year (2019),Low Estimate,14.52
18,284,8,2,2018-07-03 01:25:02,Next Year (2019),High Estimate,19.0
19,284,8,2,2018-07-03 01:25:02,Next Year (2019),Year Ago EPS,17.46
0,284,9,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),No. of Analysts,17
1,284,9,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),Avg. Estimate,3.06B
2,284,9,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),Low Estimate,2.75B
3,284,9,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),High Estimate,3.13B
4,284,9,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),Year Ago Sales,2.34B
5,284,9,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),Sales Growth (year/est),30.70%
6,284,9,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),No. of Analysts,17
7,284,9,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),Avg. Estimate,2.82B
8,284,9,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),Low Estimate,2.61B
9,284,9,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),High Estimate,3.13B
10,284,9,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),Year Ago Sales,2.48B
11,284,9,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),Sales Growth (year/est),13.80%
12,284,9,2,2018-07-03 01:25:02,Current Year (2018),No. of Analysts,20
13,284,9,2,2018-07-03 01:25:02,Current Year (2018),Avg. Estimate,11.01B
14,284,9,2,2018-07-03 01:25:02,Current Year (2018),Low Estimate,10.7B
15,284,9,2,2018-07-03 01:25:02,Current Year (2018),High Estimate,11.08B
16,284,9,2,2018-07-03 01:25:02,Current Year (2018),Year Ago Sales,8.01B
17,284,9,2,2018-07-03 01:25:02,Current Year (2018),Sales Growth (year/est),37.40%
18,284,9,2,2018-07-03 01:25:02,Next Year (2019),No. of Analysts,20
19,284,9,2,2018-07-03 01:25:02,Next Year (2019),Avg. Estimate,11.8B
20,284,9,2,2018-07-03 01:25:02,Next Year (2019),Low Estimate,10.76B
21,284,9,2,2018-07-03 01:25:02,Next Year (2019),High Estimate,12.53B
22,284,9,2,2018-07-03 01:25:02,Next Year (2019),Year Ago Sales,11.01B
23,284,9,2,2018-07-03 01:25:02,Next Year (2019),Sales Growth (year/est),7.20%
0,284,10,2,2018-07-03 01:25:02,6/29/2017,EPS Est.,3.03
1,284,10,2,2018-07-03 01:25:02,6/29/2017,EPS Actual,3.11
2,284,10,2,2018-07-03 01:25:02,6/29/2017,Difference,0.08
3,284,10,2,2018-07-03 01:25:02,6/29/2017,Surprise %,2.60%
4,284,10,2,2018-07-03 01:25:02,9/29/2017,EPS Est.,3.28
5,284,10,2,2018-07-03 01:25:02,9/29/2017,EPS Actual,3.46
6,284,10,2,2018-07-03 01:25:02,9/29/2017,Difference,0.18
7,284,10,2,2018-07-03 01:25:02,9/29/2017,Surprise %,5.50%
8,284,10,2,2018-07-03 01:25:02,12/30/2017,EPS Est.,3.68
9,284,10,2,2018-07-03 01:25:02,12/30/2017,EPS Actual,4.34
10,284,10,2,2018-07-03 01:25:02,12/30/2017,Difference,0.66
11,284,10,2,2018-07-03 01:25:02,12/30/2017,Surprise %,17.90%
12,284,10,2,2018-07-03 01:25:02,3/30/2018,EPS Est.,4.38
13,284,10,2,2018-07-03 01:25:02,3/30/2018,EPS Actual,4.79
14,284,10,2,2018-07-03 01:25:02,3/30/2018,Difference,0.41
15,284,10,2,2018-07-03 01:25:02,3/30/2018,Surprise %,9.40%
0,284,11,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),Current Estimate,4.94
1,284,11,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),7 Days Ago,4.99
2,284,11,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),30 Days Ago,5.01
3,284,11,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),60 Days Ago,5.01
4,284,11,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),90 Days Ago,4.63
5,284,11,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),Current Estimate,3.99
6,284,11,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),7 Days Ago,4.1
7,284,11,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),30 Days Ago,4.19
8,284,11,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),60 Days Ago,4.19
9,284,11,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),90 Days Ago,3.93
10,284,11,2,2018-07-03 01:25:02,Current Year (2018),Current Estimate,17.46
11,284,11,2,2018-07-03 01:25:02,Current Year (2018),7 Days Ago,17.5
12,284,11,2,2018-07-03 01:25:02,Current Year (2018),30 Days Ago,17.52
13,284,11,2,2018-07-03 01:25:02,Current Year (2018),60 Days Ago,17.51
14,284,11,2,2018-07-03 01:25:02,Current Year (2018),90 Days Ago,16.71
15,284,11,2,2018-07-03 01:25:02,Next Year (2019),Current Estimate,17.2
16,284,11,2,2018-07-03 01:25:02,Next Year (2019),7 Days Ago,17.35
17,284,11,2,2018-07-03 01:25:02,Next Year (2019),30 Days Ago,17.4
18,284,11,2,2018-07-03 01:25:02,Next Year (2019),60 Days Ago,17.34
19,284,11,2,2018-07-03 01:25:02,Next Year (2019),90 Days Ago,16.43
0,284,12,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),Up Last 7 Days,
1,284,12,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),Up Last 30 Days,
2,284,12,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),Down Last 7 Days,
3,284,12,2,2018-07-03 01:25:02,Current Qtr. (Jun 2018),Down Last 30 Days,2.0
4,284,12,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),Up Last 7 Days,
5,284,12,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),Up Last 30 Days,
6,284,12,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),Down Last 7 Days,
7,284,12,2,2018-07-03 01:25:02,Next Qtr. (Sep 2018),Down Last 30 Days,3.0
8,284,12,2,2018-07-03 01:25:02,Current Year (2018),Up Last 7 Days,
9,284,12,2,2018-07-03 01:25:02,Current Year (2018),Up Last 30 Days,
10,284,12,2,2018-07-03 01:25:02,Current Year (2018),Down Last 7 Days,
11,284,12,2,2018-07-03 01:25:02,Current Year (2018),Down Last 30 Days,2.0
12,284,12,2,2018-07-03 01:25:02,Next Year (2019),Up Last 7 Days,
13,284,12,2,2018-07-03 01:25:02,Next Year (2019),Up Last 30 Days,1.0
14,284,12,2,2018-07-03 01:25:02,Next Year (2019),Down Last 7 Days,
15,284,12,2,2018-07-03 01:25:02,Next Year (2019),Down Last 30 Days,3.0
0,284,13,2,2018-07-03 01:25:02,Current Qtr.,LRCX,58.80%
1,284,13,2,2018-07-03 01:25:02,Next Qtr.,LRCX,15.30%
2,284,13,2,2018-07-03 01:25:02,Current Year,LRCX,74.90%
3,284,13,2,2018-07-03 01:25:02,Next Year,LRCX,-1.50%
4,284,13,2,2018-07-03 01:25:02,Next 5 Years (per annum),LRCX,22.80%
5,284,13,2,2018-07-03 01:25:02,Past 5 Years (per annum),LRCX,43.24%
6,284,13,2,2018-07-03 01:25:02,Current Qtr.,Industry,
7,284,13,2,2018-07-03 01:25:02,Next Qtr.,Industry,
8,284,13,2,2018-07-03 01:25:02,Current Year,Industry,
9,284,13,2,2018-07-03 01:25:02,Next Year,Industry,
10,284,13,2,2018-07-03 01:25:02,Next 5 Years (per annum),Industry,
11,284,13,2,2018-07-03 01:25:02,Past 5 Years (per annum),Industry,
12,284,13,2,2018-07-03 01:25:02,Current Qtr.,Sector,
13,284,13,2,2018-07-03 01:25:02,Next Qtr.,Sector,
14,284,13,2,2018-07-03 01:25:02,Current Year,Sector,
15,284,13,2,2018-07-03 01:25:02,Next Year,Sector,
16,284,13,2,2018-07-03 01:25:02,Next 5 Years (per annum),Sector,
17,284,13,2,2018-07-03 01:25:02,Past 5 Years (per annum),Sector,
18,284,13,2,2018-07-03 01:25:02,Current Qtr.,S&P 500,0.42
19,284,13,2,2018-07-03 01:25:02,Next Qtr.,S&P 500,0.47
20,284,13,2,2018-07-03 01:25:02,Current Year,S&P 500,0.22
21,284,13,2,2018-07-03 01:25:02,Next Year,S&P 500,0.1
22,284,13,2,2018-07-03 01:25:02,Next 5 Years (per annum),S&P 500,0.11
23,284,13,2,2018-07-03 01:25:02,Past 5 Years (per annum),S&P 500,
