,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,280,8,2,2018-07-03 01:23:33,Current Qtr. (Jul 2018),No. of Analysts,15.0
1,280,8,2,2018-07-03 01:23:33,Current Qtr. (Jul 2018),Avg. Estimate,0.5
2,280,8,2,2018-07-03 01:23:33,Current Qtr. (Jul 2018),Low Estimate,0.45
3,280,8,2,2018-07-03 01:23:33,Current Qtr. (Jul 2018),High Estimate,0.55
4,280,8,2,2018-07-03 01:23:33,Current Qtr. (Jul 2018),Year Ago EPS,0.48
5,280,8,2,2018-07-03 01:23:33,Next Qtr. (Oct 2018),No. of Analysts,15.0
6,280,8,2,2018-07-03 01:23:33,Next Qtr. (Oct 2018),Avg. Estimate,0.18
7,280,8,2,2018-07-03 01:23:33,Next Qtr. (Oct 2018),Low Estimate,0.11
8,280,8,2,2018-07-03 01:23:33,Next Qtr. (Oct 2018),High Estimate,0.29
9,280,8,2,2018-07-03 01:23:33,Next Qtr. (Oct 2018),Year Ago EPS,0.23
10,280,8,2,2018-07-03 01:23:33,Current Year (2019),No. of Analysts,16.0
11,280,8,2,2018-07-03 01:23:33,Current Year (2019),Avg. Estimate,3.86
12,280,8,2,2018-07-03 01:23:33,Current Year (2019),Low Estimate,3.67
13,280,8,2,2018-07-03 01:23:33,Current Year (2019),High Estimate,3.97
14,280,8,2,2018-07-03 01:23:33,Current Year (2019),Year Ago EPS,3.77
15,280,8,2,2018-07-03 01:23:33,Next Year (2020),No. of Analysts,18.0
16,280,8,2,2018-07-03 01:23:33,Next Year (2020),Avg. Estimate,3.49
17,280,8,2,2018-07-03 01:23:33,Next Year (2020),Low Estimate,2.55
18,280,8,2,2018-07-03 01:23:33,Next Year (2020),High Estimate,4.15
19,280,8,2,2018-07-03 01:23:33,Next Year (2020),Year Ago EPS,3.86
0,280,9,2,2018-07-03 01:23:33,Current Qtr. (Jul 2018),No. of Analysts,9
1,280,9,2,2018-07-03 01:23:33,Current Qtr. (Jul 2018),Avg. Estimate,5.55B
2,280,9,2,2018-07-03 01:23:33,Current Qtr. (Jul 2018),Low Estimate,5.51B
3,280,9,2,2018-07-03 01:23:33,Current Qtr. (Jul 2018),High Estimate,5.59B
4,280,9,2,2018-07-03 01:23:33,Current Qtr. (Jul 2018),Year Ago Sales,5.55B
5,280,9,2,2018-07-03 01:23:33,Current Qtr. (Jul 2018),Sales Growth (year/est),-0.00%
6,280,9,2,2018-07-03 01:23:33,Next Qtr. (Oct 2018),No. of Analysts,9
7,280,9,2,2018-07-03 01:23:33,Next Qtr. (Oct 2018),Avg. Estimate,5.35B
8,280,9,2,2018-07-03 01:23:33,Next Qtr. (Oct 2018),Low Estimate,5.28B
9,280,9,2,2018-07-03 01:23:33,Next Qtr. (Oct 2018),High Estimate,5.44B
10,280,9,2,2018-07-03 01:23:33,Next Qtr. (Oct 2018),Year Ago Sales,5.28B
11,280,9,2,2018-07-03 01:23:33,Next Qtr. (Oct 2018),Sales Growth (year/est),1.30%
12,280,9,2,2018-07-03 01:23:33,Current Year (2019),No. of Analysts,11
13,280,9,2,2018-07-03 01:23:33,Current Year (2019),Avg. Estimate,24.97B
14,280,9,2,2018-07-03 01:23:33,Current Year (2019),Low Estimate,24.75B
15,280,9,2,2018-07-03 01:23:33,Current Year (2019),High Estimate,25.35B
16,280,9,2,2018-07-03 01:23:33,Current Year (2019),Year Ago Sales,24.84B
17,280,9,2,2018-07-03 01:23:33,Current Year (2019),Sales Growth (year/est),0.50%
18,280,9,2,2018-07-03 01:23:33,Next Year (2020),No. of Analysts,11
19,280,9,2,2018-07-03 01:23:33,Next Year (2020),Avg. Estimate,24.97B
20,280,9,2,2018-07-03 01:23:33,Next Year (2020),Low Estimate,24.41B
21,280,9,2,2018-07-03 01:23:33,Next Year (2020),High Estimate,25.35B
22,280,9,2,2018-07-03 01:23:33,Next Year (2020),Year Ago Sales,24.97B
23,280,9,2,2018-07-03 01:23:33,Next Year (2020),Sales Growth (year/est),0.00%
0,280,10,2,2018-07-03 01:23:34,7/30/2017,EPS Est.,0.46
1,280,10,2,2018-07-03 01:23:34,7/30/2017,EPS Actual,0.48
2,280,10,2,2018-07-03 01:23:34,7/30/2017,Difference,0.02
3,280,10,2,2018-07-03 01:23:34,7/30/2017,Surprise %,4.30%
4,280,10,2,2018-07-03 01:23:34,10/30/2017,EPS Est.,0.19
5,280,10,2,2018-07-03 01:23:34,10/30/2017,EPS Actual,0.23
6,280,10,2,2018-07-03 01:23:34,10/30/2017,Difference,0.04
7,280,10,2,2018-07-03 01:23:34,10/30/2017,Surprise %,21.10%
8,280,10,2,2018-07-03 01:23:34,1/30/2018,EPS Est.,2.71
9,280,10,2,2018-07-03 01:23:34,1/30/2018,EPS Actual,2.82
10,280,10,2,2018-07-03 01:23:34,1/30/2018,Difference,0.11
11,280,10,2,2018-07-03 01:23:34,1/30/2018,Surprise %,4.10%
12,280,10,2,2018-07-03 01:23:34,4/29/2018,EPS Est.,0.37
13,280,10,2,2018-07-03 01:23:34,4/29/2018,EPS Actual,0.48
14,280,10,2,2018-07-03 01:23:34,4/29/2018,Difference,0.11
15,280,10,2,2018-07-03 01:23:34,4/29/2018,Surprise %,29.70%
0,280,11,2,2018-07-03 01:23:34,Current Qtr. (Jul 2018),Current Estimate,0.5
1,280,11,2,2018-07-03 01:23:34,Current Qtr. (Jul 2018),7 Days Ago,0.5
2,280,11,2,2018-07-03 01:23:34,Current Qtr. (Jul 2018),30 Days Ago,0.49
3,280,11,2,2018-07-03 01:23:34,Current Qtr. (Jul 2018),60 Days Ago,0.52
4,280,11,2,2018-07-03 01:23:34,Current Qtr. (Jul 2018),90 Days Ago,0.52
5,280,11,2,2018-07-03 01:23:34,Next Qtr. (Oct 2018),Current Estimate,0.18
6,280,11,2,2018-07-03 01:23:34,Next Qtr. (Oct 2018),7 Days Ago,0.18
7,280,11,2,2018-07-03 01:23:34,Next Qtr. (Oct 2018),30 Days Ago,0.17
8,280,11,2,2018-07-03 01:23:34,Next Qtr. (Oct 2018),60 Days Ago,0.19
9,280,11,2,2018-07-03 01:23:34,Next Qtr. (Oct 2018),90 Days Ago,0.21
10,280,11,2,2018-07-03 01:23:34,Current Year (2019),Current Estimate,3.86
11,280,11,2,2018-07-03 01:23:34,Current Year (2019),7 Days Ago,3.85
12,280,11,2,2018-07-03 01:23:34,Current Year (2019),30 Days Ago,3.81
13,280,11,2,2018-07-03 01:23:34,Current Year (2019),60 Days Ago,3.7
14,280,11,2,2018-07-03 01:23:34,Current Year (2019),90 Days Ago,3.61
15,280,11,2,2018-07-03 01:23:34,Next Year (2020),Current Estimate,3.49
16,280,11,2,2018-07-03 01:23:34,Next Year (2020),7 Days Ago,3.49
17,280,11,2,2018-07-03 01:23:34,Next Year (2020),30 Days Ago,3.47
18,280,11,2,2018-07-03 01:23:34,Next Year (2020),60 Days Ago,3.24
19,280,11,2,2018-07-03 01:23:34,Next Year (2020),90 Days Ago,3.22
0,280,12,2,2018-07-03 01:23:34,Current Qtr. (Jul 2018),Up Last 7 Days,
1,280,12,2,2018-07-03 01:23:34,Current Qtr. (Jul 2018),Up Last 30 Days,2.0
2,280,12,2,2018-07-03 01:23:34,Current Qtr. (Jul 2018),Down Last 7 Days,
3,280,12,2,2018-07-03 01:23:34,Current Qtr. (Jul 2018),Down Last 30 Days,
4,280,12,2,2018-07-03 01:23:34,Next Qtr. (Oct 2018),Up Last 7 Days,
5,280,12,2,2018-07-03 01:23:34,Next Qtr. (Oct 2018),Up Last 30 Days,2.0
6,280,12,2,2018-07-03 01:23:34,Next Qtr. (Oct 2018),Down Last 7 Days,
7,280,12,2,2018-07-03 01:23:34,Next Qtr. (Oct 2018),Down Last 30 Days,
8,280,12,2,2018-07-03 01:23:34,Current Year (2019),Up Last 7 Days,1.0
9,280,12,2,2018-07-03 01:23:34,Current Year (2019),Up Last 30 Days,6.0
10,280,12,2,2018-07-03 01:23:34,Current Year (2019),Down Last 7 Days,
11,280,12,2,2018-07-03 01:23:34,Current Year (2019),Down Last 30 Days,
