,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,281,8,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),No. of Analysts,30.0
1,281,8,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),Avg. Estimate,1.54
2,281,8,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),Low Estimate,1.36
3,281,8,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),High Estimate,1.63
4,281,8,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),Year Ago EPS,1.1
5,281,8,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),No. of Analysts,30.0
6,281,8,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),Avg. Estimate,1.7
7,281,8,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),Low Estimate,1.51
8,281,8,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),High Estimate,1.79
9,281,8,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),Year Ago EPS,1.34
10,281,8,2,2018-07-03 01:23:56,Current Year (2018),No. of Analysts,31.0
11,281,8,2,2018-07-03 01:23:56,Current Year (2018),Avg. Estimate,6.35
12,281,8,2,2018-07-03 01:23:56,Current Year (2018),Low Estimate,5.92
13,281,8,2,2018-07-03 01:23:56,Current Year (2018),High Estimate,6.6
14,281,8,2,2018-07-03 01:23:56,Current Year (2018),Year Ago EPS,4.58
15,281,8,2,2018-07-03 01:23:56,Next Year (2019),No. of Analysts,35.0
16,281,8,2,2018-07-03 01:23:56,Next Year (2019),Avg. Estimate,7.39
17,281,8,2,2018-07-03 01:23:56,Next Year (2019),Low Estimate,6.58
18,281,8,2,2018-07-03 01:23:56,Next Year (2019),High Estimate,7.88
19,281,8,2,2018-07-03 01:23:56,Next Year (2019),Year Ago EPS,6.35
0,281,9,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),No. of Analysts,27
1,281,9,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),Avg. Estimate,3.65B
2,281,9,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),Low Estimate,3.43B
3,281,9,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),High Estimate,3.78B
4,281,9,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),Year Ago Sales,3.05B
5,281,9,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),Sales Growth (year/est),19.70%
6,281,9,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),No. of Analysts,27
7,281,9,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),Avg. Estimate,3.87B
8,281,9,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),Low Estimate,3.73B
9,281,9,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),High Estimate,3.99B
10,281,9,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),Year Ago Sales,3.4B
11,281,9,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),Sales Growth (year/est),14.00%
12,281,9,2,2018-07-03 01:23:56,Current Year (2018),No. of Analysts,31
13,281,9,2,2018-07-03 01:23:56,Current Year (2018),Avg. Estimate,15.01B
14,281,9,2,2018-07-03 01:23:56,Current Year (2018),Low Estimate,14.44B
15,281,9,2,2018-07-03 01:23:56,Current Year (2018),High Estimate,15.35B
16,281,9,2,2018-07-03 01:23:56,Current Year (2018),Year Ago Sales,12.5B
17,281,9,2,2018-07-03 01:23:56,Current Year (2018),Sales Growth (year/est),20.10%
18,281,9,2,2018-07-03 01:23:56,Next Year (2019),No. of Analysts,34
19,281,9,2,2018-07-03 01:23:56,Next Year (2019),Avg. Estimate,16.85B
20,281,9,2,2018-07-03 01:23:56,Next Year (2019),Low Estimate,15.94B
21,281,9,2,2018-07-03 01:23:56,Next Year (2019),High Estimate,18.04B
22,281,9,2,2018-07-03 01:23:56,Next Year (2019),Year Ago Sales,15.01B
23,281,9,2,2018-07-03 01:23:56,Next Year (2019),Sales Growth (year/est),12.20%
0,281,10,2,2018-07-03 01:23:56,6/29/2017,EPS Est.,1.04
1,281,10,2,2018-07-03 01:23:56,6/29/2017,EPS Actual,1.1
2,281,10,2,2018-07-03 01:23:56,6/29/2017,Difference,0.06
3,281,10,2,2018-07-03 01:23:56,6/29/2017,Surprise %,5.80%
4,281,10,2,2018-07-03 01:23:56,9/29/2017,EPS Est.,1.23
5,281,10,2,2018-07-03 01:23:56,9/29/2017,EPS Actual,1.34
6,281,10,2,2018-07-03 01:23:56,9/29/2017,Difference,0.11
7,281,10,2,2018-07-03 01:23:56,9/29/2017,Surprise %,8.90%
8,281,10,2,2018-07-03 01:23:56,12/30/2017,EPS Est.,1.12
9,281,10,2,2018-07-03 01:23:56,12/30/2017,EPS Actual,1.14
10,281,10,2,2018-07-03 01:23:56,12/30/2017,Difference,0.02
11,281,10,2,2018-07-03 01:23:56,12/30/2017,Surprise %,1.80%
12,281,10,2,2018-07-03 01:23:56,3/30/2018,EPS Est.,1.25
13,281,10,2,2018-07-03 01:23:56,3/30/2018,EPS Actual,1.5
14,281,10,2,2018-07-03 01:23:56,3/30/2018,Difference,0.25
15,281,10,2,2018-07-03 01:23:56,3/30/2018,Surprise %,20.00%
0,281,11,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),Current Estimate,1.54
1,281,11,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),7 Days Ago,1.53
2,281,11,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),30 Days Ago,1.54
3,281,11,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),60 Days Ago,1.52
4,281,11,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),90 Days Ago,1.5
5,281,11,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),Current Estimate,1.7
6,281,11,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),7 Days Ago,1.7
7,281,11,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),30 Days Ago,1.71
8,281,11,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),60 Days Ago,1.71
9,281,11,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),90 Days Ago,1.71
10,281,11,2,2018-07-03 01:23:56,Current Year (2018),Current Estimate,6.35
11,281,11,2,2018-07-03 01:23:56,Current Year (2018),7 Days Ago,6.35
12,281,11,2,2018-07-03 01:23:56,Current Year (2018),30 Days Ago,6.35
13,281,11,2,2018-07-03 01:23:56,Current Year (2018),60 Days Ago,6.21
14,281,11,2,2018-07-03 01:23:56,Current Year (2018),90 Days Ago,6.01
15,281,11,2,2018-07-03 01:23:56,Next Year (2019),Current Estimate,7.39
16,281,11,2,2018-07-03 01:23:56,Next Year (2019),7 Days Ago,7.39
17,281,11,2,2018-07-03 01:23:56,Next Year (2019),30 Days Ago,7.39
18,281,11,2,2018-07-03 01:23:56,Next Year (2019),60 Days Ago,7.26
19,281,11,2,2018-07-03 01:23:56,Next Year (2019),90 Days Ago,7.06
0,281,12,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),Up Last 7 Days,1.0
1,281,12,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),Up Last 30 Days,1.0
2,281,12,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),Down Last 7 Days,
3,281,12,2,2018-07-03 01:23:56,Current Qtr. (Jun 2018),Down Last 30 Days,2.0
4,281,12,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),Up Last 7 Days,
5,281,12,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),Up Last 30 Days,
6,281,12,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),Down Last 7 Days,
7,281,12,2,2018-07-03 01:23:56,Next Qtr. (Sep 2018),Down Last 30 Days,3.0
8,281,12,2,2018-07-03 01:23:56,Current Year (2018),Up Last 7 Days,1.0
9,281,12,2,2018-07-03 01:23:56,Current Year (2018),Up Last 30 Days,3.0
10,281,12,2,2018-07-03 01:23:56,Current Year (2018),Down Last 7 Days,
11,281,12,2,2018-07-03 01:23:56,Current Year (2018),Down Last 30 Days,3.0
12,281,12,2,2018-07-03 01:23:56,Next Year (2019),Up Last 7 Days,
13,281,12,2,2018-07-03 01:23:56,Next Year (2019),Up Last 30 Days,1.0
14,281,12,2,2018-07-03 01:23:56,Next Year (2019),Down Last 7 Days,
15,281,12,2,2018-07-03 01:23:56,Next Year (2019),Down Last 30 Days,3.0
0,281,13,2,2018-07-03 01:23:56,Current Qtr.,MA,40.00%
1,281,13,2,2018-07-03 01:23:56,Next Qtr.,MA,26.90%
2,281,13,2,2018-07-03 01:23:56,Current Year,MA,38.60%
3,281,13,2,2018-07-03 01:23:56,Next Year,MA,16.40%
4,281,13,2,2018-07-03 01:23:56,Next 5 Years (per annum),MA,21.48%
5,281,13,2,2018-07-03 01:23:56,Past 5 Years (per annum),MA,14.88%
6,281,13,2,2018-07-03 01:23:56,Current Qtr.,Industry,
7,281,13,2,2018-07-03 01:23:56,Next Qtr.,Industry,
8,281,13,2,2018-07-03 01:23:56,Current Year,Industry,
9,281,13,2,2018-07-03 01:23:56,Next Year,Industry,
10,281,13,2,2018-07-03 01:23:56,Next 5 Years (per annum),Industry,
11,281,13,2,2018-07-03 01:23:56,Past 5 Years (per annum),Industry,
12,281,13,2,2018-07-03 01:23:56,Current Qtr.,Sector,
13,281,13,2,2018-07-03 01:23:56,Next Qtr.,Sector,
14,281,13,2,2018-07-03 01:23:56,Current Year,Sector,
15,281,13,2,2018-07-03 01:23:56,Next Year,Sector,
16,281,13,2,2018-07-03 01:23:56,Next 5 Years (per annum),Sector,
17,281,13,2,2018-07-03 01:23:56,Past 5 Years (per annum),Sector,
18,281,13,2,2018-07-03 01:23:56,Current Qtr.,S&P 500,0.42
19,281,13,2,2018-07-03 01:23:56,Next Qtr.,S&P 500,0.47
20,281,13,2,2018-07-03 01:23:56,Current Year,S&P 500,0.22
21,281,13,2,2018-07-03 01:23:56,Next Year,S&P 500,0.1
22,281,13,2,2018-07-03 01:23:56,Next 5 Years (per annum),S&P 500,0.11
23,281,13,2,2018-07-03 01:23:56,Past 5 Years (per annum),S&P 500,
