,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,285,8,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),No. of Analysts,20.0
1,285,8,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),Avg. Estimate,0.77
2,285,8,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),Low Estimate,0.71
3,285,8,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),High Estimate,0.82
4,285,8,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),Year Ago EPS,0.6
5,285,8,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),No. of Analysts,20.0
6,285,8,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),Avg. Estimate,0.71
7,285,8,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),Low Estimate,0.67
8,285,8,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),High Estimate,0.74
9,285,8,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),Year Ago EPS,0.5
10,285,8,2,2018-07-03 01:25:27,Current Year (2018),No. of Analysts,24.0
11,285,8,2,2018-07-03 01:25:27,Current Year (2018),Avg. Estimate,2.52
12,285,8,2,2018-07-03 01:25:27,Current Year (2018),Low Estimate,2.49
13,285,8,2,2018-07-03 01:25:27,Current Year (2018),High Estimate,2.6
14,285,8,2,2018-07-03 01:25:27,Current Year (2018),Year Ago EPS,1.94
15,285,8,2,2018-07-03 01:25:27,Next Year (2019),No. of Analysts,24.0
16,285,8,2,2018-07-03 01:25:27,Next Year (2019),Avg. Estimate,2.89
17,285,8,2,2018-07-03 01:25:27,Next Year (2019),Low Estimate,2.77
18,285,8,2,2018-07-03 01:25:27,Next Year (2019),High Estimate,3.05
19,285,8,2,2018-07-03 01:25:27,Next Year (2019),Year Ago EPS,2.52
0,285,9,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),No. of Analysts,18
1,285,9,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),Avg. Estimate,2.3B
2,285,9,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),Low Estimate,2.25B
3,285,9,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),High Estimate,2.35B
4,285,9,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),Year Ago Sales,2.06B
5,285,9,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),Sales Growth (year/est),11.60%
6,285,9,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),No. of Analysts,18
7,285,9,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),Avg. Estimate,2.18B
8,285,9,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),Low Estimate,2.14B
9,285,9,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),High Estimate,2.21B
10,285,9,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),Year Ago Sales,1.94B
11,285,9,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),Sales Growth (year/est),12.70%
12,285,9,2,2018-07-03 01:25:27,Current Year (2018),No. of Analysts,19
13,285,9,2,2018-07-03 01:25:27,Current Year (2018),Avg. Estimate,8.47B
14,285,9,2,2018-07-03 01:25:27,Current Year (2018),Low Estimate,8.4B
15,285,9,2,2018-07-03 01:25:27,Current Year (2018),High Estimate,8.53B
16,285,9,2,2018-07-03 01:25:27,Current Year (2018),Year Ago Sales,7.64B
17,285,9,2,2018-07-03 01:25:27,Current Year (2018),Sales Growth (year/est),10.90%
18,285,9,2,2018-07-03 01:25:27,Next Year (2019),No. of Analysts,20
19,285,9,2,2018-07-03 01:25:27,Next Year (2019),Avg. Estimate,9B
20,285,9,2,2018-07-03 01:25:27,Next Year (2019),Low Estimate,8.88B
21,285,9,2,2018-07-03 01:25:27,Next Year (2019),High Estimate,9.12B
22,285,9,2,2018-07-03 01:25:27,Next Year (2019),Year Ago Sales,8.47B
23,285,9,2,2018-07-03 01:25:27,Next Year (2019),Sales Growth (year/est),6.20%
0,285,10,2,2018-07-03 01:25:27,6/29/2017,EPS Est.,0.6
1,285,10,2,2018-07-03 01:25:27,6/29/2017,EPS Actual,0.6
2,285,10,2,2018-07-03 01:25:27,6/29/2017,Difference,0
3,285,10,2,2018-07-03 01:25:27,6/29/2017,Surprise %,0.00%
4,285,10,2,2018-07-03 01:25:27,9/29/2017,EPS Est.,0.52
5,285,10,2,2018-07-03 01:25:27,9/29/2017,EPS Actual,0.5
6,285,10,2,2018-07-03 01:25:27,9/29/2017,Difference,-0.02
7,285,10,2,2018-07-03 01:25:27,9/29/2017,Surprise %,-3.80%
8,285,10,2,2018-07-03 01:25:27,12/30/2017,EPS Est.,0.44
9,285,10,2,2018-07-03 01:25:27,12/30/2017,EPS Actual,0.44
10,285,10,2,2018-07-03 01:25:27,12/30/2017,Difference,0
11,285,10,2,2018-07-03 01:25:27,12/30/2017,Surprise %,0.00%
12,285,10,2,2018-07-03 01:25:27,3/30/2018,EPS Est.,0.49
13,285,10,2,2018-07-03 01:25:27,3/30/2018,EPS Actual,0.45
14,285,10,2,2018-07-03 01:25:27,3/30/2018,Difference,-0.04
15,285,10,2,2018-07-03 01:25:27,3/30/2018,Surprise %,-8.20%
0,285,11,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),Current Estimate,0.77
1,285,11,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),7 Days Ago,0.77
2,285,11,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),30 Days Ago,0.77
3,285,11,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),60 Days Ago,0.77
4,285,11,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),90 Days Ago,0.79
5,285,11,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),Current Estimate,0.71
6,285,11,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),7 Days Ago,0.71
7,285,11,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),30 Days Ago,0.71
8,285,11,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),60 Days Ago,0.71
9,285,11,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),90 Days Ago,0.69
10,285,11,2,2018-07-03 01:25:27,Current Year (2018),Current Estimate,2.52
11,285,11,2,2018-07-03 01:25:27,Current Year (2018),7 Days Ago,2.53
12,285,11,2,2018-07-03 01:25:27,Current Year (2018),30 Days Ago,2.52
13,285,11,2,2018-07-03 01:25:27,Current Year (2018),60 Days Ago,2.53
14,285,11,2,2018-07-03 01:25:27,Current Year (2018),90 Days Ago,2.57
15,285,11,2,2018-07-03 01:25:27,Next Year (2019),Current Estimate,2.89
16,285,11,2,2018-07-03 01:25:27,Next Year (2019),7 Days Ago,2.9
17,285,11,2,2018-07-03 01:25:27,Next Year (2019),30 Days Ago,2.89
18,285,11,2,2018-07-03 01:25:27,Next Year (2019),60 Days Ago,2.9
19,285,11,2,2018-07-03 01:25:27,Next Year (2019),90 Days Ago,2.93
0,285,12,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),Up Last 7 Days,
1,285,12,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),Up Last 30 Days,
2,285,12,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),Down Last 7 Days,
3,285,12,2,2018-07-03 01:25:27,Current Qtr. (Jun 2018),Down Last 30 Days,
4,285,12,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),Up Last 7 Days,
5,285,12,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),Up Last 30 Days,1.0
6,285,12,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),Down Last 7 Days,
7,285,12,2,2018-07-03 01:25:27,Next Qtr. (Sep 2018),Down Last 30 Days,
8,285,12,2,2018-07-03 01:25:27,Current Year (2018),Up Last 7 Days,
9,285,12,2,2018-07-03 01:25:27,Current Year (2018),Up Last 30 Days,1.0
10,285,12,2,2018-07-03 01:25:27,Current Year (2018),Down Last 7 Days,
11,285,12,2,2018-07-03 01:25:27,Current Year (2018),Down Last 30 Days,1.0
12,285,12,2,2018-07-03 01:25:27,Next Year (2019),Up Last 7 Days,
13,285,12,2,2018-07-03 01:25:27,Next Year (2019),Up Last 30 Days,1.0
14,285,12,2,2018-07-03 01:25:27,Next Year (2019),Down Last 7 Days,
15,285,12,2,2018-07-03 01:25:27,Next Year (2019),Down Last 30 Days,1.0
0,285,13,2,2018-07-03 01:25:27,Current Qtr.,MAS,28.30%
1,285,13,2,2018-07-03 01:25:27,Next Qtr.,MAS,42.00%
2,285,13,2,2018-07-03 01:25:27,Current Year,MAS,29.90%
3,285,13,2,2018-07-03 01:25:27,Next Year,MAS,14.70%
4,285,13,2,2018-07-03 01:25:27,Next 5 Years (per annum),MAS,19.09%
5,285,13,2,2018-07-03 01:25:27,Past 5 Years (per annum),MAS,24.91%
6,285,13,2,2018-07-03 01:25:27,Current Qtr.,Industry,
7,285,13,2,2018-07-03 01:25:27,Next Qtr.,Industry,
8,285,13,2,2018-07-03 01:25:27,Current Year,Industry,
9,285,13,2,2018-07-03 01:25:27,Next Year,Industry,
10,285,13,2,2018-07-03 01:25:27,Next 5 Years (per annum),Industry,
11,285,13,2,2018-07-03 01:25:27,Past 5 Years (per annum),Industry,
12,285,13,2,2018-07-03 01:25:27,Current Qtr.,Sector,
13,285,13,2,2018-07-03 01:25:27,Next Qtr.,Sector,
