,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,290,8,2,2018-07-03 01:27:22,Current Qtr. (Jun 2018),No. of Analysts,13.0
1,290,8,2,2018-07-03 01:27:22,Current Qtr. (Jun 2018),Avg. Estimate,1.89
2,290,8,2,2018-07-03 01:27:22,Current Qtr. (Jun 2018),Low Estimate,1.82
3,290,8,2,2018-07-03 01:27:22,Current Qtr. (Jun 2018),High Estimate,1.96
4,290,8,2,2018-07-03 01:27:22,Current Qtr. (Jun 2018),Year Ago EPS,1.54
5,290,8,2,2018-07-03 01:27:22,Next Qtr. (Sep 2018),No. of Analysts,13.0
6,290,8,2,2018-07-03 01:27:22,Next Qtr. (Sep 2018),Avg. Estimate,1.88
7,290,8,2,2018-07-03 01:27:22,Next Qtr. (Sep 2018),Low Estimate,1.77
8,290,8,2,2018-07-03 01:27:22,Next Qtr. (Sep 2018),High Estimate,1.95
9,290,8,2,2018-07-03 01:27:22,Next Qtr. (Sep 2018),Year Ago EPS,1.52
10,290,8,2,2018-07-03 01:27:22,Current Year (2018),No. of Analysts,14.0
11,290,8,2,2018-07-03 01:27:22,Current Year (2018),Avg. Estimate,7.77
12,290,8,2,2018-07-03 01:27:22,Current Year (2018),Low Estimate,7.68
13,290,8,2,2018-07-03 01:27:22,Current Year (2018),High Estimate,7.86
14,290,8,2,2018-07-03 01:27:22,Current Year (2018),Year Ago EPS,6.07
15,290,8,2,2018-07-03 01:27:22,Next Year (2019),No. of Analysts,14.0
16,290,8,2,2018-07-03 01:27:22,Next Year (2019),Avg. Estimate,8.61
17,290,8,2,2018-07-03 01:27:22,Next Year (2019),Low Estimate,8.34
18,290,8,2,2018-07-03 01:27:22,Next Year (2019),High Estimate,8.92
19,290,8,2,2018-07-03 01:27:22,Next Year (2019),Year Ago EPS,7.77
0,290,9,2,2018-07-03 01:27:22,Current Qtr. (Jun 2018),No. of Analysts,10
1,290,9,2,2018-07-03 01:27:22,Current Qtr. (Jun 2018),Avg. Estimate,1.15B
2,290,9,2,2018-07-03 01:27:22,Current Qtr. (Jun 2018),Low Estimate,1.13B
3,290,9,2,2018-07-03 01:27:22,Current Qtr. (Jun 2018),High Estimate,1.17B
4,290,9,2,2018-07-03 01:27:22,Current Qtr. (Jun 2018),Year Ago Sales,1B
5,290,9,2,2018-07-03 01:27:22,Current Qtr. (Jun 2018),Sales Growth (year/est),14.80%
6,290,9,2,2018-07-03 01:27:22,Next Qtr. (Sep 2018),No. of Analysts,10
7,290,9,2,2018-07-03 01:27:22,Next Qtr. (Sep 2018),Avg. Estimate,1.17B
8,290,9,2,2018-07-03 01:27:22,Next Qtr. (Sep 2018),Low Estimate,1.15B
9,290,9,2,2018-07-03 01:27:22,Next Qtr. (Sep 2018),High Estimate,1.19B
10,290,9,2,2018-07-03 01:27:22,Next Qtr. (Sep 2018),Year Ago Sales,1.06B
11,290,9,2,2018-07-03 01:27:22,Next Qtr. (Sep 2018),Sales Growth (year/est),10.50%
12,290,9,2,2018-07-03 01:27:22,Current Year (2018),No. of Analysts,12
13,290,9,2,2018-07-03 01:27:22,Current Year (2018),Avg. Estimate,4.69B
14,290,9,2,2018-07-03 01:27:22,Current Year (2018),Low Estimate,4.64B
15,290,9,2,2018-07-03 01:27:22,Current Year (2018),High Estimate,4.71B
