,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,292,8,2,2018-07-03 01:28:07,Current Qtr. (Jul 2018),No. of Analysts,21.0
1,292,8,2,2018-07-03 01:28:07,Current Qtr. (Jul 2018),Avg. Estimate,1.12
2,292,8,2,2018-07-03 01:28:07,Current Qtr. (Jul 2018),Low Estimate,1.1
3,292,8,2,2018-07-03 01:28:07,Current Qtr. (Jul 2018),High Estimate,1.15
4,292,8,2,2018-07-03 01:28:07,Current Qtr. (Jul 2018),Year Ago EPS,1.12
5,292,8,2,2018-07-03 01:28:07,Next Qtr. (Oct 2018),No. of Analysts,21.0
6,292,8,2,2018-07-03 01:28:07,Next Qtr. (Oct 2018),Avg. Estimate,1.17
7,292,8,2,2018-07-03 01:28:07,Next Qtr. (Oct 2018),Low Estimate,1.15
8,292,8,2,2018-07-03 01:28:07,Next Qtr. (Oct 2018),High Estimate,1.24
9,292,8,2,2018-07-03 01:28:07,Next Qtr. (Oct 2018),Year Ago EPS,1.07
10,292,8,2,2018-07-03 01:28:07,Current Year (2019),No. of Analysts,23.0
11,292,8,2,2018-07-03 01:28:07,Current Year (2019),Avg. Estimate,5.12
12,292,8,2,2018-07-03 01:28:07,Current Year (2019),Low Estimate,5.1
13,292,8,2,2018-07-03 01:28:07,Current Year (2019),High Estimate,5.16
14,292,8,2,2018-07-03 01:28:07,Current Year (2019),Year Ago EPS,4.77
15,292,8,2,2018-07-03 01:28:07,Next Year (2020),No. of Analysts,21.0
16,292,8,2,2018-07-03 01:28:07,Next Year (2020),Avg. Estimate,5.55
17,292,8,2,2018-07-03 01:28:07,Next Year (2020),Low Estimate,5.45
18,292,8,2,2018-07-03 01:28:07,Next Year (2020),High Estimate,5.66
19,292,8,2,2018-07-03 01:28:07,Next Year (2020),Year Ago EPS,5.12
0,292,9,2,2018-07-03 01:28:07,Current Qtr. (Jul 2018),No. of Analysts,19
1,292,9,2,2018-07-03 01:28:07,Current Qtr. (Jul 2018),Avg. Estimate,7.27B
2,292,9,2,2018-07-03 01:28:07,Current Qtr. (Jul 2018),Low Estimate,7.13B
3,292,9,2,2018-07-03 01:28:07,Current Qtr. (Jul 2018),High Estimate,7.43B
4,292,9,2,2018-07-03 01:28:07,Current Qtr. (Jul 2018),Year Ago Sales,7.39B
5,292,9,2,2018-07-03 01:28:07,Current Qtr. (Jul 2018),Sales Growth (year/est),-1.60%
6,292,9,2,2018-07-03 01:28:07,Next Qtr. (Oct 2018),No. of Analysts,19
7,292,9,2,2018-07-03 01:28:07,Next Qtr. (Oct 2018),Avg. Estimate,7.39B
8,292,9,2,2018-07-03 01:28:07,Next Qtr. (Oct 2018),Low Estimate,7.32B
9,292,9,2,2018-07-03 01:28:07,Next Qtr. (Oct 2018),High Estimate,7.51B
