,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,494,8,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),No. of Analysts,15.0
1,494,8,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),Avg. Estimate,0.29
2,494,8,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),Low Estimate,0.19
3,494,8,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),High Estimate,0.44
4,494,8,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),Year Ago EPS,0.3
5,494,8,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),No. of Analysts,15.0
6,494,8,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),Avg. Estimate,0.41
7,494,8,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),Low Estimate,0.33
8,494,8,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),High Estimate,0.52
9,494,8,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),Year Ago EPS,0.34
10,494,8,2,2018-07-03 02:43:38,Current Year (2018),No. of Analysts,11.0
11,494,8,2,2018-07-03 02:43:38,Current Year (2018),Avg. Estimate,1.4
12,494,8,2,2018-07-03 02:43:38,Current Year (2018),Low Estimate,1.2
13,494,8,2,2018-07-03 02:43:38,Current Year (2018),High Estimate,1.71
14,494,8,2,2018-07-03 02:43:38,Current Year (2018),Year Ago EPS,0.99
15,494,8,2,2018-07-03 02:43:38,Next Year (2019),No. of Analysts,17.0
16,494,8,2,2018-07-03 02:43:38,Next Year (2019),Avg. Estimate,1.75
17,494,8,2,2018-07-03 02:43:38,Next Year (2019),Low Estimate,1.45
18,494,8,2,2018-07-03 02:43:38,Next Year (2019),High Estimate,2.3
19,494,8,2,2018-07-03 02:43:38,Next Year (2019),Year Ago EPS,1.4
0,494,9,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),No. of Analysts,13
1,494,9,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),Avg. Estimate,2.97B
2,494,9,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),Low Estimate,2.86B
3,494,9,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),High Estimate,3.25B
4,494,9,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),Year Ago Sales,2.64B
5,494,9,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),Sales Growth (year/est),12.30%
6,494,9,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),No. of Analysts,13
7,494,9,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),Avg. Estimate,3.15B
8,494,9,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),Low Estimate,3.01B
9,494,9,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),High Estimate,3.33B
10,494,9,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),Year Ago Sales,2.83B
11,494,9,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),Sales Growth (year/est),11.50%
12,494,9,2,2018-07-03 02:43:38,Current Year (2018),No. of Analysts,17
13,494,9,2,2018-07-03 02:43:38,Current Year (2018),Avg. Estimate,12.02B
14,494,9,2,2018-07-03 02:43:38,Current Year (2018),Low Estimate,11.72B
15,494,9,2,2018-07-03 02:43:38,Current Year (2018),High Estimate,12.84B
16,494,9,2,2018-07-03 02:43:38,Current Year (2018),Year Ago Sales,10.77B
17,494,9,2,2018-07-03 02:43:38,Current Year (2018),Sales Growth (year/est),11.50%
18,494,9,2,2018-07-03 02:43:38,Next Year (2019),No. of Analysts,17
19,494,9,2,2018-07-03 02:43:38,Next Year (2019),Avg. Estimate,13.21B
20,494,9,2,2018-07-03 02:43:38,Next Year (2019),Low Estimate,12.36B
21,494,9,2,2018-07-03 02:43:38,Next Year (2019),High Estimate,14.17B
22,494,9,2,2018-07-03 02:43:38,Next Year (2019),Year Ago Sales,12.02B
23,494,9,2,2018-07-03 02:43:38,Next Year (2019),Sales Growth (year/est),9.90%
0,494,10,2,2018-07-03 02:43:38,6/29/2017,EPS Est.,0.3
1,494,10,2,2018-07-03 02:43:38,6/29/2017,EPS Actual,0.3
2,494,10,2,2018-07-03 02:43:38,6/29/2017,Difference,0
3,494,10,2,2018-07-03 02:43:38,6/29/2017,Surprise %,0.00%
4,494,10,2,2018-07-03 02:43:38,9/29/2017,EPS Est.,0.34
5,494,10,2,2018-07-03 02:43:38,9/29/2017,EPS Actual,0.34
6,494,10,2,2018-07-03 02:43:38,9/29/2017,Difference,0
7,494,10,2,2018-07-03 02:43:38,9/29/2017,Surprise %,0.00%
8,494,10,2,2018-07-03 02:43:38,12/30/2017,EPS Est.,0.08
9,494,10,2,2018-07-03 02:43:38,12/30/2017,EPS Actual,0
10,494,10,2,2018-07-03 02:43:38,12/30/2017,Difference,-0.08
11,494,10,2,2018-07-03 02:43:38,12/30/2017,Surprise %,-100.00%
12,494,10,2,2018-07-03 02:43:38,3/30/2018,EPS Est.,0.29
13,494,10,2,2018-07-03 02:43:38,3/30/2018,EPS Actual,0.47
14,494,10,2,2018-07-03 02:43:38,3/30/2018,Difference,0.18
15,494,10,2,2018-07-03 02:43:38,3/30/2018,Surprise %,62.10%
0,494,11,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),Current Estimate,0.29
1,494,11,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),7 Days Ago,0.29
2,494,11,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),30 Days Ago,0.29
3,494,11,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),60 Days Ago,0.3
4,494,11,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),90 Days Ago,0.37
5,494,11,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),Current Estimate,0.41
6,494,11,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),7 Days Ago,0.41
7,494,11,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),30 Days Ago,0.41
8,494,11,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),60 Days Ago,0.41
9,494,11,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),90 Days Ago,0.45
10,494,11,2,2018-07-03 02:43:38,Current Year (2018),Current Estimate,1.4
11,494,11,2,2018-07-03 02:43:38,Current Year (2018),7 Days Ago,1.4
12,494,11,2,2018-07-03 02:43:38,Current Year (2018),30 Days Ago,1.41
13,494,11,2,2018-07-03 02:43:38,Current Year (2018),60 Days Ago,1.42
14,494,11,2,2018-07-03 02:43:38,Current Year (2018),90 Days Ago,1.4
15,494,11,2,2018-07-03 02:43:38,Next Year (2019),Current Estimate,1.75
16,494,11,2,2018-07-03 02:43:38,Next Year (2019),7 Days Ago,1.76
17,494,11,2,2018-07-03 02:43:38,Next Year (2019),30 Days Ago,1.76
18,494,11,2,2018-07-03 02:43:38,Next Year (2019),60 Days Ago,1.79
19,494,11,2,2018-07-03 02:43:38,Next Year (2019),90 Days Ago,1.9
0,494,12,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),Up Last 7 Days,
1,494,12,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),Up Last 30 Days,1.0
2,494,12,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),Down Last 7 Days,
3,494,12,2,2018-07-03 02:43:38,Current Qtr. (Jun 2018),Down Last 30 Days,1.0
4,494,12,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),Up Last 7 Days,
5,494,12,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),Up Last 30 Days,1.0
6,494,12,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),Down Last 7 Days,
7,494,12,2,2018-07-03 02:43:38,Next Qtr. (Sep 2018),Down Last 30 Days,2.0
8,494,12,2,2018-07-03 02:43:38,Current Year (2018),Up Last 7 Days,
9,494,12,2,2018-07-03 02:43:38,Current Year (2018),Up Last 30 Days,1.0
10,494,12,2,2018-07-03 02:43:38,Current Year (2018),Down Last 7 Days,
11,494,12,2,2018-07-03 02:43:38,Current Year (2018),Down Last 30 Days,2.0
12,494,12,2,2018-07-03 02:43:38,Next Year (2019),Up Last 7 Days,
13,494,12,2,2018-07-03 02:43:38,Next Year (2019),Up Last 30 Days,2.0
14,494,12,2,2018-07-03 02:43:38,Next Year (2019),Down Last 7 Days,
15,494,12,2,2018-07-03 02:43:38,Next Year (2019),Down Last 30 Days,2.0
0,494,13,2,2018-07-03 02:43:38,Current Qtr.,MGM,-3.30%
1,494,13,2,2018-07-03 02:43:38,Next Qtr.,MGM,20.60%
2,494,13,2,2018-07-03 02:43:38,Current Year,MGM,41.40%
3,494,13,2,2018-07-03 02:43:38,Next Year,MGM,25.00%
4,494,13,2,2018-07-03 02:43:38,Next 5 Years (per annum),MGM,-0.15%
5,494,13,2,2018-07-03 02:43:38,Past 5 Years (per annum),MGM,54.17%
6,494,13,2,2018-07-03 02:43:38,Current Qtr.,Industry,
7,494,13,2,2018-07-03 02:43:38,Next Qtr.,Industry,
8,494,13,2,2018-07-03 02:43:38,Current Year,Industry,
9,494,13,2,2018-07-03 02:43:38,Next Year,Industry,
10,494,13,2,2018-07-03 02:43:38,Next 5 Years (per annum),Industry,
11,494,13,2,2018-07-03 02:43:38,Past 5 Years (per annum),Industry,
12,494,13,2,2018-07-03 02:43:38,Current Qtr.,Sector,
13,494,13,2,2018-07-03 02:43:38,Next Qtr.,Sector,
14,494,13,2,2018-07-03 02:43:38,Current Year,Sector,
15,494,13,2,2018-07-03 02:43:38,Next Year,Sector,
16,494,13,2,2018-07-03 02:43:38,Next 5 Years (per annum),Sector,
17,494,13,2,2018-07-03 02:43:38,Past 5 Years (per annum),Sector,
18,494,13,2,2018-07-03 02:43:38,Current Qtr.,S&P 500,0.42
19,494,13,2,2018-07-03 02:43:38,Next Qtr.,S&P 500,0.47
20,494,13,2,2018-07-03 02:43:38,Current Year,S&P 500,0.22
21,494,13,2,2018-07-03 02:43:38,Next Year,S&P 500,0.1
22,494,13,2,2018-07-03 02:43:38,Next 5 Years (per annum),S&P 500,0.11
23,494,13,2,2018-07-03 02:43:38,Past 5 Years (per annum),S&P 500,
