,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,303,8,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),No. of Analysts,12.0
1,303,8,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),Avg. Estimate,1.26
2,303,8,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),Low Estimate,1.22
3,303,8,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),High Estimate,1.3
4,303,8,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),Year Ago EPS,1.12
5,303,8,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),No. of Analysts,12.0
6,303,8,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),Avg. Estimate,1.68
7,303,8,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),Low Estimate,1.64
8,303,8,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),High Estimate,1.72
9,303,8,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),Year Ago EPS,1.54
10,303,8,2,2018-07-03 01:32:11,Current Year (2018),No. of Analysts,14.0
11,303,8,2,2018-07-03 01:32:11,Current Year (2018),Avg. Estimate,4.96
12,303,8,2,2018-07-03 01:32:11,Current Year (2018),Low Estimate,4.9
13,303,8,2,2018-07-03 01:32:11,Current Year (2018),High Estimate,5.01
14,303,8,2,2018-07-03 01:32:11,Current Year (2018),Year Ago EPS,4.26
15,303,8,2,2018-07-03 01:32:11,Next Year (2019),No. of Analysts,12.0
16,303,8,2,2018-07-03 01:32:11,Next Year (2019),Avg. Estimate,5.4
17,303,8,2,2018-07-03 01:32:11,Next Year (2019),Low Estimate,5.21
18,303,8,2,2018-07-03 01:32:11,Next Year (2019),High Estimate,5.96
19,303,8,2,2018-07-03 01:32:11,Next Year (2019),Year Ago EPS,4.96
0,303,9,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),No. of Analysts,9
1,303,9,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),Avg. Estimate,1.36B
2,303,9,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),Low Estimate,1.33B
3,303,9,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),High Estimate,1.38B
4,303,9,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),Year Ago Sales,1.19B
5,303,9,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),Sales Growth (year/est),14.70%
6,303,9,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),No. of Analysts,9
7,303,9,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),Avg. Estimate,1.55B
8,303,9,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),Low Estimate,1.53B
9,303,9,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),High Estimate,1.57B
10,303,9,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),Year Ago Sales,1.49B
11,303,9,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),Sales Growth (year/est),4.20%
12,303,9,2,2018-07-03 01:32:11,Current Year (2018),No. of Analysts,11
13,303,9,2,2018-07-03 01:32:11,Current Year (2018),Avg. Estimate,5.48B
14,303,9,2,2018-07-03 01:32:11,Current Year (2018),Low Estimate,5.43B
15,303,9,2,2018-07-03 01:32:11,Current Year (2018),High Estimate,5.51B
16,303,9,2,2018-07-03 01:32:11,Current Year (2018),Year Ago Sales,4.83B
17,303,9,2,2018-07-03 01:32:11,Current Year (2018),Sales Growth (year/est),13.30%
18,303,9,2,2018-07-03 01:32:11,Next Year (2019),No. of Analysts,11
19,303,9,2,2018-07-03 01:32:11,Next Year (2019),Avg. Estimate,5.66B
20,303,9,2,2018-07-03 01:32:11,Next Year (2019),Low Estimate,5.57B
21,303,9,2,2018-07-03 01:32:11,Next Year (2019),High Estimate,5.76B
22,303,9,2,2018-07-03 01:32:11,Next Year (2019),Year Ago Sales,5.48B
23,303,9,2,2018-07-03 01:32:11,Next Year (2019),Sales Growth (year/est),3.40%
0,303,10,2,2018-07-03 01:32:11,8/30/2017,EPS Est.,1.05
1,303,10,2,2018-07-03 01:32:11,8/30/2017,EPS Actual,1.12
2,303,10,2,2018-07-03 01:32:11,8/30/2017,Difference,0.07
3,303,10,2,2018-07-03 01:32:11,8/30/2017,Surprise %,6.70%
4,303,10,2,2018-07-03 01:32:11,11/29/2017,EPS Est.,1.52
5,303,10,2,2018-07-03 01:32:11,11/29/2017,EPS Actual,1.54
6,303,10,2,2018-07-03 01:32:11,11/29/2017,Difference,0.02
7,303,10,2,2018-07-03 01:32:11,11/29/2017,Surprise %,1.30%
8,303,10,2,2018-07-03 01:32:11,2/27/2018,EPS Est.,0.91
9,303,10,2,2018-07-03 01:32:11,2/27/2018,EPS Actual,1
10,303,10,2,2018-07-03 01:32:11,2/27/2018,Difference,0.09
11,303,10,2,2018-07-03 01:32:11,2/27/2018,Surprise %,9.90%
12,303,10,2,2018-07-03 01:32:11,5/30/2018,EPS Est.,0.93
13,303,10,2,2018-07-03 01:32:11,5/30/2018,EPS Actual,1.02
14,303,10,2,2018-07-03 01:32:11,5/30/2018,Difference,0.09
15,303,10,2,2018-07-03 01:32:11,5/30/2018,Surprise %,9.70%
0,303,11,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),Current Estimate,1.26
1,303,11,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),7 Days Ago,1.28
2,303,11,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),30 Days Ago,1.28
3,303,11,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),60 Days Ago,1.28
4,303,11,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),90 Days Ago,1.28
5,303,11,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),Current Estimate,1.68
6,303,11,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),7 Days Ago,1.72
7,303,11,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),30 Days Ago,1.72
8,303,11,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),60 Days Ago,1.72
9,303,11,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),90 Days Ago,1.73
10,303,11,2,2018-07-03 01:32:11,Current Year (2018),Current Estimate,4.96
11,303,11,2,2018-07-03 01:32:11,Current Year (2018),7 Days Ago,4.93
12,303,11,2,2018-07-03 01:32:11,Current Year (2018),30 Days Ago,4.93
13,303,11,2,2018-07-03 01:32:11,Current Year (2018),60 Days Ago,4.93
14,303,11,2,2018-07-03 01:32:11,Current Year (2018),90 Days Ago,4.92
15,303,11,2,2018-07-03 01:32:11,Next Year (2019),Current Estimate,5.4
16,303,11,2,2018-07-03 01:32:11,Next Year (2019),7 Days Ago,5.37
17,303,11,2,2018-07-03 01:32:11,Next Year (2019),30 Days Ago,5.37
18,303,11,2,2018-07-03 01:32:11,Next Year (2019),60 Days Ago,5.37
19,303,11,2,2018-07-03 01:32:11,Next Year (2019),90 Days Ago,5.4
0,303,12,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),Up Last 7 Days,1.0
1,303,12,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),Up Last 30 Days,2.0
2,303,12,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),Down Last 7 Days,
3,303,12,2,2018-07-03 01:32:11,Current Qtr. (Aug 2018),Down Last 30 Days,6.0
4,303,12,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),Up Last 7 Days,3.0
5,303,12,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),Up Last 30 Days,3.0
6,303,12,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),Down Last 7 Days,
7,303,12,2,2018-07-03 01:32:11,Next Qtr. (Nov 2018),Down Last 30 Days,4.0
8,303,12,2,2018-07-03 01:32:11,Current Year (2018),Up Last 7 Days,6.0
9,303,12,2,2018-07-03 01:32:11,Current Year (2018),Up Last 30 Days,10.0
10,303,12,2,2018-07-03 01:32:11,Current Year (2018),Down Last 7 Days,
11,303,12,2,2018-07-03 01:32:11,Current Year (2018),Down Last 30 Days,1.0
12,303,12,2,2018-07-03 01:32:11,Next Year (2019),Up Last 7 Days,5.0
13,303,12,2,2018-07-03 01:32:11,Next Year (2019),Up Last 30 Days,8.0
14,303,12,2,2018-07-03 01:32:11,Next Year (2019),Down Last 7 Days,
15,303,12,2,2018-07-03 01:32:11,Next Year (2019),Down Last 30 Days,
0,303,13,2,2018-07-03 01:32:11,Current Qtr.,MKC,12.50%
1,303,13,2,2018-07-03 01:32:11,Next Qtr.,MKC,9.10%
2,303,13,2,2018-07-03 01:32:11,Current Year,MKC,16.40%
3,303,13,2,2018-07-03 01:32:11,Next Year,MKC,8.90%
4,303,13,2,2018-07-03 01:32:11,Next 5 Years (per annum),MKC,10.61%
5,303,13,2,2018-07-03 01:32:11,Past 5 Years (per annum),MKC,10.16%
6,303,13,2,2018-07-03 01:32:11,Current Qtr.,Industry,
7,303,13,2,2018-07-03 01:32:11,Next Qtr.,Industry,
8,303,13,2,2018-07-03 01:32:11,Current Year,Industry,
9,303,13,2,2018-07-03 01:32:11,Next Year,Industry,
10,303,13,2,2018-07-03 01:32:11,Next 5 Years (per annum),Industry,
11,303,13,2,2018-07-03 01:32:11,Past 5 Years (per annum),Industry,
12,303,13,2,2018-07-03 01:32:11,Current Qtr.,Sector,
13,303,13,2,2018-07-03 01:32:11,Next Qtr.,Sector,
14,303,13,2,2018-07-03 01:32:11,Current Year,Sector,
15,303,13,2,2018-07-03 01:32:11,Next Year,Sector,
16,303,13,2,2018-07-03 01:32:11,Next 5 Years (per annum),Sector,
17,303,13,2,2018-07-03 01:32:11,Past 5 Years (per annum),Sector,
18,303,13,2,2018-07-03 01:32:11,Current Qtr.,S&P 500,0.42
19,303,13,2,2018-07-03 01:32:11,Next Qtr.,S&P 500,0.47
20,303,13,2,2018-07-03 01:32:11,Current Year,S&P 500,0.22
21,303,13,2,2018-07-03 01:32:11,Next Year,S&P 500,0.1
22,303,13,2,2018-07-03 01:32:11,Next 5 Years (per annum),S&P 500,0.11
23,303,13,2,2018-07-03 01:32:11,Past 5 Years (per annum),S&P 500,
