,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,309,8,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),No. of Analysts,14.0
1,309,8,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),Avg. Estimate,1.03
2,309,8,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),Low Estimate,0.97
3,309,8,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),High Estimate,1.08
4,309,8,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),Year Ago EPS,1.01
5,309,8,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),No. of Analysts,14.0
6,309,8,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),Avg. Estimate,1.12
7,309,8,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),Low Estimate,1.04
8,309,8,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),High Estimate,1.17
9,309,8,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),Year Ago EPS,1.11
10,309,8,2,2018-07-03 01:34:23,Current Year (2018),No. of Analysts,17.0
11,309,8,2,2018-07-03 01:34:23,Current Year (2018),Avg. Estimate,4.23
12,309,8,2,2018-07-03 01:34:23,Current Year (2018),Low Estimate,4.15
13,309,8,2,2018-07-03 01:34:23,Current Year (2018),High Estimate,4.3
14,309,8,2,2018-07-03 01:34:23,Current Year (2018),Year Ago EPS,3.98
15,309,8,2,2018-07-03 01:34:23,Next Year (2019),No. of Analysts,17.0
16,309,8,2,2018-07-03 01:34:23,Next Year (2019),Avg. Estimate,4.54
17,309,8,2,2018-07-03 01:34:23,Next Year (2019),Low Estimate,4.27
18,309,8,2,2018-07-03 01:34:23,Next Year (2019),High Estimate,4.9
19,309,8,2,2018-07-03 01:34:23,Next Year (2019),Year Ago EPS,4.23
0,309,9,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),No. of Analysts,11
1,309,9,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),Avg. Estimate,10.32B
2,309,9,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),Low Estimate,10.07B
3,309,9,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),High Estimate,10.55B
4,309,9,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),Year Ago Sales,9.93B
5,309,9,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),Sales Growth (year/est),3.90%
6,309,9,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),No. of Analysts,11
7,309,9,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),Avg. Estimate,10.81B
8,309,9,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),Low Estimate,10.53B
9,309,9,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),High Estimate,11.04B
10,309,9,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),Year Ago Sales,10.32B
11,309,9,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),Sales Growth (year/est),4.70%
12,309,9,2,2018-07-03 01:34:23,Current Year (2018),No. of Analysts,14
13,309,9,2,2018-07-03 01:34:23,Current Year (2018),Avg. Estimate,42.07B
14,309,9,2,2018-07-03 01:34:23,Current Year (2018),Low Estimate,41.72B
15,309,9,2,2018-07-03 01:34:23,Current Year (2018),High Estimate,42.68B
16,309,9,2,2018-07-03 01:34:23,Current Year (2018),Year Ago Sales,40.12B
17,309,9,2,2018-07-03 01:34:23,Current Year (2018),Sales Growth (year/est),4.90%
18,309,9,2,2018-07-03 01:34:23,Next Year (2019),No. of Analysts,15
19,309,9,2,2018-07-03 01:34:23,Next Year (2019),Avg. Estimate,43.32B
20,309,9,2,2018-07-03 01:34:23,Next Year (2019),Low Estimate,41.5B
21,309,9,2,2018-07-03 01:34:23,Next Year (2019),High Estimate,44.93B
22,309,9,2,2018-07-03 01:34:23,Next Year (2019),Year Ago Sales,42.07B
23,309,9,2,2018-07-03 01:34:23,Next Year (2019),Sales Growth (year/est),3.00%
0,309,10,2,2018-07-03 01:34:23,6/29/2017,EPS Est.,0.87
1,309,10,2,2018-07-03 01:34:23,6/29/2017,EPS Actual,1.01
2,309,10,2,2018-07-03 01:34:23,6/29/2017,Difference,0.14
3,309,10,2,2018-07-03 01:34:23,6/29/2017,Surprise %,16.10%
4,309,10,2,2018-07-03 01:34:23,9/29/2017,EPS Est.,1.03
5,309,10,2,2018-07-03 01:34:23,9/29/2017,EPS Actual,1.11
6,309,10,2,2018-07-03 01:34:23,9/29/2017,Difference,0.08
7,309,10,2,2018-07-03 01:34:23,9/29/2017,Surprise %,7.80%
8,309,10,2,2018-07-03 01:34:23,12/30/2017,EPS Est.,0.94
9,309,10,2,2018-07-03 01:34:23,12/30/2017,EPS Actual,0.98
10,309,10,2,2018-07-03 01:34:23,12/30/2017,Difference,0.04
11,309,10,2,2018-07-03 01:34:23,12/30/2017,Surprise %,4.30%
12,309,10,2,2018-07-03 01:34:23,3/30/2018,EPS Est.,1
13,309,10,2,2018-07-03 01:34:23,3/30/2018,EPS Actual,1.05
14,309,10,2,2018-07-03 01:34:23,3/30/2018,Difference,0.05
15,309,10,2,2018-07-03 01:34:23,3/30/2018,Surprise %,5.00%
0,309,11,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),Current Estimate,1.03
1,309,11,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),7 Days Ago,1.03
2,309,11,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),30 Days Ago,1.03
3,309,11,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),60 Days Ago,1.04
4,309,11,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),90 Days Ago,1.03
5,309,11,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),Current Estimate,1.12
6,309,11,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),7 Days Ago,1.12
7,309,11,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),30 Days Ago,1.12
8,309,11,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),60 Days Ago,1.12
9,309,11,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),90 Days Ago,1.13
10,309,11,2,2018-07-03 01:34:23,Current Year (2018),Current Estimate,4.23
11,309,11,2,2018-07-03 01:34:23,Current Year (2018),7 Days Ago,4.23
12,309,11,2,2018-07-03 01:34:23,Current Year (2018),30 Days Ago,4.23
13,309,11,2,2018-07-03 01:34:23,Current Year (2018),60 Days Ago,4.23
14,309,11,2,2018-07-03 01:34:23,Current Year (2018),90 Days Ago,4.17
15,309,11,2,2018-07-03 01:34:23,Next Year (2019),Current Estimate,4.54
16,309,11,2,2018-07-03 01:34:23,Next Year (2019),7 Days Ago,4.54
17,309,11,2,2018-07-03 01:34:23,Next Year (2019),30 Days Ago,4.55
18,309,11,2,2018-07-03 01:34:23,Next Year (2019),60 Days Ago,4.55
19,309,11,2,2018-07-03 01:34:23,Next Year (2019),90 Days Ago,4.42
0,309,12,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),Up Last 7 Days,
1,309,12,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),Up Last 30 Days,2.0
2,309,12,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),Down Last 7 Days,
3,309,12,2,2018-07-03 01:34:23,Current Qtr. (Jun 2018),Down Last 30 Days,
4,309,12,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),Up Last 7 Days,
5,309,12,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),Up Last 30 Days,1.0
6,309,12,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),Down Last 7 Days,
7,309,12,2,2018-07-03 01:34:23,Next Qtr. (Sep 2018),Down Last 30 Days,
