,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,340,8,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),No. of Analysts,21.0
1,340,8,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),Avg. Estimate,1.18
2,340,8,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),Low Estimate,0.16
3,340,8,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),High Estimate,1.6
4,340,8,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),Year Ago EPS,0.15
5,340,8,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),No. of Analysts,20.0
6,340,8,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),Avg. Estimate,1.25
7,340,8,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),Low Estimate,0.18
8,340,8,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),High Estimate,1.67
9,340,8,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),Year Ago EPS,0.18
10,340,8,2,2018-07-03 01:45:56,Current Year (2018),No. of Analysts,21.0
11,340,8,2,2018-07-03 01:45:56,Current Year (2018),Avg. Estimate,4.66
12,340,8,2,2018-07-03 01:45:56,Current Year (2018),Low Estimate,3.8
13,340,8,2,2018-07-03 01:45:56,Current Year (2018),High Estimate,5.95
14,340,8,2,2018-07-03 01:45:56,Current Year (2018),Year Ago EPS,0.89
15,340,8,2,2018-07-03 01:45:56,Next Year (2019),No. of Analysts,26.0
16,340,8,2,2018-07-03 01:45:56,Next Year (2019),Avg. Estimate,4.79
17,340,8,2,2018-07-03 01:45:56,Next Year (2019),Low Estimate,2.28
18,340,8,2,2018-07-03 01:45:56,Next Year (2019),High Estimate,6.94
19,340,8,2,2018-07-03 01:45:56,Next Year (2019),Year Ago EPS,4.66
0,340,9,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),No. of Analysts,10
1,340,9,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),Avg. Estimate,4.25B
2,340,9,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),Low Estimate,3.66B
3,340,9,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),High Estimate,5.56B
4,340,9,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),Year Ago Sales,3.6B
5,340,9,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),Sales Growth (year/est),18.00%
6,340,9,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),No. of Analysts,10
7,340,9,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),Avg. Estimate,4.45B
8,340,9,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),Low Estimate,3.98B
9,340,9,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),High Estimate,5.71B
10,340,9,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),Year Ago Sales,3.1B
11,340,9,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),Sales Growth (year/est),43.30%
12,340,9,2,2018-07-03 01:45:56,Current Year (2018),No. of Analysts,11
13,340,9,2,2018-07-03 01:45:56,Current Year (2018),Avg. Estimate,16.98B
14,340,9,2,2018-07-03 01:45:56,Current Year (2018),Low Estimate,15.08B
15,340,9,2,2018-07-03 01:45:56,Current Year (2018),High Estimate,21.08B
16,340,9,2,2018-07-03 01:45:56,Current Year (2018),Year Ago Sales,13.27B
17,340,9,2,2018-07-03 01:45:56,Current Year (2018),Sales Growth (year/est),27.90%
18,340,9,2,2018-07-03 01:45:56,Next Year (2019),No. of Analysts,11
19,340,9,2,2018-07-03 01:45:56,Next Year (2019),Avg. Estimate,18.1B
20,340,9,2,2018-07-03 01:45:56,Next Year (2019),Low Estimate,14.35B
21,340,9,2,2018-07-03 01:45:56,Next Year (2019),High Estimate,24.93B
22,340,9,2,2018-07-03 01:45:56,Next Year (2019),Year Ago Sales,16.98B
23,340,9,2,2018-07-03 01:45:56,Next Year (2019),Sales Growth (year/est),6.60%
0,340,10,2,2018-07-03 01:45:56,6/29/2017,EPS Est.,0.1
1,340,10,2,2018-07-03 01:45:56,6/29/2017,EPS Actual,0.15
2,340,10,2,2018-07-03 01:45:56,6/29/2017,Difference,0.05
3,340,10,2,2018-07-03 01:45:56,6/29/2017,Surprise %,50.00%
4,340,10,2,2018-07-03 01:45:56,9/29/2017,EPS Est.,0.11
5,340,10,2,2018-07-03 01:45:56,9/29/2017,EPS Actual,0.18
6,340,10,2,2018-07-03 01:45:56,9/29/2017,Difference,0.07
7,340,10,2,2018-07-03 01:45:56,9/29/2017,Surprise %,63.60%
8,340,10,2,2018-07-03 01:45:56,12/30/2017,EPS Est.,0.41
9,340,10,2,2018-07-03 01:45:56,12/30/2017,EPS Actual,0.41
10,340,10,2,2018-07-03 01:45:56,12/30/2017,Difference,0
11,340,10,2,2018-07-03 01:45:56,12/30/2017,Surprise %,0.00%
12,340,10,2,2018-07-03 01:45:56,3/30/2018,EPS Est.,0.71
13,340,10,2,2018-07-03 01:45:56,3/30/2018,EPS Actual,0.92
14,340,10,2,2018-07-03 01:45:56,3/30/2018,Difference,0.21
15,340,10,2,2018-07-03 01:45:56,3/30/2018,Surprise %,29.60%
0,340,11,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),Current Estimate,1.18
1,340,11,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),7 Days Ago,1.16
2,340,11,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),30 Days Ago,1.16
3,340,11,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),60 Days Ago,0.83
4,340,11,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),90 Days Ago,0.69
5,340,11,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),Current Estimate,1.25
6,340,11,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),7 Days Ago,1.24
7,340,11,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),30 Days Ago,1.23
8,340,11,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),60 Days Ago,0.88
9,340,11,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),90 Days Ago,0.72
10,340,11,2,2018-07-03 01:45:56,Current Year (2018),Current Estimate,4.66
11,340,11,2,2018-07-03 01:45:56,Current Year (2018),7 Days Ago,4.61
12,340,11,2,2018-07-03 01:45:56,Current Year (2018),30 Days Ago,4.55
13,340,11,2,2018-07-03 01:45:56,Current Year (2018),60 Days Ago,3.14
14,340,11,2,2018-07-03 01:45:56,Current Year (2018),90 Days Ago,2.74
15,340,11,2,2018-07-03 01:45:56,Next Year (2019),Current Estimate,4.79
16,340,11,2,2018-07-03 01:45:56,Next Year (2019),7 Days Ago,4.75
17,340,11,2,2018-07-03 01:45:56,Next Year (2019),30 Days Ago,4.26
18,340,11,2,2018-07-03 01:45:56,Next Year (2019),60 Days Ago,3.08
19,340,11,2,2018-07-03 01:45:56,Next Year (2019),90 Days Ago,2.76
0,340,12,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),Up Last 7 Days,1.0
1,340,12,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),Up Last 30 Days,5.0
2,340,12,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),Down Last 7 Days,
3,340,12,2,2018-07-03 01:45:56,Current Qtr. (Jun 2018),Down Last 30 Days,
4,340,12,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),Up Last 7 Days,1.0
5,340,12,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),Up Last 30 Days,5.0
6,340,12,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),Down Last 7 Days,
7,340,12,2,2018-07-03 01:45:56,Next Qtr. (Sep 2018),Down Last 30 Days,
8,340,12,2,2018-07-03 01:45:56,Current Year (2018),Up Last 7 Days,1.0
9,340,12,2,2018-07-03 01:45:56,Current Year (2018),Up Last 30 Days,7.0
10,340,12,2,2018-07-03 01:45:56,Current Year (2018),Down Last 7 Days,
11,340,12,2,2018-07-03 01:45:56,Current Year (2018),Down Last 30 Days,
12,340,12,2,2018-07-03 01:45:56,Next Year (2019),Up Last 7 Days,1.0
13,340,12,2,2018-07-03 01:45:56,Next Year (2019),Up Last 30 Days,7.0
14,340,12,2,2018-07-03 01:45:56,Next Year (2019),Down Last 7 Days,
15,340,12,2,2018-07-03 01:45:56,Next Year (2019),Down Last 30 Days,
0,340,13,2,2018-07-03 01:45:56,Current Qtr.,OXY,686.70%
1,340,13,2,2018-07-03 01:45:56,Next Qtr.,OXY,594.40%
2,340,13,2,2018-07-03 01:45:56,Current Year,OXY,423.60%
3,340,13,2,2018-07-03 01:45:56,Next Year,OXY,2.80%
4,340,13,2,2018-07-03 01:45:56,Next 5 Years (per annum),OXY,68.65%
