,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,335,8,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),No. of Analysts,12.0
1,335,8,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),Avg. Estimate,0.32
2,335,8,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),Low Estimate,0.3
3,335,8,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),High Estimate,0.33
4,335,8,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),Year Ago EPS,0.19
5,335,8,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),No. of Analysts,12.0
6,335,8,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),Avg. Estimate,0.33
7,335,8,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),Low Estimate,0.32
8,335,8,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),High Estimate,0.34
9,335,8,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),Year Ago EPS,0.26
10,335,8,2,2018-07-03 01:44:03,Current Year (2018),No. of Analysts,12.0
11,335,8,2,2018-07-03 01:44:03,Current Year (2018),Avg. Estimate,1.28
12,335,8,2,2018-07-03 01:44:03,Current Year (2018),Low Estimate,1.25
13,335,8,2,2018-07-03 01:44:03,Current Year (2018),High Estimate,1.3
14,335,8,2,2018-07-03 01:44:03,Current Year (2018),Year Ago EPS,0.98
15,335,8,2,2018-07-03 01:44:03,Next Year (2019),No. of Analysts,12.0
16,335,8,2,2018-07-03 01:44:03,Next Year (2019),Avg. Estimate,1.41
17,335,8,2,2018-07-03 01:44:03,Next Year (2019),Low Estimate,1.33
18,335,8,2,2018-07-03 01:44:03,Next Year (2019),High Estimate,1.49
19,335,8,2,2018-07-03 01:44:03,Next Year (2019),Year Ago EPS,1.28
0,335,9,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),No. of Analysts,9
1,335,9,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),Avg. Estimate,396.85M
2,335,9,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),Low Estimate,388M
3,335,9,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),High Estimate,406M
4,335,9,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),Year Ago Sales,366.5M
5,335,9,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),Sales Growth (year/est),8.30%
6,335,9,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),No. of Analysts,8
7,335,9,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),Avg. Estimate,406.69M
8,335,9,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),Low Estimate,398.3M
9,335,9,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),High Estimate,416M
10,335,9,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),Year Ago Sales,373.9M
11,335,9,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),Sales Growth (year/est),8.80%
12,335,9,2,2018-07-03 01:44:03,Current Year (2018),No. of Analysts,11
13,335,9,2,2018-07-03 01:44:03,Current Year (2018),Avg. Estimate,1.61B
14,335,9,2,2018-07-03 01:44:03,Current Year (2018),Low Estimate,1.57B
15,335,9,2,2018-07-03 01:44:03,Current Year (2018),High Estimate,1.64B
16,335,9,2,2018-07-03 01:44:03,Current Year (2018),Year Ago Sales,1.46B
17,335,9,2,2018-07-03 01:44:03,Current Year (2018),Sales Growth (year/est),10.10%
18,335,9,2,2018-07-03 01:44:03,Next Year (2019),No. of Analysts,11
19,335,9,2,2018-07-03 01:44:03,Next Year (2019),Avg. Estimate,1.75B
20,335,9,2,2018-07-03 01:44:03,Next Year (2019),Low Estimate,1.66B
21,335,9,2,2018-07-03 01:44:03,Next Year (2019),High Estimate,1.84B
22,335,9,2,2018-07-03 01:44:03,Next Year (2019),Year Ago Sales,1.61B
23,335,9,2,2018-07-03 01:44:03,Next Year (2019),Sales Growth (year/est),8.70%
0,335,10,2,2018-07-03 01:44:03,6/29/2017,EPS Est.,0.23
1,335,10,2,2018-07-03 01:44:03,6/29/2017,EPS Actual,0.19
2,335,10,2,2018-07-03 01:44:03,6/29/2017,Difference,-0.04
3,335,10,2,2018-07-03 01:44:03,6/29/2017,Surprise %,-17.40%
4,335,10,2,2018-07-03 01:44:03,9/29/2017,EPS Est.,0.25
5,335,10,2,2018-07-03 01:44:03,9/29/2017,EPS Actual,0.26
6,335,10,2,2018-07-03 01:44:03,9/29/2017,Difference,0.01
7,335,10,2,2018-07-03 01:44:03,9/29/2017,Surprise %,4.00%
8,335,10,2,2018-07-03 01:44:03,12/30/2017,EPS Est.,0.27
9,335,10,2,2018-07-03 01:44:03,12/30/2017,EPS Actual,0.31
10,335,10,2,2018-07-03 01:44:03,12/30/2017,Difference,0.04
11,335,10,2,2018-07-03 01:44:03,12/30/2017,Surprise %,14.80%
12,335,10,2,2018-07-03 01:44:03,3/30/2018,EPS Est.,0.3
13,335,10,2,2018-07-03 01:44:03,3/30/2018,EPS Actual,0.3
14,335,10,2,2018-07-03 01:44:03,3/30/2018,Difference,0
15,335,10,2,2018-07-03 01:44:03,3/30/2018,Surprise %,0.00%
0,335,11,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),Current Estimate,0.32
1,335,11,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),7 Days Ago,0.32
2,335,11,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),30 Days Ago,0.31
3,335,11,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),60 Days Ago,0.31
4,335,11,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),90 Days Ago,0.32
5,335,11,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),Current Estimate,0.33
6,335,11,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),7 Days Ago,0.33
7,335,11,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),30 Days Ago,0.33
8,335,11,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),60 Days Ago,0.33
9,335,11,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),90 Days Ago,0.33
10,335,11,2,2018-07-03 01:44:03,Current Year (2018),Current Estimate,1.28
11,335,11,2,2018-07-03 01:44:03,Current Year (2018),7 Days Ago,1.28
12,335,11,2,2018-07-03 01:44:03,Current Year (2018),30 Days Ago,1.28
13,335,11,2,2018-07-03 01:44:03,Current Year (2018),60 Days Ago,1.28
14,335,11,2,2018-07-03 01:44:03,Current Year (2018),90 Days Ago,1.28
15,335,11,2,2018-07-03 01:44:03,Next Year (2019),Current Estimate,1.41
16,335,11,2,2018-07-03 01:44:03,Next Year (2019),7 Days Ago,1.4
17,335,11,2,2018-07-03 01:44:03,Next Year (2019),30 Days Ago,1.39
18,335,11,2,2018-07-03 01:44:03,Next Year (2019),60 Days Ago,1.39
19,335,11,2,2018-07-03 01:44:03,Next Year (2019),90 Days Ago,1.39
0,335,12,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),Up Last 7 Days,1.0
1,335,12,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),Up Last 30 Days,2.0
2,335,12,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),Down Last 7 Days,
3,335,12,2,2018-07-03 01:44:03,Current Qtr. (Jun 2018),Down Last 30 Days,
4,335,12,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),Up Last 7 Days,
5,335,12,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),Up Last 30 Days,1.0
6,335,12,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),Down Last 7 Days,
7,335,12,2,2018-07-03 01:44:03,Next Qtr. (Sep 2018),Down Last 30 Days,
8,335,12,2,2018-07-03 01:44:03,Current Year (2018),Up Last 7 Days,
9,335,12,2,2018-07-03 01:44:03,Current Year (2018),Up Last 30 Days,1.0
10,335,12,2,2018-07-03 01:44:03,Current Year (2018),Down Last 7 Days,
11,335,12,2,2018-07-03 01:44:03,Current Year (2018),Down Last 30 Days,
12,335,12,2,2018-07-03 01:44:03,Next Year (2019),Up Last 7 Days,2.0
13,335,12,2,2018-07-03 01:44:03,Next Year (2019),Up Last 30 Days,6.0
14,335,12,2,2018-07-03 01:44:03,Next Year (2019),Down Last 7 Days,
15,335,12,2,2018-07-03 01:44:03,Next Year (2019),Down Last 30 Days,
0,335,13,2,2018-07-03 01:44:03,Current Qtr.,PBCT,68.40%
1,335,13,2,2018-07-03 01:44:03,Next Qtr.,PBCT,26.90%
2,335,13,2,2018-07-03 01:44:03,Current Year,PBCT,30.60%
3,335,13,2,2018-07-03 01:44:03,Next Year,PBCT,10.20%
4,335,13,2,2018-07-03 01:44:03,Next 5 Years (per annum),PBCT,2.00%
5,335,13,2,2018-07-03 01:44:03,Past 5 Years (per annum),PBCT,7.86%
6,335,13,2,2018-07-03 01:44:03,Current Qtr.,Industry,
7,335,13,2,2018-07-03 01:44:03,Next Qtr.,Industry,
8,335,13,2,2018-07-03 01:44:03,Current Year,Industry,
9,335,13,2,2018-07-03 01:44:03,Next Year,Industry,
10,335,13,2,2018-07-03 01:44:03,Next 5 Years (per annum),Industry,
11,335,13,2,2018-07-03 01:44:03,Past 5 Years (per annum),Industry,
12,335,13,2,2018-07-03 01:44:03,Current Qtr.,Sector,
13,335,13,2,2018-07-03 01:44:03,Next Qtr.,Sector,
14,335,13,2,2018-07-03 01:44:03,Current Year,Sector,
15,335,13,2,2018-07-03 01:44:03,Next Year,Sector,
16,335,13,2,2018-07-03 01:44:03,Next 5 Years (per annum),Sector,
17,335,13,2,2018-07-03 01:44:03,Past 5 Years (per annum),Sector,
18,335,13,2,2018-07-03 01:44:03,Current Qtr.,S&P 500,0.42
19,335,13,2,2018-07-03 01:44:03,Next Qtr.,S&P 500,0.47
20,335,13,2,2018-07-03 01:44:03,Current Year,S&P 500,0.22
21,335,13,2,2018-07-03 01:44:03,Next Year,S&P 500,0.1
22,335,13,2,2018-07-03 01:44:03,Next 5 Years (per annum),S&P 500,0.11
23,335,13,2,2018-07-03 01:44:03,Past 5 Years (per annum),S&P 500,
