,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,337,8,2,2018-07-03 01:44:48,Current Qtr. (Jun 2018),No. of Analysts,21.0
1,337,8,2,2018-07-03 01:44:48,Current Qtr. (Jun 2018),Avg. Estimate,1.43
2,337,8,2,2018-07-03 01:44:48,Current Qtr. (Jun 2018),Low Estimate,1.34
3,337,8,2,2018-07-03 01:44:48,Current Qtr. (Jun 2018),High Estimate,1.55
4,337,8,2,2018-07-03 01:44:48,Current Qtr. (Jun 2018),Year Ago EPS,1.06
5,337,8,2,2018-07-03 01:44:48,Next Qtr. (Sep 2018),No. of Analysts,21.0
6,337,8,2,2018-07-03 01:44:48,Next Qtr. (Sep 2018),Avg. Estimate,1.41
7,337,8,2,2018-07-03 01:44:48,Next Qtr. (Sep 2018),Low Estimate,1.32
8,337,8,2,2018-07-03 01:44:48,Next Qtr. (Sep 2018),High Estimate,1.54
9,337,8,2,2018-07-03 01:44:48,Next Qtr. (Sep 2018),Year Ago EPS,1.14
10,337,8,2,2018-07-03 01:44:48,Current Year (2018),No. of Analysts,25.0
11,337,8,2,2018-07-03 01:44:48,Current Year (2018),Avg. Estimate,5.7
12,337,8,2,2018-07-03 01:44:48,Current Year (2018),Low Estimate,5.51
13,337,8,2,2018-07-03 01:44:48,Current Year (2018),High Estimate,6.18
14,337,8,2,2018-07-03 01:44:48,Current Year (2018),Year Ago EPS,4.26
15,337,8,2,2018-07-03 01:44:48,Next Year (2019),No. of Analysts,26.0
16,337,8,2,2018-07-03 01:44:48,Next Year (2019),Avg. Estimate,5.77
17,337,8,2,2018-07-03 01:44:48,Next Year (2019),Low Estimate,4.59
18,337,8,2,2018-07-03 01:44:48,Next Year (2019),High Estimate,6.55
19,337,8,2,2018-07-03 01:44:48,Next Year (2019),Year Ago EPS,5.7
0,337,9,2,2018-07-03 01:44:48,Current Qtr. (Jun 2018),No. of Analysts,14
1,337,9,2,2018-07-03 01:44:48,Current Qtr. (Jun 2018),Avg. Estimate,5.45B
2,337,9,2,2018-07-03 01:44:48,Current Qtr. (Jun 2018),Low Estimate,5.14B
3,337,9,2,2018-07-03 01:44:48,Current Qtr. (Jun 2018),High Estimate,5.76B
4,337,9,2,2018-07-03 01:44:48,Current Qtr. (Jun 2018),Year Ago Sales,4.4B
5,337,9,2,2018-07-03 01:44:48,Current Qtr. (Jun 2018),Sales Growth (year/est),24.00%
6,337,9,2,2018-07-03 01:44:48,Next Qtr. (Sep 2018),No. of Analysts,14
7,337,9,2,2018-07-03 01:44:48,Next Qtr. (Sep 2018),Avg. Estimate,5.33B
8,337,9,2,2018-07-03 01:44:48,Next Qtr. (Sep 2018),Low Estimate,5.03B
9,337,9,2,2018-07-03 01:44:48,Next Qtr. (Sep 2018),High Estimate,5.68B
10,337,9,2,2018-07-03 01:44:48,Next Qtr. (Sep 2018),Year Ago Sales,4.73B
11,337,9,2,2018-07-03 01:44:48,Next Qtr. (Sep 2018),Sales Growth (year/est),12.60%
12,337,9,2,2018-07-03 01:44:48,Current Year (2018),No. of Analysts,19
13,337,9,2,2018-07-03 01:44:48,Current Year (2018),Avg. Estimate,21.59B
14,337,9,2,2018-07-03 01:44:48,Current Year (2018),Low Estimate,20.29B
15,337,9,2,2018-07-03 01:44:48,Current Year (2018),High Estimate,23.7B
16,337,9,2,2018-07-03 01:44:48,Current Year (2018),Year Ago Sales,18.19B
17,337,9,2,2018-07-03 01:44:48,Current Year (2018),Sales Growth (year/est),18.70%
