,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,345,8,2,2018-07-03 01:47:52,Current Qtr. (Jun 2018),No. of Analysts,20.0
1,345,8,2,2018-07-03 01:47:52,Current Qtr. (Jun 2018),Avg. Estimate,1.52
2,345,8,2,2018-07-03 01:47:52,Current Qtr. (Jun 2018),Low Estimate,1.47
3,345,8,2,2018-07-03 01:47:52,Current Qtr. (Jun 2018),High Estimate,1.6
4,345,8,2,2018-07-03 01:47:52,Current Qtr. (Jun 2018),Year Ago EPS,1.5
5,345,8,2,2018-07-03 01:47:52,Next Qtr. (Sep 2018),No. of Analysts,19.0
6,345,8,2,2018-07-03 01:47:52,Next Qtr. (Sep 2018),Avg. Estimate,1.65
7,345,8,2,2018-07-03 01:47:52,Next Qtr. (Sep 2018),Low Estimate,1.58
8,345,8,2,2018-07-03 01:47:52,Next Qtr. (Sep 2018),High Estimate,1.71
9,345,8,2,2018-07-03 01:47:52,Next Qtr. (Sep 2018),Year Ago EPS,1.48
10,345,8,2,2018-07-03 01:47:52,Current Year (2018),No. of Analysts,24.0
11,345,8,2,2018-07-03 01:47:52,Current Year (2018),Avg. Estimate,5.68
12,345,8,2,2018-07-03 01:47:52,Current Year (2018),Low Estimate,5.58
13,345,8,2,2018-07-03 01:47:52,Current Year (2018),High Estimate,5.76
14,345,8,2,2018-07-03 01:47:52,Current Year (2018),Year Ago EPS,5.23
15,345,8,2,2018-07-03 01:47:52,Next Year (2019),No. of Analysts,25.0
16,345,8,2,2018-07-03 01:47:52,Next Year (2019),Avg. Estimate,6.09
17,345,8,2,2018-07-03 01:47:52,Next Year (2019),Low Estimate,5.93
18,345,8,2,2018-07-03 01:47:52,Next Year (2019),High Estimate,6.3
19,345,8,2,2018-07-03 01:47:52,Next Year (2019),Year Ago EPS,5.68
0,345,9,2,2018-07-03 01:47:52,Current Qtr. (Jun 2018),No. of Analysts,16
1,345,9,2,2018-07-03 01:47:52,Current Qtr. (Jun 2018),Avg. Estimate,16.1B
2,345,9,2,2018-07-03 01:47:52,Current Qtr. (Jun 2018),Low Estimate,15.94B
3,345,9,2,2018-07-03 01:47:52,Current Qtr. (Jun 2018),High Estimate,16.34B
4,345,9,2,2018-07-03 01:47:52,Current Qtr. (Jun 2018),Year Ago Sales,15.71B
5,345,9,2,2018-07-03 01:47:52,Current Qtr. (Jun 2018),Sales Growth (year/est),2.50%
6,345,9,2,2018-07-03 01:47:52,Next Qtr. (Sep 2018),No. of Analysts,15
7,345,9,2,2018-07-03 01:47:52,Next Qtr. (Sep 2018),Avg. Estimate,16.65B
8,345,9,2,2018-07-03 01:47:52,Next Qtr. (Sep 2018),Low Estimate,16.35B
9,345,9,2,2018-07-03 01:47:52,Next Qtr. (Sep 2018),High Estimate,16.89B
10,345,9,2,2018-07-03 01:47:52,Next Qtr. (Sep 2018),Year Ago Sales,16.24B
11,345,9,2,2018-07-03 01:47:52,Next Qtr. (Sep 2018),Sales Growth (year/est),2.50%
12,345,9,2,2018-07-03 01:47:52,Current Year (2018),No. of Analysts,22
13,345,9,2,2018-07-03 01:47:52,Current Year (2018),Avg. Estimate,65.33B
14,345,9,2,2018-07-03 01:47:52,Current Year (2018),Low Estimate,64.44B
15,345,9,2,2018-07-03 01:47:52,Current Year (2018),High Estimate,66.01B
16,345,9,2,2018-07-03 01:47:52,Current Year (2018),Year Ago Sales,63.52B
17,345,9,2,2018-07-03 01:47:52,Current Year (2018),Sales Growth (year/est),2.80%
18,345,9,2,2018-07-03 01:47:52,Next Year (2019),No. of Analysts,22
19,345,9,2,2018-07-03 01:47:52,Next Year (2019),Avg. Estimate,67.36B
20,345,9,2,2018-07-03 01:47:52,Next Year (2019),Low Estimate,65.9B
21,345,9,2,2018-07-03 01:47:52,Next Year (2019),High Estimate,68.43B
22,345,9,2,2018-07-03 01:47:52,Next Year (2019),Year Ago Sales,65.33B
23,345,9,2,2018-07-03 01:47:52,Next Year (2019),Sales Growth (year/est),3.10%
0,345,10,2,2018-07-03 01:47:52,6/29/2017,EPS Est.,1.4
1,345,10,2,2018-07-03 01:47:52,6/29/2017,EPS Actual,1.5
2,345,10,2,2018-07-03 01:47:52,6/29/2017,Difference,0.1
3,345,10,2,2018-07-03 01:47:52,6/29/2017,Surprise %,7.10%
4,345,10,2,2018-07-03 01:47:52,9/29/2017,EPS Est.,1.44
