,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,344,8,2,2018-07-03 01:47:30,Current Qtr. (Jun 2018),No. of Analysts,19.0
1,344,8,2,2018-07-03 01:47:30,Current Qtr. (Jun 2018),Avg. Estimate,0.74
2,344,8,2,2018-07-03 01:47:30,Current Qtr. (Jun 2018),Low Estimate,0.68
3,344,8,2,2018-07-03 01:47:30,Current Qtr. (Jun 2018),High Estimate,0.79
4,344,8,2,2018-07-03 01:47:30,Current Qtr. (Jun 2018),Year Ago EPS,0.32
5,344,8,2,2018-07-03 01:47:30,Next Qtr. (Sep 2018),No. of Analysts,19.0
6,344,8,2,2018-07-03 01:47:30,Next Qtr. (Sep 2018),Avg. Estimate,0.84
7,344,8,2,2018-07-03 01:47:30,Next Qtr. (Sep 2018),Low Estimate,0.76
8,344,8,2,2018-07-03 01:47:30,Next Qtr. (Sep 2018),High Estimate,1.0
9,344,8,2,2018-07-03 01:47:30,Next Qtr. (Sep 2018),Year Ago EPS,0.58
10,344,8,2,2018-07-03 01:47:30,Current Year (2018),No. of Analysts,21.0
11,344,8,2,2018-07-03 01:47:30,Current Year (2018),Avg. Estimate,3.31
12,344,8,2,2018-07-03 01:47:30,Current Year (2018),Low Estimate,3.13
13,344,8,2,2018-07-03 01:47:30,Current Year (2018),High Estimate,3.55
14,344,8,2,2018-07-03 01:47:30,Current Year (2018),Year Ago EPS,2.06
15,344,8,2,2018-07-03 01:47:30,Next Year (2019),No. of Analysts,21.0
16,344,8,2,2018-07-03 01:47:30,Next Year (2019),Avg. Estimate,3.72
17,344,8,2,2018-07-03 01:47:30,Next Year (2019),Low Estimate,3.38
18,344,8,2,2018-07-03 01:47:30,Next Year (2019),High Estimate,4.14
19,344,8,2,2018-07-03 01:47:30,Next Year (2019),Year Ago EPS,3.31
0,344,9,2,2018-07-03 01:47:30,Current Qtr. (Jun 2018),No. of Analysts,13
1,344,9,2,2018-07-03 01:47:30,Current Qtr. (Jun 2018),Avg. Estimate,2.37B
2,344,9,2,2018-07-03 01:47:30,Current Qtr. (Jun 2018),Low Estimate,2.28B
3,344,9,2,2018-07-03 01:47:30,Current Qtr. (Jun 2018),High Estimate,2.47B
4,344,9,2,2018-07-03 01:47:30,Current Qtr. (Jun 2018),Year Ago Sales,2.02B
5,344,9,2,2018-07-03 01:47:30,Current Qtr. (Jun 2018),Sales Growth (year/est),17.20%
