,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,499,8,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),No. of Analysts,12.0
1,499,8,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),Avg. Estimate,1.97
2,499,8,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),Low Estimate,1.95
3,499,8,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),High Estimate,2.0
4,499,8,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),Year Ago EPS,1.52
5,499,8,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),No. of Analysts,11.0
6,499,8,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),Avg. Estimate,2.24
7,499,8,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),Low Estimate,2.11
8,499,8,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),High Estimate,2.36
9,499,8,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),Year Ago EPS,1.68
10,499,8,2,2018-07-03 02:45:28,Current Year (2018),No. of Analysts,14.0
11,499,8,2,2018-07-03 02:45:28,Current Year (2018),Avg. Estimate,7.94
12,499,8,2,2018-07-03 02:45:28,Current Year (2018),Low Estimate,7.75
13,499,8,2,2018-07-03 02:45:28,Current Year (2018),High Estimate,8.15
14,499,8,2,2018-07-03 02:45:28,Current Year (2018),Year Ago EPS,6.02
15,499,8,2,2018-07-03 02:45:28,Next Year (2019),No. of Analysts,15.0
16,499,8,2,2018-07-03 02:45:28,Next Year (2019),Avg. Estimate,8.88
17,499,8,2,2018-07-03 02:45:28,Next Year (2019),Low Estimate,7.97
18,499,8,2,2018-07-03 02:45:28,Next Year (2019),High Estimate,9.65
19,499,8,2,2018-07-03 02:45:28,Next Year (2019),Year Ago EPS,7.94
0,499,9,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),No. of Analysts,8
1,499,9,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),Avg. Estimate,1.73B
2,499,9,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),Low Estimate,1.7B
3,499,9,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),High Estimate,1.76B
4,499,9,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),Year Ago Sales,1.58B
5,499,9,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),Sales Growth (year/est),9.00%
6,499,9,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),No. of Analysts,8
7,499,9,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),Avg. Estimate,1.75B
8,499,9,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),Low Estimate,1.66B
9,499,9,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),High Estimate,1.85B
10,499,9,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),Year Ago Sales,1.64B
11,499,9,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),Sales Growth (year/est),6.70%
12,499,9,2,2018-07-03 02:45:28,Current Year (2018),No. of Analysts,11
13,499,9,2,2018-07-03 02:45:28,Current Year (2018),Avg. Estimate,6.95B
14,499,9,2,2018-07-03 02:45:28,Current Year (2018),Low Estimate,6.71B
15,499,9,2,2018-07-03 02:45:28,Current Year (2018),High Estimate,7.16B
16,499,9,2,2018-07-03 02:45:28,Current Year (2018),Year Ago Sales,6.44B
17,499,9,2,2018-07-03 02:45:28,Current Year (2018),Sales Growth (year/est),7.80%
18,499,9,2,2018-07-03 02:45:28,Next Year (2019),No. of Analysts,12
19,499,9,2,2018-07-03 02:45:28,Next Year (2019),Avg. Estimate,7.21B
20,499,9,2,2018-07-03 02:45:28,Next Year (2019),Low Estimate,6.8B
21,499,9,2,2018-07-03 02:45:28,Next Year (2019),High Estimate,7.68B
22,499,9,2,2018-07-03 02:45:28,Next Year (2019),Year Ago Sales,6.95B
23,499,9,2,2018-07-03 02:45:28,Next Year (2019),Sales Growth (year/est),3.70%
0,499,10,2,2018-07-03 02:45:28,6/29/2017,EPS Est.,1.47
1,499,10,2,2018-07-03 02:45:28,6/29/2017,EPS Actual,1.52
2,499,10,2,2018-07-03 02:45:28,6/29/2017,Difference,0.05
3,499,10,2,2018-07-03 02:45:28,6/29/2017,Surprise %,3.40%
4,499,10,2,2018-07-03 02:45:28,9/29/2017,EPS Est.,1.68
5,499,10,2,2018-07-03 02:45:28,9/29/2017,EPS Actual,1.68
6,499,10,2,2018-07-03 02:45:28,9/29/2017,Difference,0
7,499,10,2,2018-07-03 02:45:28,9/29/2017,Surprise %,0.00%
8,499,10,2,2018-07-03 02:45:28,12/30/2017,EPS Est.,1.51
9,499,10,2,2018-07-03 02:45:28,12/30/2017,EPS Actual,1.56
10,499,10,2,2018-07-03 02:45:28,12/30/2017,Difference,0.05
11,499,10,2,2018-07-03 02:45:28,12/30/2017,Surprise %,3.30%
12,499,10,2,2018-07-03 02:45:28,3/30/2018,EPS Est.,1.53
13,499,10,2,2018-07-03 02:45:28,3/30/2018,EPS Actual,1.55
14,499,10,2,2018-07-03 02:45:28,3/30/2018,Difference,0.02
15,499,10,2,2018-07-03 02:45:28,3/30/2018,Surprise %,1.30%
0,499,11,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),Current Estimate,1.97
1,499,11,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),7 Days Ago,1.97
2,499,11,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),30 Days Ago,1.97
3,499,11,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),60 Days Ago,1.95
4,499,11,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),90 Days Ago,1.88
5,499,11,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),Current Estimate,2.24
6,499,11,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),7 Days Ago,2.24
7,499,11,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),30 Days Ago,2.24
8,499,11,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),60 Days Ago,2.22
9,499,11,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),90 Days Ago,2.18
10,499,11,2,2018-07-03 02:45:28,Current Year (2018),Current Estimate,7.94
11,499,11,2,2018-07-03 02:45:28,Current Year (2018),7 Days Ago,7.94
12,499,11,2,2018-07-03 02:45:28,Current Year (2018),30 Days Ago,7.94
13,499,11,2,2018-07-03 02:45:28,Current Year (2018),60 Days Ago,7.92
14,499,11,2,2018-07-03 02:45:28,Current Year (2018),90 Days Ago,7.68
15,499,11,2,2018-07-03 02:45:28,Next Year (2019),Current Estimate,8.88
16,499,11,2,2018-07-03 02:45:28,Next Year (2019),7 Days Ago,8.88
17,499,11,2,2018-07-03 02:45:28,Next Year (2019),30 Days Ago,8.87
18,499,11,2,2018-07-03 02:45:28,Next Year (2019),60 Days Ago,8.82
19,499,11,2,2018-07-03 02:45:28,Next Year (2019),90 Days Ago,8.64
0,499,12,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),Up Last 7 Days,
1,499,12,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),Up Last 30 Days,1.0
2,499,12,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),Down Last 7 Days,
3,499,12,2,2018-07-03 02:45:28,Current Qtr. (Jun 2018),Down Last 30 Days,
4,499,12,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),Up Last 7 Days,
5,499,12,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),Up Last 30 Days,1.0
6,499,12,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),Down Last 7 Days,
7,499,12,2,2018-07-03 02:45:28,Next Qtr. (Sep 2018),Down Last 30 Days,
8,499,12,2,2018-07-03 02:45:28,Current Year (2018),Up Last 7 Days,
9,499,12,2,2018-07-03 02:45:28,Current Year (2018),Up Last 30 Days,2.0
10,499,12,2,2018-07-03 02:45:28,Current Year (2018),Down Last 7 Days,
11,499,12,2,2018-07-03 02:45:28,Current Year (2018),Down Last 30 Days,
12,499,12,2,2018-07-03 02:45:28,Next Year (2019),Up Last 7 Days,
13,499,12,2,2018-07-03 02:45:28,Next Year (2019),Up Last 30 Days,1.0
14,499,12,2,2018-07-03 02:45:28,Next Year (2019),Down Last 7 Days,
15,499,12,2,2018-07-03 02:45:28,Next Year (2019),Down Last 30 Days,
0,499,13,2,2018-07-03 02:45:28,Current Qtr.,PKG,29.60%
1,499,13,2,2018-07-03 02:45:28,Next Qtr.,PKG,33.30%
2,499,13,2,2018-07-03 02:45:28,Current Year,PKG,31.90%
3,499,13,2,2018-07-03 02:45:28,Next Year,PKG,11.80%
4,499,13,2,2018-07-03 02:45:28,Next 5 Years (per annum),PKG,11.35%
5,499,13,2,2018-07-03 02:45:28,Past 5 Years (per annum),PKG,14.18%
6,499,13,2,2018-07-03 02:45:28,Current Qtr.,Industry,
7,499,13,2,2018-07-03 02:45:28,Next Qtr.,Industry,
8,499,13,2,2018-07-03 02:45:28,Current Year,Industry,
9,499,13,2,2018-07-03 02:45:28,Next Year,Industry,
10,499,13,2,2018-07-03 02:45:28,Next 5 Years (per annum),Industry,
11,499,13,2,2018-07-03 02:45:28,Past 5 Years (per annum),Industry,
12,499,13,2,2018-07-03 02:45:28,Current Qtr.,Sector,
13,499,13,2,2018-07-03 02:45:28,Next Qtr.,Sector,
14,499,13,2,2018-07-03 02:45:28,Current Year,Sector,
