,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,354,8,2,2018-07-03 01:51:14,Current Qtr. (Jun 2018),No. of Analysts,8.0
1,354,8,2,2018-07-03 01:51:14,Current Qtr. (Jun 2018),Avg. Estimate,0.54
2,354,8,2,2018-07-03 01:51:14,Current Qtr. (Jun 2018),Low Estimate,0.5
3,354,8,2,2018-07-03 01:51:14,Current Qtr. (Jun 2018),High Estimate,0.59
4,354,8,2,2018-07-03 01:51:14,Current Qtr. (Jun 2018),Year Ago EPS,0.52
5,354,8,2,2018-07-03 01:51:14,Next Qtr. (Sep 2018),No. of Analysts,8.0
6,354,8,2,2018-07-03 01:51:14,Next Qtr. (Sep 2018),Avg. Estimate,0.59
7,354,8,2,2018-07-03 01:51:14,Next Qtr. (Sep 2018),Low Estimate,0.53
8,354,8,2,2018-07-03 01:51:14,Next Qtr. (Sep 2018),High Estimate,0.73
9,354,8,2,2018-07-03 01:51:14,Next Qtr. (Sep 2018),Year Ago EPS,0.56
10,354,8,2,2018-07-03 01:51:14,Current Year (2018),No. of Analysts,14.0
11,354,8,2,2018-07-03 01:51:14,Current Year (2018),Avg. Estimate,2.32
12,354,8,2,2018-07-03 01:51:14,Current Year (2018),Low Estimate,2.28
13,354,8,2,2018-07-03 01:51:14,Current Year (2018),High Estimate,2.39
14,354,8,2,2018-07-03 01:51:14,Current Year (2018),Year Ago EPS,2.25
15,354,8,2,2018-07-03 01:51:14,Next Year (2019),No. of Analysts,15.0
16,354,8,2,2018-07-03 01:51:14,Next Year (2019),Avg. Estimate,2.44
17,354,8,2,2018-07-03 01:51:14,Next Year (2019),Low Estimate,2.39
18,354,8,2,2018-07-03 01:51:14,Next Year (2019),High Estimate,2.5
19,354,8,2,2018-07-03 01:51:14,Next Year (2019),Year Ago EPS,2.32
0,354,9,2,2018-07-03 01:51:14,Current Qtr. (Jun 2018),No. of Analysts,4
1,354,9,2,2018-07-03 01:51:14,Current Qtr. (Jun 2018),Avg. Estimate,1.76B
2,354,9,2,2018-07-03 01:51:14,Current Qtr. (Jun 2018),Low Estimate,1.7B
3,354,9,2,2018-07-03 01:51:14,Current Qtr. (Jun 2018),High Estimate,1.81B
4,354,9,2,2018-07-03 01:51:14,Current Qtr. (Jun 2018),Year Ago Sales,1.73B
5,354,9,2,2018-07-03 01:51:14,Current Qtr. (Jun 2018),Sales Growth (year/est),2.10%
6,354,9,2,2018-07-03 01:51:14,Next Qtr. (Sep 2018),No. of Analysts,4
7,354,9,2,2018-07-03 01:51:14,Next Qtr. (Sep 2018),Avg. Estimate,1.98B
8,354,9,2,2018-07-03 01:51:14,Next Qtr. (Sep 2018),Low Estimate,1.82B
9,354,9,2,2018-07-03 01:51:14,Next Qtr. (Sep 2018),High Estimate,2.3B
10,354,9,2,2018-07-03 01:51:14,Next Qtr. (Sep 2018),Year Ago Sales,1.84B
11,354,9,2,2018-07-03 01:51:14,Next Qtr. (Sep 2018),Sales Growth (year/est),7.10%
12,354,9,2,2018-07-03 01:51:14,Current Year (2018),No. of Analysts,10
13,354,9,2,2018-07-03 01:51:14,Current Year (2018),Avg. Estimate,7.64B
14,354,9,2,2018-07-03 01:51:14,Current Year (2018),Low Estimate,7.52B
15,354,9,2,2018-07-03 01:51:14,Current Year (2018),High Estimate,7.83B
16,354,9,2,2018-07-03 01:51:14,Current Year (2018),Year Ago Sales,7.45B
17,354,9,2,2018-07-03 01:51:14,Current Year (2018),Sales Growth (year/est),2.60%
18,354,9,2,2018-07-03 01:51:14,Next Year (2019),No. of Analysts,11
19,354,9,2,2018-07-03 01:51:14,Next Year (2019),Avg. Estimate,8.01B
20,354,9,2,2018-07-03 01:51:14,Next Year (2019),Low Estimate,7.67B
