,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,479,8,2,2018-07-03 02:38:04,Current Qtr. (Jun 2018),No. of Analysts,11.0
1,479,8,2,2018-07-03 02:38:04,Current Qtr. (Jun 2018),Avg. Estimate,5.45
2,479,8,2,2018-07-03 02:38:04,Current Qtr. (Jun 2018),Low Estimate,4.78
3,479,8,2,2018-07-03 02:38:04,Current Qtr. (Jun 2018),High Estimate,6.04
4,479,8,2,2018-07-03 02:38:04,Current Qtr. (Jun 2018),Year Ago EPS,5.51
5,479,8,2,2018-07-03 02:38:04,Next Qtr. (Sep 2018),No. of Analysts,10.0
6,479,8,2,2018-07-03 02:38:04,Next Qtr. (Sep 2018),Avg. Estimate,3.24
7,479,8,2,2018-07-03 02:38:04,Next Qtr. (Sep 2018),Low Estimate,1.66
8,479,8,2,2018-07-03 02:38:04,Next Qtr. (Sep 2018),High Estimate,4.84
9,479,8,2,2018-07-03 02:38:04,Next Qtr. (Sep 2018),Year Ago EPS,-16.43
10,479,8,2,2018-07-03 02:38:04,Current Year (2018),No. of Analysts,9.0
11,479,8,2,2018-07-03 02:38:04,Current Year (2018),Avg. Estimate,22.05
12,479,8,2,2018-07-03 02:38:04,Current Year (2018),Low Estimate,19.75
13,479,8,2,2018-07-03 02:38:04,Current Year (2018),High Estimate,25.08
14,479,8,2,2018-07-03 02:38:04,Current Year (2018),Year Ago EPS,9.1
15,479,8,2,2018-07-03 02:38:04,Next Year (2019),No. of Analysts,11.0
16,479,8,2,2018-07-03 02:38:04,Next Year (2019),Avg. Estimate,23.75
17,479,8,2,2018-07-03 02:38:04,Next Year (2019),Low Estimate,21.6
18,479,8,2,2018-07-03 02:38:04,Next Year (2019),High Estimate,25.53
19,479,8,2,2018-07-03 02:38:04,Next Year (2019),Year Ago EPS,22.05
0,479,9,2,2018-07-03 02:38:04,Current Qtr. (Jun 2018),No. of Analysts,6
1,479,9,2,2018-07-03 02:38:04,Current Qtr. (Jun 2018),Avg. Estimate,1.64B
2,479,9,2,2018-07-03 02:38:04,Current Qtr. (Jun 2018),Low Estimate,1.58B
3,479,9,2,2018-07-03 02:38:04,Current Qtr. (Jun 2018),High Estimate,1.67B
4,479,9,2,2018-07-03 02:38:04,Current Qtr. (Jun 2018),Year Ago Sales,1.37B
5,479,9,2,2018-07-03 02:38:04,Current Qtr. (Jun 2018),Sales Growth (year/est),19.40%
6,479,9,2,2018-07-03 02:38:04,Next Qtr. (Sep 2018),No. of Analysts,6
7,479,9,2,2018-07-03 02:38:04,Next Qtr. (Sep 2018),Avg. Estimate,1.68B
8,479,9,2,2018-07-03 02:38:04,Next Qtr. (Sep 2018),Low Estimate,1.65B
9,479,9,2,2018-07-03 02:38:04,Next Qtr. (Sep 2018),High Estimate,1.71B
10,479,9,2,2018-07-03 02:38:04,Next Qtr. (Sep 2018),Year Ago Sales,1.6B
11,479,9,2,2018-07-03 02:38:04,Next Qtr. (Sep 2018),Sales Growth (year/est),5.10%
12,479,9,2,2018-07-03 02:38:04,Current Year (2018),No. of Analysts,6
13,479,9,2,2018-07-03 02:38:04,Current Year (2018),Avg. Estimate,6.68B
14,479,9,2,2018-07-03 02:38:04,Current Year (2018),Low Estimate,6.58B
15,479,9,2,2018-07-03 02:38:04,Current Year (2018),High Estimate,6.78B
16,479,9,2,2018-07-03 02:38:04,Current Year (2018),Year Ago Sales,5.94B
17,479,9,2,2018-07-03 02:38:04,Current Year (2018),Sales Growth (year/est),12.50%
18,479,9,2,2018-07-03 02:38:04,Next Year (2019),No. of Analysts,7
19,479,9,2,2018-07-03 02:38:04,Next Year (2019),Avg. Estimate,7.29B
20,479,9,2,2018-07-03 02:38:04,Next Year (2019),Low Estimate,6.75B
21,479,9,2,2018-07-03 02:38:04,Next Year (2019),High Estimate,8.1B
22,479,9,2,2018-07-03 02:38:04,Next Year (2019),Year Ago Sales,6.68B
23,479,9,2,2018-07-03 02:38:04,Next Year (2019),Sales Growth (year/est),9.10%
0,479,10,2,2018-07-03 02:38:04,6/29/2017,EPS Est.,5.24
1,479,10,2,2018-07-03 02:38:04,6/29/2017,EPS Actual,5.51
2,479,10,2,2018-07-03 02:38:04,6/29/2017,Difference,0.27
3,479,10,2,2018-07-03 02:38:04,6/29/2017,Surprise %,5.20%
4,479,10,2,2018-07-03 02:38:04,9/29/2017,EPS Est.,-15.99
5,479,10,2,2018-07-03 02:38:04,9/29/2017,EPS Actual,-16.43
6,479,10,2,2018-07-03 02:38:04,9/29/2017,Difference,-0.44
7,479,10,2,2018-07-03 02:38:04,9/29/2017,Surprise %,-2.80%
8,479,10,2,2018-07-03 02:38:04,12/30/2017,EPS Est.,5.17
9,479,10,2,2018-07-03 02:38:04,12/30/2017,EPS Actual,13.48
