,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,503,8,2,2018-07-03 02:46:59,Current Qtr. (Jun 2018),No. of Analysts,13.0
1,503,8,2,2018-07-03 02:46:59,Current Qtr. (Jun 2018),Avg. Estimate,0.19
2,503,8,2,2018-07-03 02:46:59,Current Qtr. (Jun 2018),Low Estimate,0.11
3,503,8,2,2018-07-03 02:46:59,Current Qtr. (Jun 2018),High Estimate,0.31
4,503,8,2,2018-07-03 02:46:59,Current Qtr. (Jun 2018),Year Ago EPS,0.08
5,503,8,2,2018-07-03 02:46:59,Next Qtr. (Sep 2018),No. of Analysts,15.0
6,503,8,2,2018-07-03 02:46:59,Next Qtr. (Sep 2018),Avg. Estimate,0.22
7,503,8,2,2018-07-03 02:46:59,Next Qtr. (Sep 2018),Low Estimate,0.16
8,503,8,2,2018-07-03 02:46:59,Next Qtr. (Sep 2018),High Estimate,0.31
9,503,8,2,2018-07-03 02:46:59,Next Qtr. (Sep 2018),Year Ago EPS,0.41
10,503,8,2,2018-07-03 02:46:59,Current Year (2018),No. of Analysts,17.0
11,503,8,2,2018-07-03 02:46:59,Current Year (2018),Avg. Estimate,0.91
12,503,8,2,2018-07-03 02:46:59,Current Year (2018),Low Estimate,0.77
13,503,8,2,2018-07-03 02:46:59,Current Year (2018),High Estimate,1.31
14,503,8,2,2018-07-03 02:46:59,Current Year (2018),Year Ago EPS,0.86
15,503,8,2,2018-07-03 02:46:59,Next Year (2019),No. of Analysts,16.0
16,503,8,2,2018-07-03 02:46:59,Next Year (2019),Avg. Estimate,1.67
17,503,8,2,2018-07-03 02:46:59,Next Year (2019),Low Estimate,1.15
18,503,8,2,2018-07-03 02:46:59,Next Year (2019),High Estimate,2.1
19,503,8,2,2018-07-03 02:46:59,Next Year (2019),Year Ago EPS,0.91
0,503,9,2,2018-07-03 02:46:59,Current Qtr. (Jun 2018),No. of Analysts,14
1,503,9,2,2018-07-03 02:46:59,Current Qtr. (Jun 2018),Avg. Estimate,458.99M
2,503,9,2,2018-07-03 02:46:59,Current Qtr. (Jun 2018),Low Estimate,451.68M
