,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,386,8,2,2018-07-03 02:03:03,Current Qtr. (Jun 2018),No. of Analysts,28.0
1,386,8,2,2018-07-03 02:03:03,Current Qtr. (Jun 2018),Avg. Estimate,0.43
2,386,8,2,2018-07-03 02:03:03,Current Qtr. (Jun 2018),Low Estimate,0.42
3,386,8,2,2018-07-03 02:03:03,Current Qtr. (Jun 2018),High Estimate,0.47
4,386,8,2,2018-07-03 02:03:03,Current Qtr. (Jun 2018),Year Ago EPS,0.35
5,386,8,2,2018-07-03 02:03:03,Next Qtr. (Sep 2018),No. of Analysts,28.0
6,386,8,2,2018-07-03 02:03:03,Next Qtr. (Sep 2018),Avg. Estimate,0.52
7,386,8,2,2018-07-03 02:03:03,Next Qtr. (Sep 2018),Low Estimate,0.47
8,386,8,2,2018-07-03 02:03:03,Next Qtr. (Sep 2018),High Estimate,0.58
9,386,8,2,2018-07-03 02:03:03,Next Qtr. (Sep 2018),Year Ago EPS,0.42
10,386,8,2,2018-07-03 02:03:03,Current Year (2018),No. of Analysts,32.0
11,386,8,2,2018-07-03 02:03:03,Current Year (2018),Avg. Estimate,1.94
12,386,8,2,2018-07-03 02:03:03,Current Year (2018),Low Estimate,1.79
13,386,8,2,2018-07-03 02:03:03,Current Year (2018),High Estimate,2.23
14,386,8,2,2018-07-03 02:03:03,Current Year (2018),Year Ago EPS,1.5
15,386,8,2,2018-07-03 02:03:03,Next Year (2019),No. of Analysts,33.0
16,386,8,2,2018-07-03 02:03:03,Next Year (2019),Avg. Estimate,2.89
17,386,8,2,2018-07-03 02:03:03,Next Year (2019),Low Estimate,2.18
18,386,8,2,2018-07-03 02:03:03,Next Year (2019),High Estimate,4.0
19,386,8,2,2018-07-03 02:03:03,Next Year (2019),Year Ago EPS,1.94
0,386,9,2,2018-07-03 02:03:03,Current Qtr. (Jun 2018),No. of Analysts,22
1,386,9,2,2018-07-03 02:03:03,Current Qtr. (Jun 2018),Avg. Estimate,8.34B
2,386,9,2,2018-07-03 02:03:03,Current Qtr. (Jun 2018),Low Estimate,8.23B
3,386,9,2,2018-07-03 02:03:03,Current Qtr. (Jun 2018),High Estimate,8.51B
4,386,9,2,2018-07-03 02:03:03,Current Qtr. (Jun 2018),Year Ago Sales,7.46B
5,386,9,2,2018-07-03 02:03:03,Current Qtr. (Jun 2018),Sales Growth (year/est),11.80%
6,386,9,2,2018-07-03 02:03:03,Next Qtr. (Sep 2018),No. of Analysts,22
7,386,9,2,2018-07-03 02:03:03,Next Qtr. (Sep 2018),Avg. Estimate,8.82B
8,386,9,2,2018-07-03 02:03:03,Next Qtr. (Sep 2018),Low Estimate,8.54B
9,386,9,2,2018-07-03 02:03:03,Next Qtr. (Sep 2018),High Estimate,9.31B
10,386,9,2,2018-07-03 02:03:03,Next Qtr. (Sep 2018),Year Ago Sales,7.91B
11,386,9,2,2018-07-03 02:03:03,Next Qtr. (Sep 2018),Sales Growth (year/est),11.60%
12,386,9,2,2018-07-03 02:03:03,Current Year (2018),No. of Analysts,27
13,386,9,2,2018-07-03 02:03:03,Current Year (2018),Avg. Estimate,34.14B
14,386,9,2,2018-07-03 02:03:03,Current Year (2018),Low Estimate,33.22B
15,386,9,2,2018-07-03 02:03:03,Current Year (2018),High Estimate,35.23B
16,386,9,2,2018-07-03 02:03:03,Current Year (2018),Year Ago Sales,30.44B
17,386,9,2,2018-07-03 02:03:03,Current Year (2018),Sales Growth (year/est),12.10%
18,386,9,2,2018-07-03 02:03:03,Next Year (2019),No. of Analysts,29
