,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,394,8,2,2018-07-03 02:05:59,Current Qtr. (Aug 2018),No. of Analysts,18.0
1,394,8,2,2018-07-03 02:05:59,Current Qtr. (Aug 2018),Avg. Estimate,2.73
2,394,8,2,2018-07-03 02:05:59,Current Qtr. (Aug 2018),Low Estimate,2.48
3,394,8,2,2018-07-03 02:05:59,Current Qtr. (Aug 2018),High Estimate,2.96
4,394,8,2,2018-07-03 02:05:59,Current Qtr. (Aug 2018),Year Ago EPS,2.47
5,394,8,2,2018-07-03 02:05:59,Next Qtr. (Nov 2018),No. of Analysts,18.0
6,394,8,2,2018-07-03 02:05:59,Next Qtr. (Nov 2018),Avg. Estimate,2.4
7,394,8,2,2018-07-03 02:05:59,Next Qtr. (Nov 2018),Low Estimate,2.14
8,394,8,2,2018-07-03 02:05:59,Next Qtr. (Nov 2018),High Estimate,2.55
9,394,8,2,2018-07-03 02:05:59,Next Qtr. (Nov 2018),Year Ago EPS,2.0
10,394,8,2,2018-07-03 02:05:59,Current Year (2019),No. of Analysts,22.0
11,394,8,2,2018-07-03 02:05:59,Current Year (2019),Avg. Estimate,9.67
12,394,8,2,2018-07-03 02:05:59,Current Year (2019),Low Estimate,9.5
13,394,8,2,2018-07-03 02:05:59,Current Year (2019),High Estimate,10.01
14,394,8,2,2018-07-03 02:05:59,Current Year (2019),Year Ago EPS,8.72
15,394,8,2,2018-07-03 02:05:59,Next Year (2020),No. of Analysts,23.0
16,394,8,2,2018-07-03 02:05:59,Next Year (2020),Avg. Estimate,10.86
17,394,8,2,2018-07-03 02:05:59,Next Year (2020),Low Estimate,10.5
18,394,8,2,2018-07-03 02:05:59,Next Year (2020),High Estimate,11.63
19,394,8,2,2018-07-03 02:05:59,Next Year (2020),Year Ago EPS,9.67
0,394,9,2,2018-07-03 02:05:59,Current Qtr. (Aug 2018),No. of Analysts,13
1,394,9,2,2018-07-03 02:05:59,Current Qtr. (Aug 2018),Avg. Estimate,2.25B
