,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,396,8,2,2018-07-03 02:06:41,Current Qtr. (Jun 2018),No. of Analysts,18.0
1,396,8,2,2018-07-03 02:06:41,Current Qtr. (Jun 2018),Avg. Estimate,2.04
2,396,8,2,2018-07-03 02:06:41,Current Qtr. (Jun 2018),Low Estimate,2.0
3,396,8,2,2018-07-03 02:06:41,Current Qtr. (Jun 2018),High Estimate,2.07
4,396,8,2,2018-07-03 02:06:41,Current Qtr. (Jun 2018),Year Ago EPS,2.01
5,396,8,2,2018-07-03 02:06:41,Next Qtr. (Sep 2018),No. of Analysts,18.0
6,396,8,2,2018-07-03 02:06:41,Next Qtr. (Sep 2018),Avg. Estimate,2.58
7,396,8,2,2018-07-03 02:06:41,Next Qtr. (Sep 2018),Low Estimate,2.32
8,396,8,2,2018-07-03 02:06:41,Next Qtr. (Sep 2018),High Estimate,2.82
9,396,8,2,2018-07-03 02:06:41,Next Qtr. (Sep 2018),Year Ago EPS,1.95
10,396,8,2,2018-07-03 02:06:41,Current Year (2018),No. of Analysts,20.0
11,396,8,2,2018-07-03 02:06:41,Current Year (2018),Avg. Estimate,8.42
12,396,8,2,2018-07-03 02:06:41,Current Year (2018),Low Estimate,8.33
13,396,8,2,2018-07-03 02:06:41,Current Year (2018),High Estimate,8.54
14,396,8,2,2018-07-03 02:06:41,Current Year (2018),Year Ago EPS,7.45
15,396,8,2,2018-07-03 02:06:41,Next Year (2019),No. of Analysts,21.0
16,396,8,2,2018-07-03 02:06:41,Next Year (2019),Avg. Estimate,9.44
17,396,8,2,2018-07-03 02:06:41,Next Year (2019),Low Estimate,9.13
18,396,8,2,2018-07-03 02:06:41,Next Year (2019),High Estimate,9.65
19,396,8,2,2018-07-03 02:06:41,Next Year (2019),Year Ago EPS,8.42
0,396,9,2,2018-07-03 02:06:41,Current Qtr. (Jun 2018),No. of Analysts,17
1,396,9,2,2018-07-03 02:06:41,Current Qtr. (Jun 2018),Avg. Estimate,3.5B
2,396,9,2,2018-07-03 02:06:41,Current Qtr. (Jun 2018),Low Estimate,3.45B
3,396,9,2,2018-07-03 02:06:41,Current Qtr. (Jun 2018),High Estimate,3.58B
