,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,398,8,2,2018-07-03 02:07:29,Current Qtr. (Jun 2018),No. of Analysts,4.0
1,398,8,2,2018-07-03 02:07:29,Current Qtr. (Jun 2018),Avg. Estimate,0.82
2,398,8,2,2018-07-03 02:07:29,Current Qtr. (Jun 2018),Low Estimate,0.73
3,398,8,2,2018-07-03 02:07:29,Current Qtr. (Jun 2018),High Estimate,0.85
4,398,8,2,2018-07-03 02:07:29,Current Qtr. (Jun 2018),Year Ago EPS,0.79
5,398,8,2,2018-07-03 02:07:29,Next Qtr. (Sep 2018),No. of Analysts,4.0
6,398,8,2,2018-07-03 02:07:29,Next Qtr. (Sep 2018),Avg. Estimate,0.94
7,398,8,2,2018-07-03 02:07:29,Next Qtr. (Sep 2018),Low Estimate,0.89
8,398,8,2,2018-07-03 02:07:29,Next Qtr. (Sep 2018),High Estimate,0.98
9,398,8,2,2018-07-03 02:07:29,Next Qtr. (Sep 2018),Year Ago EPS,0.74
10,398,8,2,2018-07-03 02:07:29,Current Year (2018),No. of Analysts,7.0
11,398,8,2,2018-07-03 02:07:29,Current Year (2018),Avg. Estimate,3.38
12,398,8,2,2018-07-03 02:07:29,Current Year (2018),Low Estimate,3.0
13,398,8,2,2018-07-03 02:07:29,Current Year (2018),High Estimate,3.59
14,398,8,2,2018-07-03 02:07:29,Current Year (2018),Year Ago EPS,3.05
15,398,8,2,2018-07-03 02:07:29,Next Year (2019),No. of Analysts,7.0
16,398,8,2,2018-07-03 02:07:29,Next Year (2019),Avg. Estimate,3.51
17,398,8,2,2018-07-03 02:07:29,Next Year (2019),Low Estimate,3.39
18,398,8,2,2018-07-03 02:07:29,Next Year (2019),High Estimate,3.63
19,398,8,2,2018-07-03 02:07:29,Next Year (2019),Year Ago EPS,3.38
0,398,9,2,2018-07-03 02:07:29,Current Qtr. (Jun 2018),No. of Analysts,3
1,398,9,2,2018-07-03 02:07:29,Current Qtr. (Jun 2018),Avg. Estimate,39.32B
2,398,9,2,2018-07-03 02:07:29,Current Qtr. (Jun 2018),Low Estimate,38.42B
3,398,9,2,2018-07-03 02:07:29,Current Qtr. (Jun 2018),High Estimate,40B
4,398,9,2,2018-07-03 02:07:29,Current Qtr. (Jun 2018),Year Ago Sales,39.84B
5,398,9,2,2018-07-03 02:07:29,Current Qtr. (Jun 2018),Sales Growth (year/est),-1.30%
6,398,9,2,2018-07-03 02:07:29,Next Qtr. (Sep 2018),No. of Analysts,3
7,398,9,2,2018-07-03 02:07:29,Next Qtr. (Sep 2018),Avg. Estimate,46.1B
8,398,9,2,2018-07-03 02:07:29,Next Qtr. (Sep 2018),Low Estimate,45.76B
9,398,9,2,2018-07-03 02:07:29,Next Qtr. (Sep 2018),High Estimate,46.55B
10,398,9,2,2018-07-03 02:07:29,Next Qtr. (Sep 2018),Year Ago Sales,39.76B
11,398,9,2,2018-07-03 02:07:29,Next Qtr. (Sep 2018),Sales Growth (year/est),16.00%
12,398,9,2,2018-07-03 02:07:29,Current Year (2018),No. of Analysts,6
13,398,9,2,2018-07-03 02:07:29,Current Year (2018),Avg. Estimate,172.98B
14,398,9,2,2018-07-03 02:07:29,Current Year (2018),Low Estimate,171.6B
15,398,9,2,2018-07-03 02:07:29,Current Year (2018),High Estimate,174.18B
16,398,9,2,2018-07-03 02:07:29,Current Year (2018),Year Ago Sales,160.79B
17,398,9,2,2018-07-03 02:07:29,Current Year (2018),Sales Growth (year/est),7.60%
18,398,9,2,2018-07-03 02:07:29,Next Year (2019),No. of Analysts,6
19,398,9,2,2018-07-03 02:07:29,Next Year (2019),Avg. Estimate,186.16B
20,398,9,2,2018-07-03 02:07:29,Next Year (2019),Low Estimate,184.66B
21,398,9,2,2018-07-03 02:07:29,Next Year (2019),High Estimate,187.2B
22,398,9,2,2018-07-03 02:07:29,Next Year (2019),Year Ago Sales,172.98B
23,398,9,2,2018-07-03 02:07:29,Next Year (2019),Sales Growth (year/est),7.60%
0,398,10,2,2018-07-03 02:07:29,6/29/2017,EPS Est.,0.73
1,398,10,2,2018-07-03 02:07:29,6/29/2017,EPS Actual,0.79
2,398,10,2,2018-07-03 02:07:29,6/29/2017,Difference,0.06
3,398,10,2,2018-07-03 02:07:29,6/29/2017,Surprise %,8.20%
4,398,10,2,2018-07-03 02:07:29,9/29/2017,EPS Est.,0.75
5,398,10,2,2018-07-03 02:07:29,9/29/2017,EPS Actual,0.74
6,398,10,2,2018-07-03 02:07:29,9/29/2017,Difference,-0.01
7,398,10,2,2018-07-03 02:07:29,9/29/2017,Surprise %,-1.30%
8,398,10,2,2018-07-03 02:07:29,12/30/2017,EPS Est.,0.65
9,398,10,2,2018-07-03 02:07:29,12/30/2017,EPS Actual,0.78
10,398,10,2,2018-07-03 02:07:29,12/30/2017,Difference,0.13
11,398,10,2,2018-07-03 02:07:29,12/30/2017,Surprise %,20.00%
12,398,10,2,2018-07-03 02:07:29,3/30/2018,EPS Est.,0.87
13,398,10,2,2018-07-03 02:07:29,3/30/2018,EPS Actual,0.85
14,398,10,2,2018-07-03 02:07:29,3/30/2018,Difference,-0.02
15,398,10,2,2018-07-03 02:07:29,3/30/2018,Surprise %,-2.30%
0,398,11,2,2018-07-03 02:07:29,Current Qtr. (Jun 2018),Current Estimate,0.82
1,398,11,2,2018-07-03 02:07:29,Current Qtr. (Jun 2018),7 Days Ago,0.9
2,398,11,2,2018-07-03 02:07:29,Current Qtr. (Jun 2018),30 Days Ago,0.89
3,398,11,2,2018-07-03 02:07:29,Current Qtr. (Jun 2018),60 Days Ago,0.89
4,398,11,2,2018-07-03 02:07:29,Current Qtr. (Jun 2018),90 Days Ago,0.91
5,398,11,2,2018-07-03 02:07:29,Next Qtr. (Sep 2018),Current Estimate,0.94
6,398,11,2,2018-07-03 02:07:29,Next Qtr. (Sep 2018),7 Days Ago,0.87
7,398,11,2,2018-07-03 02:07:29,Next Qtr. (Sep 2018),30 Days Ago,0.87
8,398,11,2,2018-07-03 02:07:29,Next Qtr. (Sep 2018),60 Days Ago,0.87
9,398,11,2,2018-07-03 02:07:29,Next Qtr. (Sep 2018),90 Days Ago,0.89
10,398,11,2,2018-07-03 02:07:29,Current Year (2018),Current Estimate,3.38
11,398,11,2,2018-07-03 02:07:29,Current Year (2018),7 Days Ago,3.39
12,398,11,2,2018-07-03 02:07:29,Current Year (2018),30 Days Ago,3.39
13,398,11,2,2018-07-03 02:07:29,Current Year (2018),60 Days Ago,3.41
14,398,11,2,2018-07-03 02:07:29,Current Year (2018),90 Days Ago,3.46
15,398,11,2,2018-07-03 02:07:29,Next Year (2019),Current Estimate,3.51
16,398,11,2,2018-07-03 02:07:29,Next Year (2019),7 Days Ago,3.43
17,398,11,2,2018-07-03 02:07:29,Next Year (2019),30 Days Ago,3.44
18,398,11,2,2018-07-03 02:07:29,Next Year (2019),60 Days Ago,3.47
19,398,11,2,2018-07-03 02:07:29,Next Year (2019),90 Days Ago,3.47
