,instrument_id,equity_fundamental_id,data_vendor_id,refreshed_at,Period,Metric,Value
0,413,8,2,2018-07-03 02:13:16,Current Qtr. (Jun 2018),No. of Analysts,14.0
1,413,8,2,2018-07-03 02:13:16,Current Qtr. (Jun 2018),Avg. Estimate,0.69
2,413,8,2,2018-07-03 02:13:16,Current Qtr. (Jun 2018),Low Estimate,0.64
3,413,8,2,2018-07-03 02:13:16,Current Qtr. (Jun 2018),High Estimate,0.75
4,413,8,2,2018-07-03 02:13:16,Current Qtr. (Jun 2018),Year Ago EPS,0.6
5,413,8,2,2018-07-03 02:13:16,Next Qtr. (Sep 2018),No. of Analysts,14.0
6,413,8,2,2018-07-03 02:13:16,Next Qtr. (Sep 2018),Avg. Estimate,0.78
7,413,8,2,2018-07-03 02:13:16,Next Qtr. (Sep 2018),Low Estimate,0.73
8,413,8,2,2018-07-03 02:13:16,Next Qtr. (Sep 2018),High Estimate,0.85
9,413,8,2,2018-07-03 02:13:16,Next Qtr. (Sep 2018),Year Ago EPS,0.65
10,413,8,2,2018-07-03 02:13:16,Current Year (2018),No. of Analysts,15.0
11,413,8,2,2018-07-03 02:13:16,Current Year (2018),Avg. Estimate,3.16
12,413,8,2,2018-07-03 02:13:16,Current Year (2018),Low Estimate,3.05
13,413,8,2,2018-07-03 02:13:16,Current Year (2018),High Estimate,3.26
14,413,8,2,2018-07-03 02:13:16,Current Year (2018),Year Ago EPS,2.45
15,413,8,2,2018-07-03 02:13:16,Next Year (2019),No. of Analysts,15.0
16,413,8,2,2018-07-03 02:13:16,Next Year (2019),Avg. Estimate,3.65
17,413,8,2,2018-07-03 02:13:16,Next Year (2019),Low Estimate,3.5
18,413,8,2,2018-07-03 02:13:16,Next Year (2019),High Estimate,3.9
19,413,8,2,2018-07-03 02:13:16,Next Year (2019),Year Ago EPS,3.16
0,413,9,2,2018-07-03 02:13:16,Current Qtr. (Jun 2018),No. of Analysts,10
1,413,9,2,2018-07-03 02:13:16,Current Qtr. (Jun 2018),Avg. Estimate,3.53B
2,413,9,2,2018-07-03 02:13:16,Current Qtr. (Jun 2018),Low Estimate,3.22B
3,413,9,2,2018-07-03 02:13:16,Current Qtr. (Jun 2018),High Estimate,3.64B
4,413,9,2,2018-07-03 02:13:16,Current Qtr. (Jun 2018),Year Ago Sales,3.6B
5,413,9,2,2018-07-03 02:13:16,Current Qtr. (Jun 2018),Sales Growth (year/est),-2.00%
6,413,9,2,2018-07-03 02:13:16,Next Qtr. (Sep 2018),No. of Analysts,10
7,413,9,2,2018-07-03 02:13:16,Next Qtr. (Sep 2018),Avg. Estimate,3.57B
8,413,9,2,2018-07-03 02:13:16,Next Qtr. (Sep 2018),Low Estimate,3.44B
9,413,9,2,2018-07-03 02:13:16,Next Qtr. (Sep 2018),High Estimate,3.69B
10,413,9,2,2018-07-03 02:13:16,Next Qtr. (Sep 2018),Year Ago Sales,3.48B
11,413,9,2,2018-07-03 02:13:16,Next Qtr. (Sep 2018),Sales Growth (year/est),2.50%
12,413,9,2,2018-07-03 02:13:16,Current Year (2018),No. of Analysts,14
13,413,9,2,2018-07-03 02:13:16,Current Year (2018),Avg. Estimate,14.51B
14,413,9,2,2018-07-03 02:13:16,Current Year (2018),Low Estimate,14.21B
15,413,9,2,2018-07-03 02:13:16,Current Year (2018),High Estimate,14.79B
16,413,9,2,2018-07-03 02:13:16,Current Year (2018),Year Ago Sales,14.2B
17,413,9,2,2018-07-03 02:13:16,Current Year (2018),Sales Growth (year/est),2.20%
18,413,9,2,2018-07-03 02:13:16,Next Year (2019),No. of Analysts,14
19,413,9,2,2018-07-03 02:13:16,Next Year (2019),Avg. Estimate,14.94B
20,413,9,2,2018-07-03 02:13:16,Next Year (2019),Low Estimate,14.39B
21,413,9,2,2018-07-03 02:13:16,Next Year (2019),High Estimate,15.35B
22,413,9,2,2018-07-03 02:13:16,Next Year (2019),Year Ago Sales,14.51B
23,413,9,2,2018-07-03 02:13:16,Next Year (2019),Sales Growth (year/est),2.90%
0,413,10,2,2018-07-03 02:13:16,6/29/2017,EPS Est.,0.55
1,413,10,2,2018-07-03 02:13:16,6/29/2017,EPS Actual,0.6
2,413,10,2,2018-07-03 02:13:16,6/29/2017,Difference,0.05
3,413,10,2,2018-07-03 02:13:16,6/29/2017,Surprise %,9.10%
4,413,10,2,2018-07-03 02:13:16,9/29/2017,EPS Est.,0.62
5,413,10,2,2018-07-03 02:13:16,9/29/2017,EPS Actual,0.65
6,413,10,2,2018-07-03 02:13:16,9/29/2017,Difference,0.03
7,413,10,2,2018-07-03 02:13:16,9/29/2017,Surprise %,4.80%
8,413,10,2,2018-07-03 02:13:16,12/30/2017,EPS Est.,0.77
9,413,10,2,2018-07-03 02:13:16,12/30/2017,EPS Actual,0.74
10,413,10,2,2018-07-03 02:13:16,12/30/2017,Difference,-0.03
11,413,10,2,2018-07-03 02:13:16,12/30/2017,Surprise %,-3.90%
12,413,10,2,2018-07-03 02:13:16,3/30/2018,EPS Est.,0.48
13,413,10,2,2018-07-03 02:13:16,3/30/2018,EPS Actual,0.72
14,413,10,2,2018-07-03 02:13:16,3/30/2018,Difference,0.24
15,413,10,2,2018-07-03 02:13:16,3/30/2018,Surprise %,50.00%
0,413,11,2,2018-07-03 02:13:16,Current Qtr. (Jun 2018),Current Estimate,0.69
1,413,11,2,2018-07-03 02:13:16,Current Qtr. (Jun 2018),7 Days Ago,0.69
2,413,11,2,2018-07-03 02:13:16,Current Qtr. (Jun 2018),30 Days Ago,0.69
3,413,11,2,2018-07-03 02:13:16,Current Qtr. (Jun 2018),60 Days Ago,0.69
4,413,11,2,2018-07-03 02:13:16,Current Qtr. (Jun 2018),90 Days Ago,0.72
5,413,11,2,2018-07-03 02:13:16,Next Qtr. (Sep 2018),Current Estimate,0.78
6,413,11,2,2018-07-03 02:13:16,Next Qtr. (Sep 2018),7 Days Ago,0.78
7,413,11,2,2018-07-03 02:13:16,Next Qtr. (Sep 2018),30 Days Ago,0.78
